InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-05-20,CLA213,02-0297,1,2015-05-20,2015-05-18,2015-05-13,2015-05-05,2.0,7.0,15.0,17.96,28.368536753787996,432
2015-06-06,CLA213,02-6207,5,2015-06-06,2015-05-20,2015-05-18,2015-05-13,17.0,19.0,24.0,17.96,28.368536753787996,2229
2015-06-09,CLA213,02-4608,1,2015-06-09,2015-06-06,2015-05-20,2015-05-18,3.0,20.0,22.0,17.96,28.368536753787996,1757
2015-06-15,CLA213,02-7136,1,2015-06-15,2015-06-09,2015-06-06,2015-05-20,6.0,9.0,26.0,17.96,28.368536753787996,2482
2015-06-17,CLA213,02-0604,2,2015-06-17,2015-06-15,2015-06-09,2015-06-06,2.0,8.0,11.0,17.96,28.368536753787996,556
2015-07-14,CLA213,02-3048,20,2015-07-14,2015-06-17,2015-06-15,2015-06-09,27.0,29.0,35.0,17.96,28.368536753787996,1333
2015-07-22,CLA213,02-0842,4,2015-07-22,2015-07-14,2015-06-17,2015-06-15,8.0,35.0,37.0,17.96,28.368536753787996,639
2015-08-07,CLA213,02-8218,2,2015-08-07,2015-07-22,2015-07-14,2015-06-17,16.0,24.0,51.0,17.96,28.368536753787996,2795
2015-08-10,CLA213,02-4608,2,2015-08-10,2015-08-07,2015-07-22,2015-07-14,3.0,19.0,27.0,17.96,28.368536753787996,1757
2015-08-18,CLA213,02-1543,10,2015-08-18,2015-08-10,2015-08-07,2015-07-22,8.0,11.0,27.0,17.96,28.368536753787996,851
2015-09-04,CLA213,01-5469,7,2015-09-04,2015-08-18,2015-08-10,2015-08-07,17.0,25.0,28.0,17.96,28.368536753787996,226
2015-09-10,CLA213,02-6908,2,2015-09-10,2015-09-04,2015-08-18,2015-08-10,6.0,23.0,31.0,17.96,28.368536753787996,2415
2015-10-06,CLA213,01-5469,9,2015-10-06,2015-09-10,2015-09-04,2015-08-18,26.0,32.0,49.0,17.96,28.368536753787996,226
2015-10-07,CLA213,02-5624,1,2015-10-07,2015-10-06,2015-09-10,2015-09-04,1.0,27.0,33.0,17.96,28.368536753787996,2101
2015-10-30,CLA213,02-8232,4,2015-10-30,2015-10-07,2015-10-06,2015-09-10,23.0,24.0,50.0,17.96,28.368536753787996,2802
2015-12-11,CLA213,02-1867,3,2015-12-11,2015-10-30,2015-10-07,2015-10-06,42.0,65.0,66.0,17.96,28.368536753787996,937
2015-12-22,CLA213,02-5593,8,2015-12-22,2015-12-11,2015-10-30,2015-10-07,11.0,53.0,76.0,17.96,28.368536753787996,2088
2016-01-06,CLA213,02-0308,4,2016-01-06,2015-12-22,2015-12-11,2015-10-30,15.0,26.0,68.0,17.96,28.368536753787996,435
2016-01-07,CLA213,02-5818,10,2016-01-07,2016-01-06,2015-12-22,2015-12-11,1.0,16.0,27.0,17.96,28.368536753787996,2147
2016-01-11,CLA213,02-6355,1,2016-01-11,2016-01-07,2016-01-06,2015-12-22,4.0,5.0,20.0,17.96,28.368536753787996,2274
2016-01-12,CLA213,02-8127,3,2016-01-12,2016-01-11,2016-01-07,2016-01-06,1.0,5.0,6.0,17.96,28.368536753787996,2767
2016-01-14,CLA213,02-5593,6,2016-01-14,2016-01-12,2016-01-11,2016-01-07,2.0,3.0,7.0,17.96,28.368536753787996,2088
2016-01-18,CLA213,SPC1304,3,2016-01-18,2016-01-14,2016-01-12,2016-01-11,4.0,6.0,7.0,17.96,28.368536753787996,5179
2016-01-19,CLA213,02-4938,4,2016-01-19,2016-01-18,2016-01-14,2016-01-12,1.0,5.0,7.0,17.96,28.368536753787996,1868
2016-01-27,CLA213,02-2374,4,2016-01-27,2016-01-19,2016-01-18,2016-01-14,8.0,9.0,13.0,17.96,28.368536753787996,1104
2016-01-28,CLA213,02-2646,3,2016-01-28,2016-01-27,2016-01-19,2016-01-18,1.0,9.0,10.0,17.96,28.368536753787996,1200
2016-02-01,CLA213,02-6381,6,2016-02-01,2016-01-28,2016-01-27,2016-01-19,4.0,5.0,13.0,17.96,28.368536753787996,2284
2016-02-11,CLA213,02-7984,1,2016-02-11,2016-02-01,2016-01-28,2016-01-27,10.0,14.0,15.0,17.96,28.368536753787996,2739
2016-02-23,CLA213,02-2374,1,2016-02-23,2016-02-11,2016-02-01,2016-01-28,12.0,22.0,26.0,17.96,28.368536753787996,1104
2016-02-24,CLA213,02-0308,3,2016-02-24,2016-02-23,2016-02-11,2016-02-01,1.0,13.0,23.0,17.96,28.368536753787996,435
2016-03-05,CLA213,02-5630,1,2016-03-05,2016-02-24,2016-02-23,2016-02-11,10.0,11.0,23.0,17.96,28.368536753787996,2102
2016-03-08,CLA213,02-1291,1,2016-03-08,2016-03-05,2016-02-24,2016-02-23,3.0,13.0,14.0,17.96,28.368536753787996,757
2016-03-17,CLA213,02-6381,2,2016-03-17,2016-03-08,2016-03-05,2016-02-24,9.0,12.0,22.0,17.96,28.368536753787996,2284
2016-03-21,CLA213,02-2168,5,2016-03-21,2016-03-17,2016-03-08,2016-03-05,4.0,13.0,16.0,17.96,28.368536753787996,1055
2016-04-01,CLA213,02-1867,2,2016-04-01,2016-03-21,2016-03-17,2016-03-08,11.0,15.0,24.0,17.96,28.368536753787996,937
