InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-07-11,COR197,02-1291,1,2015-07-11,2015-06-18,2015-06-03,2015-05-06,23.0,38.0,66.0,6.934306569343065,5.360811477700164,757
2015-08-06,COR197,02-3615,1,2015-08-06,2015-07-11,2015-06-18,2015-06-03,26.0,49.0,64.0,6.934306569343065,5.360811477700164,1513
2015-08-14,COR197,02-4584,2,2015-08-14,2015-08-06,2015-07-11,2015-06-18,8.0,34.0,57.0,6.934306569343065,5.360811477700164,1746
2015-08-20,COR197,02-1291,1,2015-08-20,2015-08-14,2015-08-06,2015-07-11,6.0,14.0,40.0,6.934306569343065,5.360811477700164,757
2015-08-28,COR197,02-1291,1,2015-08-28,2015-08-20,2015-08-14,2015-08-06,8.0,14.0,22.0,6.934306569343065,5.360811477700164,757
2015-09-09,COR197,02-6889,2,2015-09-09,2015-08-28,2015-08-20,2015-08-14,12.0,20.0,26.0,6.934306569343065,5.360811477700164,2414
2015-09-14,COR197,02-1291,1,2015-09-14,2015-09-09,2015-08-28,2015-08-20,5.0,17.0,25.0,6.934306569343065,5.360811477700164,757
2015-09-15,COR197,02-3079,3,2015-09-15,2015-09-14,2015-09-09,2015-08-28,1.0,6.0,18.0,6.934306569343065,5.360811477700164,1340
2015-10-01,COR197,02-6335,1,2015-10-01,2015-09-15,2015-09-14,2015-09-09,16.0,17.0,22.0,6.934306569343065,5.360811477700164,2270
2015-10-08,COR197,02-3335,1,2015-10-08,2015-10-01,2015-09-15,2015-09-14,7.0,23.0,24.0,6.934306569343065,5.360811477700164,1410
2015-10-12,COR197,02-1664,1,2015-10-12,2015-10-08,2015-10-01,2015-09-15,4.0,11.0,27.0,6.934306569343065,5.360811477700164,874
2015-10-15,COR197,02-6355,2,2015-10-15,2015-10-12,2015-10-08,2015-10-01,3.0,7.0,14.0,6.934306569343065,5.360811477700164,2274
2015-10-20,COR197,SPC1249,1,2015-10-20,2015-10-15,2015-10-12,2015-10-08,5.0,8.0,12.0,6.934306569343065,5.360811477700164,5128
2015-10-27,COR197,02-3178,1,2015-10-27,2015-10-20,2015-10-15,2015-10-12,7.0,12.0,15.0,6.934306569343065,5.360811477700164,1369
2015-11-05,COR197,02-6379,4,2015-11-05,2015-10-27,2015-10-20,2015-10-15,9.0,16.0,21.0,6.934306569343065,5.360811477700164,2283
2015-11-10,COR197,02-6355,2,2015-11-10,2015-11-05,2015-10-27,2015-10-20,5.0,14.0,21.0,6.934306569343065,5.360811477700164,2274
2015-11-17,COR197,02-8764,20,2015-11-17,2015-11-10,2015-11-05,2015-10-27,7.0,12.0,21.0,6.934306569343065,5.360811477700164,2945
2015-11-19,COR197,10-0720,6,2015-11-19,2015-11-17,2015-11-10,2015-11-05,2.0,9.0,14.0,6.934306569343065,5.360811477700164,4103
2015-12-15,COR197,02-0604,5,2015-12-15,2015-11-19,2015-11-17,2015-11-10,26.0,28.0,35.0,6.934306569343065,5.360811477700164,556
2015-12-21,COR197,02-6335,1,2015-12-21,2015-12-15,2015-11-19,2015-11-17,6.0,32.0,34.0,6.934306569343065,5.360811477700164,2270
2016-01-05,COR197,02-4703,3,2016-01-05,2015-12-21,2015-12-15,2015-11-19,15.0,21.0,47.0,6.934306569343065,5.360811477700164,1787
2016-01-12,COR197,02-6355,4,2016-01-12,2016-01-05,2015-12-21,2015-12-15,7.0,22.0,28.0,6.934306569343065,5.360811477700164,2274
2016-01-14,COR197,02-8764,48,2016-01-14,2016-01-12,2016-01-05,2015-12-21,2.0,9.0,24.0,6.934306569343065,5.360811477700164,2945
