InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-09-18,D&H102,02-1291,1,2015-09-18,2015-08-31,2015-07-06,2015-05-12,18.0,74.0,129.0,4.9526315789473685,7.6277735641592965,757
2015-10-16,D&H102,02-6776,16,2015-10-16,2015-09-18,2015-08-31,2015-07-06,28.0,46.0,102.0,4.9526315789473685,7.6277735641592965,2378
2015-11-16,D&H102,02-6355,3,2015-11-16,2015-10-16,2015-09-18,2015-08-31,31.0,59.0,77.0,4.9526315789473685,7.6277735641592965,2274
2015-12-03,D&H102,02-4771,18,2015-12-03,2015-11-16,2015-10-16,2015-09-18,17.0,48.0,76.0,4.9526315789473685,7.6277735641592965,1828
2015-12-23,D&H102,02-4771,18,2015-12-23,2015-12-03,2015-11-16,2015-10-16,20.0,37.0,68.0,4.9526315789473685,7.6277735641592965,1828
2016-01-13,D&H102,02-0112,3,2016-01-13,2015-12-23,2015-12-03,2015-11-16,21.0,41.0,58.0,4.9526315789473685,7.6277735641592965,361
2016-01-19,D&H102,02-4771,11,2016-01-19,2016-01-13,2015-12-23,2015-12-03,6.0,27.0,47.0,4.9526315789473685,7.6277735641592965,1828
2016-02-10,D&H102,02-4771,18,2016-02-10,2016-01-19,2016-01-13,2015-12-23,22.0,28.0,49.0,4.9526315789473685,7.6277735641592965,1828
2016-03-09,D&H102,02-4771,18,2016-03-09,2016-02-10,2016-01-19,2016-01-13,28.0,50.0,56.0,4.9526315789473685,7.6277735641592965,1828
2016-03-24,D&H102,02-3399,3,2016-03-24,2016-03-09,2016-02-10,2016-01-19,15.0,43.0,65.0,4.9526315789473685,7.6277735641592965,1418
2016-03-31,D&H102,02-1291,1,2016-03-31,2016-03-24,2016-03-09,2016-02-10,7.0,22.0,50.0,4.9526315789473685,7.6277735641592965,757
2016-04-07,D&H102,02-1115,1,2016-04-07,2016-03-31,2016-03-24,2016-03-09,7.0,14.0,29.0,4.9526315789473685,7.6277735641592965,704
2016-04-19,D&H102,20-8632,2,2016-04-19,2016-04-07,2016-03-31,2016-03-24,12.0,19.0,26.0,4.9526315789473685,7.6277735641592965,4386
2016-04-27,D&H102,SPC1416,40,2016-04-27,2016-04-19,2016-04-07,2016-03-31,8.0,20.0,27.0,4.9526315789473685,7.6277735641592965,5288
2016-05-11,D&H102,02-4771,18,2016-05-11,2016-04-27,2016-04-19,2016-04-07,14.0,22.0,34.0,4.9526315789473685,7.6277735641592965,1828
2016-05-16,D&H102,20-8632,2,2016-05-16,2016-05-11,2016-04-27,2016-04-19,5.0,19.0,27.0,4.9526315789473685,7.6277735641592965,4386
