InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-07-14,DAV174,02-1816,1,2015-07-14,2015-06-15,2015-05-30,2015-05-20,29.0,45.0,55.0,16.433962264150942,16.2368401553171,932
2015-07-31,DAV174,02-5903,2,2015-07-31,2015-07-14,2015-06-15,2015-05-30,17.0,46.0,62.0,16.433962264150942,16.2368401553171,2164
2015-09-01,DAV174,02-1118,1,2015-09-01,2015-07-31,2015-07-14,2015-06-15,32.0,49.0,78.0,16.433962264150942,16.2368401553171,705
2015-09-11,DAV174,02-7634,3,2015-09-11,2015-09-01,2015-07-31,2015-07-14,10.0,42.0,59.0,16.433962264150942,16.2368401553171,2631
2015-09-16,DAV174,02-5903,1,2015-09-16,2015-09-11,2015-09-01,2015-07-31,5.0,15.0,47.0,16.433962264150942,16.2368401553171,2164
2015-09-18,DAV174,02-3834,3,2015-09-18,2015-09-16,2015-09-11,2015-09-01,2.0,7.0,17.0,16.433962264150942,16.2368401553171,1584
2015-10-07,DAV174,02-6883,1,2015-10-07,2015-09-18,2015-09-16,2015-09-11,19.0,21.0,26.0,16.433962264150942,16.2368401553171,2411
2015-10-09,DAV174,02-2374,1,2015-10-09,2015-10-07,2015-09-18,2015-09-16,2.0,21.0,23.0,16.433962264150942,16.2368401553171,1104
2015-10-13,DAV174,02-6355,2,2015-10-13,2015-10-09,2015-10-07,2015-09-18,4.0,6.0,25.0,16.433962264150942,16.2368401553171,2274
2015-10-20,DAV174,02-8572,2,2015-10-20,2015-10-13,2015-10-09,2015-10-07,7.0,11.0,13.0,16.433962264150942,16.2368401553171,2892
2015-10-30,DAV174,02-6776,1,2015-10-30,2015-10-20,2015-10-13,2015-10-09,10.0,17.0,21.0,16.433962264150942,16.2368401553171,2378
2015-11-06,DAV174,06-3653,1,2015-11-06,2015-10-30,2015-10-20,2015-10-13,7.0,17.0,24.0,16.433962264150942,16.2368401553171,3656
2015-11-13,DAV174,02-7121,1,2015-11-13,2015-11-06,2015-10-30,2015-10-20,7.0,14.0,24.0,16.433962264150942,16.2368401553171,2476
2016-01-05,DAV174,02-6883,2,2016-01-05,2015-11-13,2015-11-06,2015-10-30,53.0,60.0,67.0,16.433962264150942,16.2368401553171,2411
2016-01-08,DAV174,02-7634,6,2016-01-08,2016-01-05,2015-11-13,2015-11-06,3.0,56.0,63.0,16.433962264150942,16.2368401553171,2631
2016-02-06,DAV174,02-8678,1,2016-02-06,2016-01-08,2016-01-05,2015-11-13,29.0,32.0,85.0,16.433962264150942,16.2368401553171,2912
2016-02-11,DAV174,02-8525,4,2016-02-11,2016-02-06,2016-01-08,2016-01-05,5.0,34.0,37.0,16.433962264150942,16.2368401553171,2870
2016-02-12,DAV174,02-7388,4,2016-02-12,2016-02-11,2016-02-06,2016-01-08,1.0,6.0,35.0,16.433962264150942,16.2368401553171,2571
2016-02-17,DAV174,02-0399,1,2016-02-17,2016-02-12,2016-02-11,2016-02-06,5.0,6.0,11.0,16.433962264150942,16.2368401553171,461
2016-03-02,DAV174,02-3288,1,2016-03-02,2016-02-17,2016-02-12,2016-02-11,14.0,19.0,20.0,16.433962264150942,16.2368401553171,1403
2016-03-16,DAV174,02-2468,2,2016-03-16,2016-03-02,2016-02-17,2016-02-12,14.0,28.0,33.0,16.433962264150942,16.2368401553171,1145
2016-03-29,DAV174,02-8525,4,2016-03-29,2016-03-16,2016-03-02,2016-02-17,13.0,27.0,41.0,16.433962264150942,16.2368401553171,2870
2016-04-05,DAV174,02-4600,1,2016-04-05,2016-03-29,2016-03-16,2016-03-02,7.0,20.0,34.0,16.433962264150942,16.2368401553171,1752
2016-04-15,DAV174,02-2374,3,2016-04-15,2016-04-05,2016-03-29,2016-03-16,10.0,17.0,30.0,16.433962264150942,16.2368401553171,1104
2016-04-28,DAV174,02-6110,1,2016-04-28,2016-04-15,2016-04-05,2016-03-29,13.0,23.0,30.0,16.433962264150942,16.2368401553171,2207
2016-05-06,DAV174,02-8525,3,2016-05-06,2016-04-28,2016-04-15,2016-04-05,8.0,21.0,31.0,16.433962264150942,16.2368401553171,2870
2016-05-18,DAV174,02-6599,1,2016-05-18,2016-05-06,2016-04-28,2016-04-15,12.0,20.0,33.0,16.433962264150942,16.2368401553171,2342
2016-06-03,DAV174,02-7388,3,2016-06-03,2016-05-18,2016-05-06,2016-04-28,16.0,28.0,36.0,16.433962264150942,16.2368401553171,2571
2016-06-14,DAV174,02-8998,1,2016-06-14,2016-06-03,2016-05-18,2016-05-06,11.0,27.0,39.0,16.433962264150942,16.2368401553171,3017
2016-06-24,DAV174,02-2374,1,2016-06-24,2016-06-14,2016-06-03,2016-05-18,10.0,21.0,37.0,16.433962264150942,16.2368401553171,1104
2016-06-30,DAV174,02-6883,1,2016-06-30,2016-06-24,2016-06-14,2016-06-03,6.0,16.0,27.0,16.433962264150942,16.2368401553171,2411
2016-07-20,DAV174,02-4600,2,2016-07-20,2016-06-30,2016-06-24,2016-06-14,20.0,26.0,36.0,16.433962264150942,16.2368401553171,1752
2016-08-02,DAV174,10-4333,1,2016-08-02,2016-07-20,2016-06-30,2016-06-24,13.0,33.0,39.0,16.433962264150942,16.2368401553171,4137
