InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-12-22,DFP100,02-3752,2,2015-12-22,2015-11-23,2015-10-27,2015-08-25,29.0,56.0,119.0,31.074074074074073,16.503906124881993,1554
2016-01-07,DFP100,09-9864,24,2016-01-07,2015-12-22,2015-11-23,2015-10-27,16.0,45.0,72.0,31.074074074074073,16.503906124881993,4056
2016-02-16,DFP100,09-9864,24,2016-02-16,2016-01-07,2015-12-22,2015-11-23,40.0,56.0,85.0,31.074074074074073,16.503906124881993,4056
2016-04-20,DFP100,01-0264,6,2016-04-20,2016-02-16,2016-01-07,2015-12-22,64.0,104.0,120.0,31.074074074074073,16.503906124881993,61
2016-05-10,DFP100,09-9864,36,2016-05-10,2016-04-20,2016-02-16,2016-01-07,20.0,84.0,124.0,31.074074074074073,16.503906124881993,4056
2016-06-24,DFP100,10-0528,12,2016-06-24,2016-05-10,2016-04-20,2016-02-16,45.0,65.0,129.0,31.074074074074073,16.503906124881993,4101
2016-08-09,DFP100,09-9864,24,2016-08-09,2016-06-24,2016-05-10,2016-04-20,46.0,91.0,111.0,31.074074074074073,16.503906124881993,4056
2016-09-19,DFP100,02-7765,6,2016-09-19,2016-08-09,2016-06-24,2016-05-10,41.0,87.0,132.0,31.074074074074073,16.503906124881993,2683
2016-10-19,DFP100,02-3019,2,2016-10-19,2016-09-19,2016-08-09,2016-06-24,30.0,71.0,117.0,31.074074074074073,16.503906124881993,1320
2016-12-13,DFP100,09-9864,24,2016-12-13,2016-10-19,2016-09-19,2016-08-09,55.0,85.0,126.0,31.074074074074073,16.503906124881993,4056
2017-01-24,DFP100,02-2515,4,2017-01-24,2016-12-13,2016-10-19,2016-09-19,42.0,97.0,127.0,31.074074074074073,16.503906124881993,1161
2017-02-14,DFP100,01-1181,6,2017-02-14,2017-01-24,2016-12-13,2016-10-19,21.0,63.0,118.0,31.074074074074073,16.503906124881993,94
2017-03-15,DFP100,09-9864,24,2017-03-15,2017-02-14,2017-01-24,2016-12-13,29.0,50.0,92.0,31.074074074074073,16.503906124881993,4056
2017-03-29,DFP100,01-5352,4,2017-03-29,2017-03-15,2017-02-14,2017-01-24,14.0,43.0,64.0,31.074074074074073,16.503906124881993,219
2017-04-13,DFP100,09-9864,24,2017-04-13,2017-03-29,2017-03-15,2017-02-14,15.0,29.0,58.0,31.074074074074073,16.503906124881993,4056
2017-05-09,DFP100,09-5950,36,2017-05-09,2017-04-13,2017-03-29,2017-03-15,26.0,41.0,55.0,31.074074074074073,16.503906124881993,3963
2017-05-26,DFP100,SPC1812,6,2017-05-26,2017-05-09,2017-04-13,2017-03-29,17.0,43.0,58.0,31.074074074074073,16.503906124881993,5670
2017-06-08,DFP100,01-6834,3,2017-06-08,2017-05-26,2017-05-09,2017-04-13,13.0,30.0,56.0,31.074074074074073,16.503906124881993,288
2017-07-14,DFP100,06-5846,1,2017-07-14,2017-06-08,2017-05-26,2017-05-09,36.0,49.0,66.0,31.074074074074073,16.503906124881993,3732
2017-08-03,DFP100,02-9731,2,2017-08-03,2017-07-14,2017-06-08,2017-05-26,20.0,56.0,69.0,31.074074074074073,16.503906124881993,3145
2017-09-26,DFP100,10-6148,3,2017-09-26,2017-08-03,2017-07-14,2017-06-08,54.0,74.0,110.0,31.074074074074073,16.503906124881993,4164
2017-10-05,DFP100,07-1499,2,2017-10-05,2017-09-26,2017-08-03,2017-07-14,9.0,63.0,83.0,31.074074074074073,16.503906124881993,3795
2017-10-09,DFP100,02-5795,2,2017-10-09,2017-10-05,2017-09-26,2017-08-03,4.0,13.0,67.0,31.074074074074073,16.503906124881993,2143
2017-10-30,DFP100,09-5950,36,2017-10-30,2017-10-09,2017-10-05,2017-09-26,21.0,25.0,34.0,31.074074074074073,16.503906124881993,3963
2017-12-11,DFP100,02-5210,2,2017-12-11,2017-10-30,2017-10-09,2017-10-05,42.0,63.0,67.0,31.074074074074073,16.503906124881993,1989
