InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2017-09-07,DIS133,02-9700,1,2017-09-07,2017-09-06,2017-08-24,2017-08-11,1.0,14.0,27.0,8.5,5.880214543443383,3119
2017-09-22,DIS133,SPC2109,6,2017-09-22,2017-09-07,2017-09-06,2017-08-24,15.0,16.0,29.0,8.5,5.880214543443383,5950
2017-10-10,DIS133,SPC2158,12,2017-10-10,2017-09-22,2017-09-07,2017-09-06,18.0,33.0,34.0,8.5,5.880214543443383,5996
2017-10-13,DIS133,SPC2109,6,2017-10-13,2017-10-10,2017-09-22,2017-09-07,3.0,21.0,36.0,8.5,5.880214543443383,5950
2017-10-30,DIS133,SPC2109,9,2017-10-30,2017-10-13,2017-10-10,2017-09-22,17.0,20.0,38.0,8.5,5.880214543443383,5950
2017-11-03,DIS133,SPC2158,12,2017-11-03,2017-10-30,2017-10-13,2017-10-10,4.0,21.0,24.0,8.5,5.880214543443383,5996
2017-11-09,DIS133,02-5212,2,2017-11-09,2017-11-03,2017-10-30,2017-10-13,6.0,10.0,27.0,8.5,5.880214543443383,1990
2017-11-17,DIS133,02-1517,6,2017-11-17,2017-11-09,2017-11-03,2017-10-30,8.0,14.0,18.0,8.5,5.880214543443383,839
2017-11-28,DIS133,02-9695,1,2017-11-28,2017-11-17,2017-11-09,2017-11-03,11.0,19.0,25.0,8.5,5.880214543443383,3114
2017-12-01,DIS133,02-4976,6,2017-12-01,2017-11-28,2017-11-17,2017-11-09,3.0,14.0,22.0,8.5,5.880214543443383,1885
2017-12-06,DIS133,SPC2109,12,2017-12-06,2017-12-01,2017-11-28,2017-11-17,5.0,8.0,19.0,8.5,5.880214543443383,5950
2017-12-08,DIS133,SPC6515,2,2017-12-08,2017-12-06,2017-12-01,2017-11-28,2.0,7.0,10.0,8.5,5.880214543443383,6077
