InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-08-19,DOW122,SPC1051,6,2015-08-19,2015-07-23,2015-06-03,2015-05-21,27.0,77.0,90.0,28.03125,14.97844553500667,4932
2015-09-21,DOW122,02-4703,6,2015-09-21,2015-08-19,2015-07-23,2015-06-03,33.0,60.0,110.0,28.03125,14.97844553500667,1787
2015-10-19,DOW122,02-4703,6,2015-10-19,2015-09-21,2015-08-19,2015-07-23,28.0,61.0,88.0,28.03125,14.97844553500667,1787
2015-11-06,DOW122,02-7941,3,2015-11-06,2015-10-19,2015-09-21,2015-08-19,18.0,46.0,79.0,28.03125,14.97844553500667,2726
2015-12-15,DOW122,02-4703,5,2015-12-15,2015-11-06,2015-10-19,2015-09-21,39.0,57.0,85.0,28.03125,14.97844553500667,1787
2015-12-22,DOW122,02-5594,2,2015-12-22,2015-12-15,2015-11-06,2015-10-19,7.0,46.0,64.0,28.03125,14.97844553500667,2089
2015-12-30,DOW122,02-4703,5,2015-12-30,2015-12-22,2015-12-15,2015-11-06,8.0,15.0,54.0,28.03125,14.97844553500667,1787
2016-01-06,DOW122,02-8127,3,2016-01-06,2015-12-30,2015-12-22,2015-12-15,7.0,15.0,22.0,28.03125,14.97844553500667,2767
2016-01-19,DOW122,02-4703,4,2016-01-19,2016-01-06,2015-12-30,2015-12-22,13.0,20.0,28.0,28.03125,14.97844553500667,1787
2016-02-16,DOW122,02-2648,6,2016-02-16,2016-01-19,2016-01-06,2015-12-30,28.0,41.0,48.0,28.03125,14.97844553500667,1202
2016-03-01,DOW122,02-7941,3,2016-03-01,2016-02-16,2016-01-19,2016-01-06,14.0,42.0,55.0,28.03125,14.97844553500667,2726
2016-03-15,DOW122,02-5123,3,2016-03-15,2016-03-01,2016-02-16,2016-01-19,14.0,28.0,56.0,28.03125,14.97844553500667,1953
2016-03-29,DOW122,02-1291,2,2016-03-29,2016-03-15,2016-03-01,2016-02-16,14.0,28.0,42.0,28.03125,14.97844553500667,757
2016-04-13,DOW122,02-2648,4,2016-04-13,2016-03-29,2016-03-15,2016-03-01,15.0,29.0,43.0,28.03125,14.97844553500667,1202
2016-05-03,DOW122,02-5123,3,2016-05-03,2016-04-13,2016-03-29,2016-03-15,20.0,35.0,49.0,28.03125,14.97844553500667,1953
2016-06-09,DOW122,02-5121,3,2016-06-09,2016-05-03,2016-04-13,2016-03-29,37.0,57.0,72.0,28.03125,14.97844553500667,1952
2016-08-01,DOW122,02-1291,2,2016-08-01,2016-06-09,2016-05-03,2016-04-13,53.0,90.0,110.0,28.03125,14.97844553500667,757
2016-08-24,DOW122,02-0178,5,2016-08-24,2016-08-01,2016-06-09,2016-05-03,23.0,76.0,113.0,28.03125,14.97844553500667,394
2016-09-14,DOW122,02-1291,1,2016-09-14,2016-08-24,2016-08-01,2016-06-09,21.0,44.0,97.0,28.03125,14.97844553500667,757
2016-09-28,DOW122,02-5123,5,2016-09-28,2016-09-14,2016-08-24,2016-08-01,14.0,35.0,58.0,28.03125,14.97844553500667,1953
2016-10-19,DOW122,02-1291,2,2016-10-19,2016-09-28,2016-09-14,2016-08-24,21.0,35.0,56.0,28.03125,14.97844553500667,757
2016-11-22,DOW122,02-5123,4,2016-11-22,2016-10-19,2016-09-28,2016-09-14,34.0,55.0,69.0,28.03125,14.97844553500667,1953
2016-12-23,DOW122,02-1291,1,2016-12-23,2016-11-22,2016-10-19,2016-09-28,31.0,65.0,86.0,28.03125,14.97844553500667,757
2017-02-07,DOW122,02-1291,1,2017-02-07,2016-12-23,2016-11-22,2016-10-19,46.0,77.0,111.0,28.03125,14.97844553500667,757
2017-03-30,DOW122,02-1291,2,2017-03-30,2017-02-07,2016-12-23,2016-11-22,51.0,97.0,128.0,28.03125,14.97844553500667,757
2017-05-12,DOW122,02-1298,1,2017-05-12,2017-03-30,2017-02-07,2016-12-23,43.0,94.0,140.0,28.03125,14.97844553500667,761
2017-06-05,DOW122,02-1291,1,2017-06-05,2017-05-12,2017-03-30,2017-02-07,24.0,67.0,118.0,28.03125,14.97844553500667,757
2017-07-28,DOW122,02-1291,2,2017-07-28,2017-06-05,2017-05-12,2017-03-30,53.0,77.0,120.0,28.03125,14.97844553500667,757
2017-09-15,DOW122,02-0552,5,2017-09-15,2017-07-28,2017-06-05,2017-05-12,49.0,102.0,126.0,28.03125,14.97844553500667,527
2017-11-03,DOW122,02-0567,5,2017-11-03,2017-09-15,2017-07-28,2017-06-05,49.0,98.0,151.0,28.03125,14.97844553500667,533
