InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-09-25,FOR177,02-7204,1,2015-09-25,2015-09-23,2015-09-22,2015-09-02,2.0,3.0,23.0,12.515151515151516,20.539075272602048,2507
2015-09-28,FOR177,02-2802,2,2015-09-28,2015-09-25,2015-09-23,2015-09-22,3.0,5.0,6.0,12.515151515151516,20.539075272602048,1233
2015-10-02,FOR177,SPC0161,12,2015-10-02,2015-09-28,2015-09-25,2015-09-23,4.0,7.0,9.0,12.515151515151516,20.539075272602048,4812
2015-10-20,FOR177,02-0308,2,2015-10-20,2015-10-02,2015-09-28,2015-09-25,18.0,22.0,25.0,12.515151515151516,20.539075272602048,435
2015-10-21,FOR177,02-5816,1,2015-10-21,2015-10-20,2015-10-02,2015-09-28,1.0,19.0,23.0,12.515151515151516,20.539075272602048,2146
2015-10-23,FOR177,02-2660,1,2015-10-23,2015-10-21,2015-10-20,2015-10-02,2.0,3.0,21.0,12.515151515151516,20.539075272602048,1208
2016-01-27,FOR177,02-2870,3,2016-01-27,2015-10-23,2015-10-21,2015-10-20,96.0,98.0,99.0,12.515151515151516,20.539075272602048,1251
2016-01-28,FOR177,02-6776,1,2016-01-28,2016-01-27,2015-10-23,2015-10-21,1.0,97.0,99.0,12.515151515151516,20.539075272602048,2378
2016-02-02,FOR177,02-7672,1,2016-02-02,2016-01-28,2016-01-27,2015-10-23,5.0,6.0,102.0,12.515151515151516,20.539075272602048,2644
2016-02-12,FOR177,02-1196,1,2016-02-12,2016-02-02,2016-01-28,2016-01-27,10.0,15.0,16.0,12.515151515151516,20.539075272602048,734
2016-02-20,FOR177,SPC1416,4,2016-02-20,2016-02-12,2016-02-02,2016-01-28,8.0,18.0,23.0,12.515151515151516,20.539075272602048,5288
2016-03-02,FOR177,02-7112,2,2016-03-02,2016-02-20,2016-02-12,2016-02-02,11.0,19.0,29.0,12.515151515151516,20.539075272602048,2472
2016-03-07,FOR177,02-2870,4,2016-03-07,2016-03-02,2016-02-20,2016-02-12,5.0,16.0,24.0,12.515151515151516,20.539075272602048,1251
2016-03-08,FOR177,SPC1416,3,2016-03-08,2016-03-07,2016-03-02,2016-02-20,1.0,6.0,17.0,12.515151515151516,20.539075272602048,5288
2016-03-09,FOR177,02-2770,1,2016-03-09,2016-03-08,2016-03-07,2016-03-02,1.0,2.0,7.0,12.515151515151516,20.539075272602048,1225
2016-03-15,FOR177,SPC1416,3,2016-03-15,2016-03-09,2016-03-08,2016-03-07,6.0,7.0,8.0,12.515151515151516,20.539075272602048,5288
2016-03-16,FOR177,02-1929,1,2016-03-16,2016-03-15,2016-03-09,2016-03-08,1.0,7.0,8.0,12.515151515151516,20.539075272602048,957
2016-03-23,FOR177,SPC1416,3,2016-03-23,2016-03-16,2016-03-15,2016-03-09,7.0,8.0,14.0,12.515151515151516,20.539075272602048,5288
2016-03-31,FOR177,02-2870,2,2016-03-31,2016-03-23,2016-03-16,2016-03-15,8.0,15.0,16.0,12.515151515151516,20.539075272602048,1251
2016-04-14,FOR177,02-6523,10,2016-04-14,2016-03-31,2016-03-23,2016-03-16,14.0,22.0,29.0,12.515151515151516,20.539075272602048,2318
2016-04-19,FOR177,02-5239,1,2016-04-19,2016-04-14,2016-03-31,2016-03-23,5.0,19.0,27.0,12.515151515151516,20.539075272602048,2000
2016-04-22,FOR177,02-7672,1,2016-04-22,2016-04-19,2016-04-14,2016-03-31,3.0,8.0,22.0,12.515151515151516,20.539075272602048,2644
2016-04-27,FOR177,SPC1375,2,2016-04-27,2016-04-22,2016-04-19,2016-04-14,5.0,8.0,13.0,12.515151515151516,20.539075272602048,5249
2016-05-03,FOR177,SPC1416,4,2016-05-03,2016-04-27,2016-04-22,2016-04-19,6.0,11.0,14.0,12.515151515151516,20.539075272602048,5288
2016-05-06,FOR177,SPC1416,9,2016-05-06,2016-05-03,2016-04-27,2016-04-22,3.0,9.0,14.0,12.515151515151516,20.539075272602048,5288
2016-05-12,FOR177,02-3572,3,2016-05-12,2016-05-06,2016-05-03,2016-04-27,6.0,9.0,15.0,12.515151515151516,20.539075272602048,1494
