InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-05-14,GAL130,C2-0197,4,2015-05-14,2015-05-07,2015-05-05,2015-05-01,7.0,9.0,13.0,2.2576832151300237,1.6995347352940904,4586
2015-05-21,GAL130,02-8736,1,2015-05-21,2015-05-14,2015-05-07,2015-05-05,7.0,14.0,16.0,2.2576832151300237,1.6995347352940904,2939
2015-05-28,GAL130,02-2935,2,2015-05-28,2015-05-21,2015-05-14,2015-05-07,7.0,14.0,21.0,2.2576832151300237,1.6995347352940904,1273
2015-06-02,GAL130,02-8813,3,2015-06-02,2015-05-28,2015-05-21,2015-05-14,5.0,12.0,19.0,2.2576832151300237,1.6995347352940904,2962
2015-06-03,GAL130,02-3741,1,2015-06-03,2015-06-02,2015-05-28,2015-05-21,1.0,6.0,13.0,2.2576832151300237,1.6995347352940904,1548
2015-06-04,GAL130,SPC1091,1,2015-06-04,2015-06-03,2015-06-02,2015-05-28,1.0,2.0,7.0,2.2576832151300237,1.6995347352940904,4972
2015-06-05,GAL130,02-2549,1,2015-06-05,2015-06-04,2015-06-03,2015-06-02,1.0,2.0,3.0,2.2576832151300237,1.6995347352940904,1170
2015-06-08,GAL130,02-2392,2,2015-06-08,2015-06-05,2015-06-04,2015-06-03,3.0,4.0,5.0,2.2576832151300237,1.6995347352940904,1110
2015-06-15,GAL130,C2-5639,2,2015-06-15,2015-06-08,2015-06-05,2015-06-04,7.0,10.0,11.0,2.2576832151300237,1.6995347352940904,4694
2015-06-16,GAL130,02-3157,1,2015-06-16,2015-06-15,2015-06-08,2015-06-05,1.0,8.0,11.0,2.2576832151300237,1.6995347352940904,1364
2015-06-18,GAL130,02-2392,3,2015-06-18,2015-06-16,2015-06-15,2015-06-08,2.0,3.0,10.0,2.2576832151300237,1.6995347352940904,1110
2015-06-22,GAL130,C2-0197,5,2015-06-22,2015-06-18,2015-06-16,2015-06-15,4.0,6.0,7.0,2.2576832151300237,1.6995347352940904,4586
2015-06-29,GAL130,SPC1095,1,2015-06-29,2015-06-22,2015-06-18,2015-06-16,7.0,11.0,13.0,2.2576832151300237,1.6995347352940904,4976
2015-06-30,GAL130,02-5250,1,2015-06-30,2015-06-29,2015-06-22,2015-06-18,1.0,8.0,12.0,2.2576832151300237,1.6995347352940904,2002
2015-07-02,GAL130,C2-4487,3,2015-07-02,2015-06-30,2015-06-29,2015-06-22,2.0,3.0,10.0,2.2576832151300237,1.6995347352940904,4664
2015-07-06,GAL130,02-8813,2,2015-07-06,2015-07-02,2015-06-30,2015-06-29,4.0,6.0,7.0,2.2576832151300237,1.6995347352940904,2962
2015-07-09,GAL130,SPC1001,3,2015-07-09,2015-07-06,2015-07-02,2015-06-30,3.0,7.0,9.0,2.2576832151300237,1.6995347352940904,4888
