InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-05-14,GAS101,20-0864,2,2015-05-14,2015-05-13,2015-05-12,2015-05-08,1.0,2.0,6.0,5.601190476190476,7.189596509921653,4253
2015-05-15,GAS101,02-5340,2,2015-05-15,2015-05-14,2015-05-13,2015-05-12,1.0,2.0,3.0,5.601190476190476,7.189596509921653,2022
2015-05-21,GAS101,01-4422,1,2015-05-21,2015-05-15,2015-05-14,2015-05-13,6.0,7.0,8.0,5.601190476190476,7.189596509921653,188
2015-06-02,GAS101,02-4111,1,2015-06-02,2015-05-21,2015-05-15,2015-05-14,12.0,18.0,19.0,5.601190476190476,7.189596509921653,1649
2015-06-03,GAS101,02-4600,1,2015-06-03,2015-06-02,2015-05-21,2015-05-15,1.0,13.0,19.0,5.601190476190476,7.189596509921653,1752
2015-06-04,GAS101,02-1363,1,2015-06-04,2015-06-03,2015-06-02,2015-05-21,1.0,2.0,14.0,5.601190476190476,7.189596509921653,779
2015-06-08,GAS101,20-1342,2,2015-06-08,2015-06-04,2015-06-03,2015-06-02,4.0,5.0,6.0,5.601190476190476,7.189596509921653,4266
2015-06-12,GAS101,02-4747,2,2015-06-12,2015-06-08,2015-06-04,2015-06-03,4.0,8.0,9.0,5.601190476190476,7.189596509921653,1815
2015-06-15,GAS101,02-1291,1,2015-06-15,2015-06-12,2015-06-08,2015-06-04,3.0,7.0,11.0,5.601190476190476,7.189596509921653,757
2015-06-19,GAS101,02-4442,1,2015-06-19,2015-06-15,2015-06-12,2015-06-08,4.0,7.0,11.0,5.601190476190476,7.189596509921653,1727
2015-06-22,GAS101,20-1342,2,2015-06-22,2015-06-19,2015-06-15,2015-06-12,3.0,7.0,10.0,5.601190476190476,7.189596509921653,4266
2015-06-29,GAS101,02-3752,2,2015-06-29,2015-06-22,2015-06-19,2015-06-15,7.0,10.0,14.0,5.601190476190476,7.189596509921653,1554
