InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2016-05-12,GRE224,02-2374,3,2016-05-12,2016-02-04,2015-09-17,2015-07-29,98.0,238.0,288.0,61.5,59.01336224175779,1104
2016-06-21,GRE224,02-1291,1,2016-06-21,2016-05-12,2016-02-04,2015-09-17,40.0,138.0,278.0,61.5,59.01336224175779,757
2016-07-27,GRE224,02-8045,11,2016-07-27,2016-06-21,2016-05-12,2016-02-04,36.0,76.0,174.0,61.5,59.01336224175779,2754
2016-08-16,GRE224,02-3781,2,2016-08-16,2016-07-27,2016-06-21,2016-05-12,20.0,56.0,96.0,61.5,59.01336224175779,1563
2016-08-25,GRE224,02-7958,2,2016-08-25,2016-08-16,2016-07-27,2016-06-21,9.0,29.0,65.0,61.5,59.01336224175779,2731
2016-09-22,GRE224,02-7916,2,2016-09-22,2016-08-25,2016-08-16,2016-07-27,28.0,37.0,57.0,61.5,59.01336224175779,2721
2017-02-03,GRE224,02-8711,6,2017-02-03,2016-09-22,2016-08-25,2016-08-16,134.0,162.0,171.0,61.5,59.01336224175779,2928
2017-08-21,GRE224,02-5512,2,2017-08-21,2017-02-03,2016-09-22,2016-08-25,199.0,333.0,361.0,61.5,59.01336224175779,2072
2017-09-07,GRE224,02-9703,1,2017-09-07,2017-08-21,2017-02-03,2016-09-22,17.0,216.0,350.0,61.5,59.01336224175779,3122
2017-09-11,GRE224,02-9698,8,2017-09-11,2017-09-07,2017-08-21,2017-02-03,4.0,21.0,220.0,61.5,59.01336224175779,3117
2017-11-13,GRE224,02-7166,2,2017-11-13,2017-09-11,2017-09-07,2017-08-21,63.0,67.0,84.0,61.5,59.01336224175779,2491
2017-12-06,GRE224,02-6541,5,2017-12-06,2017-11-13,2017-09-11,2017-09-07,23.0,86.0,90.0,61.5,59.01336224175779,2323
