InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-09-24,JOL102,SPC1040,6,2015-09-24,2015-07-01,2015-05-26,2015-05-15,85.0,121.0,132.0,16.571428571428573,16.088230755156665,4921
2015-10-08,JOL102,02-1929,1,2015-10-08,2015-09-24,2015-07-01,2015-05-26,14.0,99.0,135.0,16.571428571428573,16.088230755156665,957
2015-10-16,JOL102,SPC1040,2,2015-10-16,2015-10-08,2015-09-24,2015-07-01,8.0,22.0,107.0,16.571428571428573,16.088230755156665,4921
2015-10-27,JOL102,02-4609,4,2015-10-27,2015-10-16,2015-10-08,2015-09-24,11.0,19.0,33.0,16.571428571428573,16.088230755156665,1758
2015-11-03,JOL102,02-4622,1,2015-11-03,2015-10-27,2015-10-16,2015-10-08,7.0,18.0,26.0,16.571428571428573,16.088230755156665,1760
2015-11-11,JOL102,02-6776,1,2015-11-11,2015-11-03,2015-10-27,2015-10-16,8.0,15.0,26.0,16.571428571428573,16.088230755156665,2378
2015-11-24,JOL102,02-4004,2,2015-11-24,2015-11-11,2015-11-03,2015-10-27,13.0,21.0,28.0,16.571428571428573,16.088230755156665,1620
2015-12-10,JOL102,02-3240,6,2015-12-10,2015-11-24,2015-11-11,2015-11-03,16.0,29.0,37.0,16.571428571428573,16.088230755156665,1390
2015-12-17,JOL102,02-5593,6,2015-12-17,2015-12-10,2015-11-24,2015-11-11,7.0,23.0,36.0,16.571428571428573,16.088230755156665,2088
2016-01-07,JOL102,01-0022,2,2016-01-07,2015-12-17,2015-12-10,2015-11-24,21.0,28.0,44.0,16.571428571428573,16.088230755156665,49
2016-01-08,JOL102,SPC1360,1,2016-01-08,2016-01-07,2015-12-17,2015-12-10,1.0,22.0,29.0,16.571428571428573,16.088230755156665,5234
2016-01-14,JOL102,B1-5589,6,2016-01-14,2016-01-08,2016-01-07,2015-12-17,6.0,7.0,28.0,16.571428571428573,16.088230755156665,4515
2016-02-01,JOL102,04-1303,3,2016-02-01,2016-01-14,2016-01-08,2016-01-07,18.0,24.0,25.0,16.571428571428573,16.088230755156665,3368
2016-02-10,JOL102,02-7777,2,2016-02-10,2016-02-01,2016-01-14,2016-01-08,9.0,27.0,33.0,16.571428571428573,16.088230755156665,2686
2016-03-01,JOL102,04-1287,6,2016-03-01,2016-02-10,2016-02-01,2016-01-14,20.0,29.0,47.0,16.571428571428573,16.088230755156665,3367
2016-03-15,JOL102,02-2646,3,2016-03-15,2016-03-01,2016-02-10,2016-02-01,14.0,34.0,43.0,16.571428571428573,16.088230755156665,1200
2016-03-24,JOL102,02-2374,2,2016-03-24,2016-03-15,2016-03-01,2016-02-10,9.0,23.0,43.0,16.571428571428573,16.088230755156665,1104
2016-04-12,JOL102,SPC1360,1,2016-04-12,2016-03-24,2016-03-15,2016-03-01,19.0,28.0,42.0,16.571428571428573,16.088230755156665,5234
2016-05-13,JOL102,SPC1416,3,2016-05-13,2016-04-12,2016-03-24,2016-03-15,31.0,50.0,59.0,16.571428571428573,16.088230755156665,5288
2016-06-02,JOL102,02-3672,3,2016-06-02,2016-05-13,2016-04-12,2016-03-24,20.0,51.0,70.0,16.571428571428573,16.088230755156665,1534
