InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-11-02,KOM101,02-5342,1,2015-11-02,2015-09-03,2015-08-07,2015-06-01,60.0,87.0,154.0,13.384615384615385,23.915013790825725,2023
2015-11-05,KOM101,09-9754,1,2015-11-05,2015-11-02,2015-09-03,2015-08-07,3.0,63.0,90.0,13.384615384615385,23.915013790825725,4020
2015-11-10,KOM101,02-4750,2,2015-11-10,2015-11-05,2015-11-02,2015-09-03,5.0,8.0,68.0,13.384615384615385,23.915013790825725,1817
2015-11-11,KOM101,20-6266,1,2015-11-11,2015-11-10,2015-11-05,2015-11-02,1.0,6.0,9.0,13.384615384615385,23.915013790825725,4345
2015-11-23,KOM101,02-2144,1,2015-11-23,2015-11-11,2015-11-10,2015-11-05,12.0,13.0,18.0,13.384615384615385,23.915013790825725,1040
2015-11-24,KOM101,02-7373,1,2015-11-24,2015-11-23,2015-11-11,2015-11-10,1.0,13.0,14.0,13.384615384615385,23.915013790825725,2564
2015-11-30,KOM101,02-5620,1,2015-11-30,2015-11-24,2015-11-23,2015-11-11,6.0,7.0,19.0,13.384615384615385,23.915013790825725,2098
2015-12-02,KOM101,02-4600,1,2015-12-02,2015-11-30,2015-11-24,2015-11-23,2.0,8.0,9.0,13.384615384615385,23.915013790825725,1752
2015-12-04,KOM101,SPC1180,3,2015-12-04,2015-12-02,2015-11-30,2015-11-24,2.0,4.0,10.0,13.384615384615385,23.915013790825725,5059
2015-12-10,KOM101,02-7082,1,2015-12-10,2015-12-04,2015-12-02,2015-11-30,6.0,8.0,10.0,13.384615384615385,23.915013790825725,2462
2015-12-11,KOM101,02-8757,2,2015-12-11,2015-12-10,2015-12-04,2015-12-02,1.0,7.0,9.0,13.384615384615385,23.915013790825725,2944
2015-12-14,KOM101,02-7807,3,2015-12-14,2015-12-11,2015-12-10,2015-12-04,3.0,4.0,10.0,13.384615384615385,23.915013790825725,2699
2015-12-16,KOM101,06-1149,2,2015-12-16,2015-12-14,2015-12-11,2015-12-10,2.0,5.0,6.0,13.384615384615385,23.915013790825725,3586
2015-12-17,KOM101,SPC1141,2,2015-12-17,2015-12-16,2015-12-14,2015-12-11,1.0,3.0,6.0,13.384615384615385,23.915013790825725,5020
2015-12-28,KOM101,02-2369,6,2015-12-28,2015-12-17,2015-12-16,2015-12-14,11.0,12.0,14.0,13.384615384615385,23.915013790825725,1100
2015-12-30,KOM101,09-9800,2,2015-12-30,2015-12-28,2015-12-17,2015-12-16,2.0,13.0,14.0,13.384615384615385,23.915013790825725,4027
2016-01-04,KOM101,02-6946,2,2016-01-04,2015-12-30,2015-12-28,2015-12-17,5.0,7.0,18.0,13.384615384615385,23.915013790825725,2424
2016-02-01,KOM101,02-7831,2,2016-02-01,2016-01-04,2015-12-30,2015-12-28,28.0,33.0,35.0,13.384615384615385,23.915013790825725,2707
2016-02-02,KOM101,01-0473,8,2016-02-02,2016-02-01,2016-01-04,2015-12-30,1.0,29.0,34.0,13.384615384615385,23.915013790825725,77
2016-02-03,KOM101,02-7834,2,2016-02-03,2016-02-02,2016-02-01,2016-01-04,1.0,2.0,30.0,13.384615384615385,23.915013790825725,2708
2016-02-08,KOM101,02-7758,1,2016-02-08,2016-02-03,2016-02-02,2016-02-01,5.0,6.0,7.0,13.384615384615385,23.915013790825725,2680
2016-02-16,KOM101,0417-18,2,2016-02-16,2016-02-08,2016-02-03,2016-02-02,8.0,13.0,14.0,13.384615384615385,23.915013790825725,3537
2016-02-18,KOM101,SPC1270,1,2016-02-18,2016-02-16,2016-02-08,2016-02-03,2.0,10.0,15.0,13.384615384615385,23.915013790825725,5145
2016-02-24,KOM101,02-4600,1,2016-02-24,2016-02-18,2016-02-16,2016-02-08,6.0,8.0,16.0,13.384615384615385,23.915013790825725,1752
2016-03-02,KOM101,06-0595,3,2016-03-02,2016-02-24,2016-02-18,2016-02-16,7.0,13.0,15.0,13.384615384615385,23.915013790825725,3580
2016-03-04,KOM101,02-3612,2,2016-03-04,2016-03-02,2016-02-24,2016-02-18,2.0,9.0,15.0,13.384615384615385,23.915013790825725,1511
2016-03-08,KOM101,02-8139,1,2016-03-08,2016-03-04,2016-03-02,2016-02-24,4.0,6.0,13.0,13.384615384615385,23.915013790825725,2771
2016-03-09,KOM101,02-7040,2,2016-03-09,2016-03-08,2016-03-04,2016-03-02,1.0,5.0,7.0,13.384615384615385,23.915013790825725,2446
2016-03-10,KOM101,02-6486,3,2016-03-10,2016-03-09,2016-03-08,2016-03-04,1.0,2.0,6.0,13.384615384615385,23.915013790825725,2312
2016-03-14,KOM101,01-3124,4,2016-03-14,2016-03-10,2016-03-09,2016-03-08,4.0,5.0,6.0,13.384615384615385,23.915013790825725,157
2016-03-15,KOM101,SPC1362,1,2016-03-15,2016-03-14,2016-03-10,2016-03-09,1.0,5.0,6.0,13.384615384615385,23.915013790825725,5236
2016-03-17,KOM101,02-3655,1,2016-03-17,2016-03-15,2016-03-14,2016-03-10,2.0,3.0,7.0,13.384615384615385,23.915013790825725,1527
