InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-08-28,LAM113,SPC1015,3,2015-08-28,2015-07-28,2015-06-19,2015-05-22,31.0,70.0,98.0,32.464285714285715,17.887471599184728,4900
2015-09-09,LAM113,02-6889,2,2015-09-09,2015-08-28,2015-07-28,2015-06-19,12.0,43.0,82.0,32.464285714285715,17.887471599184728,2414
2015-09-22,LAM113,02-4255,3,2015-09-22,2015-09-09,2015-08-28,2015-07-28,13.0,25.0,56.0,32.464285714285715,17.887471599184728,1701
2015-09-30,LAM113,02-7411,1,2015-09-30,2015-09-22,2015-09-09,2015-08-28,8.0,21.0,33.0,32.464285714285715,17.887471599184728,2580
2015-10-29,LAM113,02-1196,2,2015-10-29,2015-09-30,2015-09-22,2015-09-09,29.0,37.0,50.0,32.464285714285715,17.887471599184728,734
2015-12-07,LAM113,02-4255,2,2015-12-07,2015-10-29,2015-09-30,2015-09-22,39.0,68.0,76.0,32.464285714285715,17.887471599184728,1701
2016-01-06,LAM113,02-1291,1,2016-01-06,2015-12-07,2015-10-29,2015-09-30,30.0,69.0,98.0,32.464285714285715,17.887471599184728,757
2016-01-15,LAM113,02-4255,2,2016-01-15,2016-01-06,2015-12-07,2015-10-29,9.0,39.0,78.0,32.464285714285715,17.887471599184728,1701
2016-02-16,LAM113,02-7743,4,2016-02-16,2016-01-15,2016-01-06,2015-12-07,32.0,41.0,71.0,32.464285714285715,17.887471599184728,2673
2016-03-21,LAM113,SPC1416,4,2016-03-21,2016-02-16,2016-01-15,2016-01-06,34.0,66.0,75.0,32.464285714285715,17.887471599184728,5288
2016-04-28,LAM113,01-4422,12,2016-04-28,2016-03-21,2016-02-16,2016-01-15,38.0,72.0,104.0,32.464285714285715,17.887471599184728,188
2016-05-04,LAM113,SPC1416,3,2016-05-04,2016-04-28,2016-03-21,2016-02-16,6.0,44.0,78.0,32.464285714285715,17.887471599184728,5288
2016-06-13,LAM113,02-5154,1,2016-06-13,2016-05-04,2016-04-28,2016-03-21,40.0,46.0,84.0,32.464285714285715,17.887471599184728,1958
2016-07-21,LAM113,02-1306,1,2016-07-21,2016-06-13,2016-05-04,2016-04-28,38.0,78.0,84.0,32.464285714285715,17.887471599184728,765
2016-08-18,LAM113,06-4840,24,2016-08-18,2016-07-21,2016-06-13,2016-05-04,28.0,66.0,106.0,32.464285714285715,17.887471599184728,3687
2016-09-23,LAM113,02-7743,1,2016-09-23,2016-08-18,2016-07-21,2016-06-13,36.0,64.0,102.0,32.464285714285715,17.887471599184728,2673
2016-11-11,LAM113,02-6776,1,2016-11-11,2016-09-23,2016-08-18,2016-07-21,49.0,85.0,113.0,32.464285714285715,17.887471599184728,2378
2016-12-21,LAM113,SPC1040,1,2016-12-21,2016-11-11,2016-09-23,2016-08-18,40.0,89.0,125.0,32.464285714285715,17.887471599184728,4921
2017-01-18,LAM113,02-7752,3,2017-01-18,2016-12-21,2016-11-11,2016-09-23,28.0,68.0,117.0,32.464285714285715,17.887471599184728,2677
2017-01-27,LAM113,02-2649,2,2017-01-27,2017-01-18,2016-12-21,2016-11-11,9.0,37.0,77.0,32.464285714285715,17.887471599184728,1203
2017-03-09,LAM113,02-7373,1,2017-03-09,2017-01-27,2017-01-18,2016-12-21,41.0,50.0,78.0,32.464285714285715,17.887471599184728,2564
2017-04-11,LAM113,02-5075,1,2017-04-11,2017-03-09,2017-01-27,2017-01-18,33.0,74.0,83.0,32.464285714285715,17.887471599184728,1932
2017-05-19,LAM113,02-4622,1,2017-05-19,2017-04-11,2017-03-09,2017-01-27,38.0,71.0,112.0,32.464285714285715,17.887471599184728,1760
2017-07-25,LAM113,SPC1922,3,2017-07-25,2017-05-19,2017-04-11,2017-03-09,67.0,105.0,138.0,32.464285714285715,17.887471599184728,5779
2017-08-17,LAM113,SPC1718,200,2017-08-17,2017-07-25,2017-05-19,2017-04-11,23.0,90.0,128.0,32.464285714285715,17.887471599184728,5581
2017-11-16,LAM113,SPC2168,3,2017-11-16,2017-08-17,2017-07-25,2017-05-19,91.0,114.0,181.0,32.464285714285715,17.887471599184728,6006
