InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-06-27,LEE148,02-3816,2,2015-06-27,2015-06-03,2015-05-04,2015-05-02,24.0,54.0,56.0,4.8232323232323235,3.5156020137888184,1578
2015-07-02,LEE148,02-8505,1,2015-07-02,2015-06-27,2015-06-03,2015-05-04,5.0,29.0,59.0,4.8232323232323235,3.5156020137888184,2860
2015-07-15,LEE148,02-7347,1,2015-07-15,2015-07-02,2015-06-27,2015-06-03,13.0,18.0,42.0,4.8232323232323235,3.5156020137888184,2552
2015-07-21,LEE148,10-2619,10,2015-07-21,2015-07-15,2015-07-02,2015-06-27,6.0,19.0,24.0,4.8232323232323235,3.5156020137888184,4113
2015-07-22,LEE148,02-6134,1,2015-07-22,2015-07-21,2015-07-15,2015-07-02,1.0,7.0,20.0,4.8232323232323235,3.5156020137888184,2213
2015-07-25,LEE148,02-6459,1,2015-07-25,2015-07-22,2015-07-21,2015-07-15,3.0,4.0,10.0,4.8232323232323235,3.5156020137888184,2305
2015-07-30,LEE148,03-2515,2,2015-07-30,2015-07-25,2015-07-22,2015-07-21,5.0,8.0,9.0,4.8232323232323235,3.5156020137888184,3268
2015-08-03,LEE148,02-1416,8,2015-08-03,2015-07-30,2015-07-25,2015-07-22,4.0,9.0,12.0,4.8232323232323235,3.5156020137888184,800
2015-08-04,LEE148,09-9758,20,2015-08-04,2015-08-03,2015-07-30,2015-07-25,1.0,5.0,10.0,4.8232323232323235,3.5156020137888184,4022
2015-08-05,LEE148,SPC1155,2,2015-08-05,2015-08-04,2015-08-03,2015-07-30,1.0,2.0,6.0,4.8232323232323235,3.5156020137888184,5034
2015-08-06,LEE148,02-6153,3,2015-08-06,2015-08-05,2015-08-04,2015-08-03,1.0,2.0,3.0,4.8232323232323235,3.5156020137888184,2216
2015-08-08,LEE148,B2-4413,1,2015-08-08,2015-08-06,2015-08-05,2015-08-04,2.0,3.0,4.0,4.8232323232323235,3.5156020137888184,4562
2015-08-10,LEE148,02-6454,1,2015-08-10,2015-08-08,2015-08-06,2015-08-05,2.0,4.0,5.0,4.8232323232323235,3.5156020137888184,2303
2015-08-11,LEE148,C2-0197,2,2015-08-11,2015-08-10,2015-08-08,2015-08-06,1.0,3.0,5.0,4.8232323232323235,3.5156020137888184,4586
2015-08-15,LEE148,02-7347,1,2015-08-15,2015-08-11,2015-08-10,2015-08-08,4.0,5.0,7.0,4.8232323232323235,3.5156020137888184,2552
2015-08-21,LEE148,02-1404,2,2015-08-21,2015-08-15,2015-08-11,2015-08-10,6.0,10.0,11.0,4.8232323232323235,3.5156020137888184,791
2015-08-29,LEE148,01-5469,3,2015-08-29,2015-08-21,2015-08-15,2015-08-11,8.0,14.0,18.0,4.8232323232323235,3.5156020137888184,226
2015-09-01,LEE148,02-7411,1,2015-09-01,2015-08-29,2015-08-21,2015-08-15,3.0,11.0,17.0,4.8232323232323235,3.5156020137888184,2580
2015-09-02,LEE148,B2-0464,2,2015-09-02,2015-09-01,2015-08-29,2015-08-21,1.0,4.0,12.0,4.8232323232323235,3.5156020137888184,4527
2015-09-03,LEE148,C2-0197,2,2015-09-03,2015-09-02,2015-09-01,2015-08-29,1.0,2.0,5.0,4.8232323232323235,3.5156020137888184,4586
2015-09-08,LEE148,09-9576,2,2015-09-08,2015-09-03,2015-09-02,2015-09-01,5.0,6.0,7.0,4.8232323232323235,3.5156020137888184,3998
2015-09-10,LEE148,08-1230,5,2015-09-10,2015-09-08,2015-09-03,2015-09-02,2.0,7.0,8.0,4.8232323232323235,3.5156020137888184,3855
2015-09-11,LEE148,B2-4277,1,2015-09-11,2015-09-10,2015-09-08,2015-09-03,1.0,3.0,8.0,4.8232323232323235,3.5156020137888184,4552
2015-09-16,LEE148,20-1272,2,2015-09-16,2015-09-11,2015-09-10,2015-09-08,5.0,6.0,8.0,4.8232323232323235,3.5156020137888184,4264
2015-09-25,LEE148,02-7916,1,2015-09-25,2015-09-16,2015-09-11,2015-09-10,9.0,14.0,15.0,4.8232323232323235,3.5156020137888184,2721
2015-09-30,LEE148,03-3308,4,2015-09-30,2015-09-25,2015-09-16,2015-09-11,5.0,14.0,19.0,4.8232323232323235,3.5156020137888184,3274
2015-10-02,LEE148,C2-0197,2,2015-10-02,2015-09-30,2015-09-25,2015-09-16,2.0,7.0,16.0,4.8232323232323235,3.5156020137888184,4586
2015-10-03,LEE148,03-3308,1,2015-10-03,2015-10-02,2015-09-30,2015-09-25,1.0,3.0,8.0,4.8232323232323235,3.5156020137888184,3274
2015-10-07,LEE148,03-3308,2,2015-10-07,2015-10-03,2015-10-02,2015-09-30,4.0,5.0,7.0,4.8232323232323235,3.5156020137888184,3274
2015-10-09,LEE148,B1-4414,2,2015-10-09,2015-10-07,2015-10-03,2015-10-02,2.0,6.0,7.0,4.8232323232323235,3.5156020137888184,4514
2015-10-17,LEE148,03-3308,2,2015-10-17,2015-10-09,2015-10-07,2015-10-03,8.0,10.0,14.0,4.8232323232323235,3.5156020137888184,3274
2015-10-19,LEE148,B2-0465,1,2015-10-19,2015-10-17,2015-10-09,2015-10-07,2.0,10.0,12.0,4.8232323232323235,3.5156020137888184,4528
2015-10-21,LEE148,02-1750,1,2015-10-21,2015-10-19,2015-10-17,2015-10-09,2.0,4.0,12.0,4.8232323232323235,3.5156020137888184,891
2015-10-28,LEE148,03-3308,2,2015-10-28,2015-10-21,2015-10-19,2015-10-17,7.0,9.0,11.0,4.8232323232323235,3.5156020137888184,3274
2015-10-31,LEE148,02-2644,1,2015-10-31,2015-10-28,2015-10-21,2015-10-19,3.0,10.0,12.0,4.8232323232323235,3.5156020137888184,1198
2015-11-04,LEE148,02-1196,2,2015-11-04,2015-10-31,2015-10-28,2015-10-21,4.0,7.0,14.0,4.8232323232323235,3.5156020137888184,734
2015-11-09,LEE148,SPC1303,6,2015-11-09,2015-11-04,2015-10-31,2015-10-28,5.0,9.0,12.0,4.8232323232323235,3.5156020137888184,5178
2015-11-11,LEE148,02-5340,1,2015-11-11,2015-11-09,2015-11-04,2015-10-31,2.0,7.0,11.0,4.8232323232323235,3.5156020137888184,2022
2015-11-16,LEE148,01-2558,1,2015-11-16,2015-11-11,2015-11-09,2015-11-04,5.0,7.0,12.0,4.8232323232323235,3.5156020137888184,129
2015-11-21,LEE148,02-1153,1,2015-11-21,2015-11-16,2015-11-11,2015-11-09,5.0,10.0,12.0,4.8232323232323235,3.5156020137888184,721
2015-11-23,LEE148,02-2421,2,2015-11-23,2015-11-21,2015-11-16,2015-11-11,2.0,7.0,12.0,4.8232323232323235,3.5156020137888184,1121
2015-11-30,LEE148,02-0583,1,2015-11-30,2015-11-23,2015-11-21,2015-11-16,7.0,9.0,14.0,4.8232323232323235,3.5156020137888184,544
2015-12-05,LEE148,03-3308,2,2015-12-05,2015-11-30,2015-11-23,2015-11-21,5.0,12.0,14.0,4.8232323232323235,3.5156020137888184,3274
2015-12-09,LEE148,02-7646,1,2015-12-09,2015-12-05,2015-11-30,2015-11-23,4.0,9.0,16.0,4.8232323232323235,3.5156020137888184,2636
2015-12-12,LEE148,01-0275,4,2015-12-12,2015-12-09,2015-12-05,2015-11-30,3.0,7.0,12.0,4.8232323232323235,3.5156020137888184,62
2015-12-23,LEE148,02-0235,5,2015-12-23,2015-12-12,2015-12-09,2015-12-05,11.0,14.0,18.0,4.8232323232323235,3.5156020137888184,410
2016-01-05,LEE148,02-2421,4,2016-01-05,2015-12-23,2015-12-12,2015-12-09,13.0,24.0,27.0,4.8232323232323235,3.5156020137888184,1121
2016-01-06,LEE148,C2-0197,1,2016-01-06,2016-01-05,2015-12-23,2015-12-12,1.0,14.0,25.0,4.8232323232323235,3.5156020137888184,4586
2016-01-14,LEE148,C2-2665,2,2016-01-14,2016-01-06,2016-01-05,2015-12-23,8.0,9.0,22.0,4.8232323232323235,3.5156020137888184,4641
2016-01-19,LEE148,03-4756,1,2016-01-19,2016-01-14,2016-01-06,2016-01-05,5.0,13.0,14.0,4.8232323232323235,3.5156020137888184,3283
2016-01-20,LEE148,C2-0197,2,2016-01-20,2016-01-19,2016-01-14,2016-01-06,1.0,6.0,14.0,4.8232323232323235,3.5156020137888184,4586
2016-01-21,LEE148,02-2642,2,2016-01-21,2016-01-20,2016-01-19,2016-01-14,1.0,2.0,7.0,4.8232323232323235,3.5156020137888184,1196
2016-01-28,LEE148,02-6054,1,2016-01-28,2016-01-21,2016-01-20,2016-01-19,7.0,8.0,9.0,4.8232323232323235,3.5156020137888184,2191
2016-02-02,LEE148,02-8764,8,2016-02-02,2016-01-28,2016-01-21,2016-01-20,5.0,12.0,13.0,4.8232323232323235,3.5156020137888184,2945
2016-02-05,LEE148,02-2644,1,2016-02-05,2016-02-02,2016-01-28,2016-01-21,3.0,8.0,15.0,4.8232323232323235,3.5156020137888184,1198
2016-02-20,LEE148,04-5827,1,2016-02-20,2016-02-05,2016-02-02,2016-01-28,15.0,18.0,23.0,4.8232323232323235,3.5156020137888184,3498
2016-02-27,LEE148,03-0520,2,2016-02-27,2016-02-20,2016-02-05,2016-02-02,7.0,22.0,25.0,4.8232323232323235,3.5156020137888184,3256
2016-02-29,LEE148,C2-0197,1,2016-02-29,2016-02-27,2016-02-20,2016-02-05,2.0,9.0,24.0,4.8232323232323235,3.5156020137888184,4586
2016-03-03,LEE148,C2-5899,2,2016-03-03,2016-02-29,2016-02-27,2016-02-20,3.0,5.0,12.0,4.8232323232323235,3.5156020137888184,4708
2016-03-04,LEE148,C2-1059,2,2016-03-04,2016-03-03,2016-02-29,2016-02-27,1.0,4.0,6.0,4.8232323232323235,3.5156020137888184,4595
2016-03-08,LEE148,10-4784,4,2016-03-08,2016-03-04,2016-03-03,2016-02-29,4.0,5.0,8.0,4.8232323232323235,3.5156020137888184,4144
2016-03-12,LEE148,03-0520,2,2016-03-12,2016-03-08,2016-03-04,2016-03-03,4.0,8.0,9.0,4.8232323232323235,3.5156020137888184,3256
2016-03-15,LEE148,C2-1226,3,2016-03-15,2016-03-12,2016-03-08,2016-03-04,3.0,7.0,11.0,4.8232323232323235,3.5156020137888184,4612
2016-03-16,LEE148,C2-0175,1,2016-03-16,2016-03-15,2016-03-12,2016-03-08,1.0,4.0,8.0,4.8232323232323235,3.5156020137888184,4583
2016-03-18,LEE148,04-2646,1,2016-03-18,2016-03-16,2016-03-15,2016-03-12,2.0,3.0,6.0,4.8232323232323235,3.5156020137888184,3407
2016-03-22,LEE148,C2-5899,1,2016-03-22,2016-03-18,2016-03-16,2016-03-15,4.0,6.0,7.0,4.8232323232323235,3.5156020137888184,4708
2016-03-25,LEE148,C2-4487,1,2016-03-25,2016-03-22,2016-03-18,2016-03-16,3.0,7.0,9.0,4.8232323232323235,3.5156020137888184,4664
2016-03-30,LEE148,C2-1174,1,2016-03-30,2016-03-25,2016-03-22,2016-03-18,5.0,8.0,12.0,4.8232323232323235,3.5156020137888184,4608
2016-04-02,LEE148,02-7121,1,2016-04-02,2016-03-30,2016-03-25,2016-03-22,3.0,8.0,11.0,4.8232323232323235,3.5156020137888184,2476
2016-04-13,LEE148,C2-0197,1,2016-04-13,2016-04-02,2016-03-30,2016-03-25,11.0,14.0,19.0,4.8232323232323235,3.5156020137888184,4586
2016-04-21,LEE148,02-0235,2,2016-04-21,2016-04-13,2016-04-02,2016-03-30,8.0,19.0,22.0,4.8232323232323235,3.5156020137888184,410
2016-04-22,LEE148,02-1637,1,2016-04-22,2016-04-21,2016-04-13,2016-04-02,1.0,9.0,20.0,4.8232323232323235,3.5156020137888184,868
2016-04-26,LEE148,06-0344,1,2016-04-26,2016-04-22,2016-04-21,2016-04-13,4.0,5.0,13.0,4.8232323232323235,3.5156020137888184,3564
2016-05-02,LEE148,02-3836,3,2016-05-02,2016-04-26,2016-04-22,2016-04-21,6.0,10.0,11.0,4.8232323232323235,3.5156020137888184,1586
2016-05-05,LEE148,C2-1222,1,2016-05-05,2016-05-02,2016-04-26,2016-04-22,3.0,9.0,13.0,4.8232323232323235,3.5156020137888184,4611
2016-05-06,LEE148,02-8185,1,2016-05-06,2016-05-05,2016-05-02,2016-04-26,1.0,4.0,10.0,4.8232323232323235,3.5156020137888184,2785
2016-05-11,LEE148,02-0536,6,2016-05-11,2016-05-06,2016-05-05,2016-05-02,5.0,6.0,9.0,4.8232323232323235,3.5156020137888184,518
2016-05-19,LEE148,02-5494,5,2016-05-19,2016-05-11,2016-05-06,2016-05-05,8.0,13.0,14.0,4.8232323232323235,3.5156020137888184,2069
2016-05-26,LEE148,09-9758,10,2016-05-26,2016-05-19,2016-05-11,2016-05-06,7.0,15.0,20.0,4.8232323232323235,3.5156020137888184,4022
2016-05-31,LEE148,02-2643,2,2016-05-31,2016-05-26,2016-05-19,2016-05-11,5.0,12.0,20.0,4.8232323232323235,3.5156020137888184,1197
2016-06-01,LEE148,02-7292,2,2016-06-01,2016-05-31,2016-05-26,2016-05-19,1.0,6.0,13.0,4.8232323232323235,3.5156020137888184,2529
2016-06-07,LEE148,02-8196,2,2016-06-07,2016-06-01,2016-05-31,2016-05-26,6.0,7.0,12.0,4.8232323232323235,3.5156020137888184,2789
2016-06-08,LEE148,02-4976,5,2016-06-08,2016-06-07,2016-06-01,2016-05-31,1.0,7.0,8.0,4.8232323232323235,3.5156020137888184,1885
2016-06-11,LEE148,02-3079,1,2016-06-11,2016-06-08,2016-06-07,2016-06-01,3.0,4.0,10.0,4.8232323232323235,3.5156020137888184,1340
2016-06-13,LEE148,02-0635,1,2016-06-13,2016-06-11,2016-06-08,2016-06-07,2.0,5.0,6.0,4.8232323232323235,3.5156020137888184,571
2016-06-20,LEE148,02-8499,2,2016-06-20,2016-06-13,2016-06-11,2016-06-08,7.0,9.0,12.0,4.8232323232323235,3.5156020137888184,2858
2016-06-23,LEE148,02-0635,1,2016-06-23,2016-06-20,2016-06-13,2016-06-11,3.0,10.0,12.0,4.8232323232323235,3.5156020137888184,571
2016-06-28,LEE148,02-3223,1,2016-06-28,2016-06-23,2016-06-20,2016-06-13,5.0,8.0,15.0,4.8232323232323235,3.5156020137888184,1381
2016-07-05,LEE148,02-0498,2,2016-07-05,2016-06-28,2016-06-23,2016-06-20,7.0,12.0,15.0,4.8232323232323235,3.5156020137888184,501
2016-07-07,LEE148,02-2459,2,2016-07-07,2016-07-05,2016-06-28,2016-06-23,2.0,9.0,14.0,4.8232323232323235,3.5156020137888184,1139
2016-07-12,LEE148,10-4564,3,2016-07-12,2016-07-07,2016-07-05,2016-06-28,5.0,7.0,14.0,4.8232323232323235,3.5156020137888184,4141
2016-07-15,LEE148,02-3782,1,2016-07-15,2016-07-12,2016-07-07,2016-07-05,3.0,8.0,10.0,4.8232323232323235,3.5156020137888184,1564
2016-07-18,LEE148,02-4135,1,2016-07-18,2016-07-15,2016-07-12,2016-07-07,3.0,6.0,11.0,4.8232323232323235,3.5156020137888184,1659
2016-07-20,LEE148,02-7081,1,2016-07-20,2016-07-18,2016-07-15,2016-07-12,2.0,5.0,8.0,4.8232323232323235,3.5156020137888184,2461
2016-07-26,LEE148,02-5816,2,2016-07-26,2016-07-20,2016-07-18,2016-07-15,6.0,8.0,11.0,4.8232323232323235,3.5156020137888184,2146
2016-07-28,LEE148,02-6580,2,2016-07-28,2016-07-26,2016-07-20,2016-07-18,2.0,8.0,10.0,4.8232323232323235,3.5156020137888184,2337
2016-07-30,LEE148,02-6379,1,2016-07-30,2016-07-28,2016-07-26,2016-07-20,2.0,4.0,10.0,4.8232323232323235,3.5156020137888184,2283
2016-08-03,LEE148,02-8512,1,2016-08-03,2016-07-30,2016-07-28,2016-07-26,4.0,6.0,8.0,4.8232323232323235,3.5156020137888184,2864
2016-08-10,LEE148,02-2644,3,2016-08-10,2016-08-03,2016-07-30,2016-07-28,7.0,11.0,13.0,4.8232323232323235,3.5156020137888184,1198
2016-08-16,LEE148,02-5612,3,2016-08-16,2016-08-10,2016-08-03,2016-07-30,6.0,13.0,17.0,4.8232323232323235,3.5156020137888184,2092
2016-08-23,LEE148,02-7191,1,2016-08-23,2016-08-16,2016-08-10,2016-08-03,7.0,13.0,20.0,4.8232323232323235,3.5156020137888184,2502
2016-08-30,LEE148,SPC1599,1,2016-08-30,2016-08-23,2016-08-16,2016-08-10,7.0,14.0,20.0,4.8232323232323235,3.5156020137888184,5466
2016-08-31,LEE148,03-4756,1,2016-08-31,2016-08-30,2016-08-23,2016-08-16,1.0,8.0,15.0,4.8232323232323235,3.5156020137888184,3283
2016-09-06,LEE148,02-7476,2,2016-09-06,2016-08-31,2016-08-30,2016-08-23,6.0,7.0,14.0,4.8232323232323235,3.5156020137888184,2603
2016-09-08,LEE148,08-4419,2,2016-09-08,2016-09-06,2016-08-31,2016-08-30,2.0,8.0,9.0,4.8232323232323235,3.5156020137888184,3863
2016-09-10,LEE148,02-7393,1,2016-09-10,2016-09-08,2016-09-06,2016-08-31,2.0,4.0,10.0,4.8232323232323235,3.5156020137888184,2575
2016-09-20,LEE148,02-5250,1,2016-09-20,2016-09-10,2016-09-08,2016-09-06,10.0,12.0,14.0,4.8232323232323235,3.5156020137888184,2002
2016-09-22,LEE148,02-1266,1,2016-09-22,2016-09-20,2016-09-10,2016-09-08,2.0,12.0,14.0,4.8232323232323235,3.5156020137888184,750
2016-09-27,LEE148,08-4419,2,2016-09-27,2016-09-22,2016-09-20,2016-09-10,5.0,7.0,17.0,4.8232323232323235,3.5156020137888184,3863
2016-10-03,LEE148,02-5227,2,2016-10-03,2016-09-27,2016-09-22,2016-09-20,6.0,11.0,13.0,4.8232323232323235,3.5156020137888184,1997
2016-10-05,LEE148,04-1402,3,2016-10-05,2016-10-03,2016-09-27,2016-09-22,2.0,8.0,13.0,4.8232323232323235,3.5156020137888184,3377
2016-10-06,LEE148,21-8550,1,2016-10-06,2016-10-05,2016-10-03,2016-09-27,1.0,3.0,9.0,4.8232323232323235,3.5156020137888184,4462
2016-10-13,LEE148,02-6460,1,2016-10-13,2016-10-06,2016-10-05,2016-10-03,7.0,8.0,10.0,4.8232323232323235,3.5156020137888184,2306
2016-10-20,LEE148,SPC1621,8,2016-10-20,2016-10-13,2016-10-06,2016-10-05,7.0,14.0,15.0,4.8232323232323235,3.5156020137888184,5488
2016-10-26,LEE148,02-8512,1,2016-10-26,2016-10-20,2016-10-13,2016-10-06,6.0,13.0,20.0,4.8232323232323235,3.5156020137888184,2864
2016-11-02,LEE148,02-4975,2,2016-11-02,2016-10-26,2016-10-20,2016-10-13,7.0,13.0,20.0,4.8232323232323235,3.5156020137888184,1884
2016-11-03,LEE148,02-6621,1,2016-11-03,2016-11-02,2016-10-26,2016-10-20,1.0,8.0,14.0,4.8232323232323235,3.5156020137888184,2352
2016-11-07,LEE148,02-0876,2,2016-11-07,2016-11-03,2016-11-02,2016-10-26,4.0,5.0,12.0,4.8232323232323235,3.5156020137888184,650
2016-11-08,LEE148,08-4419,2,2016-11-08,2016-11-07,2016-11-03,2016-11-02,1.0,5.0,6.0,4.8232323232323235,3.5156020137888184,3863
2016-11-12,LEE148,02-3628,1,2016-11-12,2016-11-08,2016-11-07,2016-11-03,4.0,5.0,9.0,4.8232323232323235,3.5156020137888184,1521
2016-11-16,LEE148,02-2043,1,2016-11-16,2016-11-12,2016-11-08,2016-11-07,4.0,8.0,9.0,4.8232323232323235,3.5156020137888184,994
2016-11-22,LEE148,SPC1703,1,2016-11-22,2016-11-16,2016-11-12,2016-11-08,6.0,10.0,14.0,4.8232323232323235,3.5156020137888184,5567
2016-11-29,LEE148,01-1456,9,2016-11-29,2016-11-22,2016-11-16,2016-11-12,7.0,13.0,17.0,4.8232323232323235,3.5156020137888184,110
2016-12-06,LEE148,02-0583,1,2016-12-06,2016-11-29,2016-11-22,2016-11-16,7.0,14.0,20.0,4.8232323232323235,3.5156020137888184,544
