InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-05-06,MAK100,01-0050,12,2015-05-06,2015-05-05,2015-05-04,2015-05-01,1.0,2.0,5.0,1.9637526652452026,2.111417777871518,50
2015-05-08,MAK100,01-4400,18,2015-05-08,2015-05-06,2015-05-05,2015-05-04,2.0,3.0,4.0,1.9637526652452026,2.111417777871518,187
2015-05-11,MAK100,02-0436,12,2015-05-11,2015-05-08,2015-05-06,2015-05-05,3.0,5.0,6.0,1.9637526652452026,2.111417777871518,481
2015-05-12,MAK100,10-4908,24,2015-05-12,2015-05-11,2015-05-08,2015-05-06,1.0,4.0,6.0,1.9637526652452026,2.111417777871518,4149
2015-05-13,MAK100,02-3897,8,2015-05-13,2015-05-12,2015-05-11,2015-05-08,1.0,2.0,5.0,1.9637526652452026,2.111417777871518,1603
2015-05-14,MAK100,02-5860,12,2015-05-14,2015-05-13,2015-05-12,2015-05-11,1.0,2.0,3.0,1.9637526652452026,2.111417777871518,2157
2015-05-15,MAK100,01-6264,24,2015-05-15,2015-05-14,2015-05-13,2015-05-12,1.0,2.0,3.0,1.9637526652452026,2.111417777871518,267
2015-05-18,MAK100,06-6291,22,2015-05-18,2015-05-15,2015-05-14,2015-05-13,3.0,4.0,5.0,1.9637526652452026,2.111417777871518,3756
2015-05-20,MAK100,01-5751,1,2015-05-20,2015-05-18,2015-05-15,2015-05-14,2.0,5.0,6.0,1.9637526652452026,2.111417777871518,243
2015-05-21,MAK100,02-2144,3,2015-05-21,2015-05-20,2015-05-18,2015-05-15,1.0,3.0,6.0,1.9637526652452026,2.111417777871518,1040
2015-05-26,MAK100,02-7958,4,2015-05-26,2015-05-21,2015-05-20,2015-05-18,5.0,6.0,8.0,1.9637526652452026,2.111417777871518,2731
2015-05-27,MAK100,02-2885,6,2015-05-27,2015-05-26,2015-05-21,2015-05-20,1.0,6.0,7.0,1.9637526652452026,2.111417777871518,1258
2015-05-28,MAK100,02-3897,3,2015-05-28,2015-05-27,2015-05-26,2015-05-21,1.0,2.0,7.0,1.9637526652452026,2.111417777871518,1603
2015-05-29,MAK100,01-4400,24,2015-05-29,2015-05-28,2015-05-27,2015-05-26,1.0,2.0,3.0,1.9637526652452026,2.111417777871518,187
2015-06-01,MAK100,02-1416,54,2015-06-01,2015-05-29,2015-05-28,2015-05-27,3.0,4.0,5.0,1.9637526652452026,2.111417777871518,800
2015-06-02,MAK100,06-0082,2,2015-06-02,2015-06-01,2015-05-29,2015-05-28,1.0,4.0,5.0,1.9637526652452026,2.111417777871518,3554
2015-06-03,MAK100,02-5588,1,2015-06-03,2015-06-02,2015-06-01,2015-05-29,1.0,2.0,5.0,1.9637526652452026,2.111417777871518,2087
2015-06-05,MAK100,02-2794,2,2015-06-05,2015-06-03,2015-06-02,2015-06-01,2.0,3.0,4.0,1.9637526652452026,2.111417777871518,1231
2015-06-09,MAK100,02-5706,1,2015-06-09,2015-06-05,2015-06-03,2015-06-02,4.0,6.0,7.0,1.9637526652452026,2.111417777871518,2121
2015-06-11,MAK100,02-1922,36,2015-06-11,2015-06-09,2015-06-05,2015-06-03,2.0,6.0,8.0,1.9637526652452026,2.111417777871518,953
2015-06-12,MAK100,01-4572,2,2015-06-12,2015-06-11,2015-06-09,2015-06-05,1.0,3.0,7.0,1.9637526652452026,2.111417777871518,192
2015-06-15,MAK100,02-4749,6,2015-06-15,2015-06-12,2015-06-11,2015-06-09,3.0,4.0,6.0,1.9637526652452026,2.111417777871518,1816
2015-06-16,MAK100,02-1427,24,2015-06-16,2015-06-15,2015-06-12,2015-06-11,1.0,4.0,5.0,1.9637526652452026,2.111417777871518,805
2015-06-17,MAK100,02-6381,2,2015-06-17,2015-06-16,2015-06-15,2015-06-12,1.0,2.0,5.0,1.9637526652452026,2.111417777871518,2284
2015-06-18,MAK100,01-5280,12,2015-06-18,2015-06-17,2015-06-16,2015-06-15,1.0,2.0,3.0,1.9637526652452026,2.111417777871518,213
2015-06-19,MAK100,02-4750,12,2015-06-19,2015-06-18,2015-06-17,2015-06-16,1.0,2.0,3.0,1.9637526652452026,2.111417777871518,1817
2015-06-22,MAK100,10-4564,18,2015-06-22,2015-06-19,2015-06-18,2015-06-17,3.0,4.0,5.0,1.9637526652452026,2.111417777871518,4141
2015-06-23,MAK100,02-7386,1,2015-06-23,2015-06-22,2015-06-19,2015-06-18,1.0,4.0,5.0,1.9637526652452026,2.111417777871518,2570
