InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-05-13,MAN155,02-6458,1,2015-05-13,2015-05-07,2015-05-05,2015-05-01,6.0,8.0,12.0,7.416666666666667,7.31833116321561,2304
2015-05-19,MAN155,02-6599,1,2015-05-19,2015-05-13,2015-05-07,2015-05-05,6.0,12.0,14.0,7.416666666666667,7.31833116321561,2342
2015-06-24,MAN155,02-7958,2,2015-06-24,2015-05-19,2015-05-13,2015-05-07,36.0,42.0,48.0,7.416666666666667,7.31833116321561,2731
2015-07-01,MAN155,06-5453,1,2015-07-01,2015-06-24,2015-05-19,2015-05-13,7.0,43.0,49.0,7.416666666666667,7.31833116321561,3708
2015-07-02,MAN155,02-0535,1,2015-07-02,2015-07-01,2015-06-24,2015-05-19,1.0,8.0,44.0,7.416666666666667,7.31833116321561,517
2015-07-09,MAN155,06-0348,1,2015-07-09,2015-07-02,2015-07-01,2015-06-24,7.0,8.0,15.0,7.416666666666667,7.31833116321561,3567
2015-07-13,MAN155,02-5376,3,2015-07-13,2015-07-09,2015-07-02,2015-07-01,4.0,11.0,12.0,7.416666666666667,7.31833116321561,2030
2015-07-16,MAN155,02-6207,1,2015-07-16,2015-07-13,2015-07-09,2015-07-02,3.0,7.0,14.0,7.416666666666667,7.31833116321561,2229
2015-07-20,MAN155,02-7958,1,2015-07-20,2015-07-16,2015-07-13,2015-07-09,4.0,7.0,11.0,7.416666666666667,7.31833116321561,2731
2015-07-21,MAN155,10-4906,1,2015-07-21,2015-07-20,2015-07-16,2015-07-13,1.0,5.0,8.0,7.416666666666667,7.31833116321561,4148
2015-08-03,MAN155,06-0163,1,2015-08-03,2015-07-21,2015-07-20,2015-07-16,13.0,14.0,18.0,7.416666666666667,7.31833116321561,3560
2015-08-05,MAN155,02-1854,2,2015-08-05,2015-08-03,2015-07-21,2015-07-20,2.0,15.0,16.0,7.416666666666667,7.31833116321561,933
2015-08-12,MAN155,02-4600,2,2015-08-12,2015-08-05,2015-08-03,2015-07-21,7.0,9.0,22.0,7.416666666666667,7.31833116321561,1752
2015-08-17,MAN155,SPC1182,1,2015-08-17,2015-08-12,2015-08-05,2015-08-03,5.0,12.0,14.0,7.416666666666667,7.31833116321561,5061
2015-08-21,MAN155,02-7958,1,2015-08-21,2015-08-17,2015-08-12,2015-08-05,4.0,9.0,16.0,7.416666666666667,7.31833116321561,2731
2015-08-27,MAN155,SPC1223,1,2015-08-27,2015-08-21,2015-08-17,2015-08-12,6.0,10.0,15.0,7.416666666666667,7.31833116321561,5102
2015-09-03,MAN155,SPC1223,1,2015-09-03,2015-08-27,2015-08-21,2015-08-17,7.0,13.0,17.0,7.416666666666667,7.31833116321561,5102
2015-09-09,MAN155,01-2093,1,2015-09-09,2015-09-03,2015-08-27,2015-08-21,6.0,13.0,19.0,7.416666666666667,7.31833116321561,115
2015-09-14,MAN155,02-7121,1,2015-09-14,2015-09-09,2015-09-03,2015-08-27,5.0,11.0,18.0,7.416666666666667,7.31833116321561,2476
2015-09-25,MAN155,06-0163,1,2015-09-25,2015-09-14,2015-09-09,2015-09-03,11.0,16.0,22.0,7.416666666666667,7.31833116321561,3560
2015-10-08,MAN155,02-8522,1,2015-10-08,2015-09-25,2015-09-14,2015-09-09,13.0,24.0,29.0,7.416666666666667,7.31833116321561,2868
2015-10-26,MAN155,06-2663,2,2015-10-26,2015-10-08,2015-09-25,2015-09-14,18.0,31.0,42.0,7.416666666666667,7.31833116321561,3620
