InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-12-22,MAR292,SPC1040,3,2015-12-22,2015-12-21,2015-12-18,2015-12-15,1.0,4.0,7.0,8.44,9.45639113686259,4921
2015-12-28,MAR292,B1-5589,3,2015-12-28,2015-12-22,2015-12-21,2015-12-18,6.0,7.0,10.0,8.44,9.45639113686259,4515
2015-12-30,MAR292,02-7912,2,2015-12-30,2015-12-28,2015-12-22,2015-12-21,2.0,8.0,9.0,8.44,9.45639113686259,2719
2016-01-12,MAR292,02-8991,3,2016-01-12,2015-12-30,2015-12-28,2015-12-22,13.0,15.0,21.0,8.44,9.45639113686259,3014
2016-01-20,MAR292,B1-4301,1,2016-01-20,2016-01-12,2015-12-30,2015-12-28,8.0,21.0,23.0,8.44,9.45639113686259,4513
2016-01-21,MAR292,02-1168,3,2016-01-21,2016-01-20,2016-01-12,2015-12-30,1.0,9.0,22.0,8.44,9.45639113686259,722
2016-01-29,MAR292,02-7638,2,2016-01-29,2016-01-21,2016-01-20,2016-01-12,8.0,9.0,17.0,8.44,9.45639113686259,2634
2016-02-05,MAR292,B1-5589,2,2016-02-05,2016-01-29,2016-01-21,2016-01-20,7.0,15.0,16.0,8.44,9.45639113686259,4515
2016-02-11,MAR292,02-4992,2,2016-02-11,2016-02-05,2016-01-29,2016-01-21,6.0,13.0,21.0,8.44,9.45639113686259,1888
2016-02-16,MAR292,02-4992,12,2016-02-16,2016-02-11,2016-02-05,2016-01-29,5.0,11.0,18.0,8.44,9.45639113686259,1888
2016-02-18,MAR292,02-0589,2,2016-02-18,2016-02-16,2016-02-11,2016-02-05,2.0,7.0,13.0,8.44,9.45639113686259,548
2016-02-23,MAR292,SPC1040,2,2016-02-23,2016-02-18,2016-02-16,2016-02-11,5.0,7.0,12.0,8.44,9.45639113686259,4921
2016-03-01,MAR292,02-7758,2,2016-03-01,2016-02-23,2016-02-18,2016-02-16,7.0,12.0,14.0,8.44,9.45639113686259,2680
2016-03-15,MAR292,02-2374,1,2016-03-15,2016-03-01,2016-02-23,2016-02-18,14.0,21.0,26.0,8.44,9.45639113686259,1104
2016-03-17,MAR292,02-2278,2,2016-03-17,2016-03-15,2016-03-01,2016-02-23,2.0,16.0,23.0,8.44,9.45639113686259,1080
2016-03-23,MAR292,02-3816,2,2016-03-23,2016-03-17,2016-03-15,2016-03-01,6.0,8.0,22.0,8.44,9.45639113686259,1578
2016-03-30,MAR292,02-3816,2,2016-03-30,2016-03-23,2016-03-17,2016-03-15,7.0,13.0,15.0,8.44,9.45639113686259,1578
2016-03-31,MAR292,02-7758,2,2016-03-31,2016-03-30,2016-03-23,2016-03-17,1.0,8.0,14.0,8.44,9.45639113686259,2680
2016-04-11,MAR292,02-4992,7,2016-04-11,2016-03-31,2016-03-30,2016-03-23,11.0,12.0,19.0,8.44,9.45639113686259,1888
2016-05-10,MAR292,02-2374,1,2016-05-10,2016-04-11,2016-03-31,2016-03-30,29.0,40.0,41.0,8.44,9.45639113686259,1104
2016-05-13,MAR292,01-4422,6,2016-05-13,2016-05-10,2016-04-11,2016-03-31,3.0,32.0,43.0,8.44,9.45639113686259,188
2016-06-01,MAR292,SPC1040,15,2016-06-01,2016-05-13,2016-05-10,2016-04-11,19.0,22.0,51.0,8.44,9.45639113686259,4921
2016-07-13,MAR292,02-8991,15,2016-07-13,2016-06-01,2016-05-13,2016-05-10,42.0,61.0,64.0,8.44,9.45639113686259,3014
