InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2016-04-22,MBS102,02-4275,1,2016-04-22,2016-04-11,2016-04-07,2016-04-06,11.0,15.0,16.0,1.5850515463917525,1.3021481942608235,1708
2016-05-02,MBS102,01-3931,2,2016-05-02,2016-04-22,2016-04-11,2016-04-07,10.0,21.0,25.0,1.5850515463917525,1.3021481942608235,178
2016-05-04,MBS102,02-0552,1,2016-05-04,2016-05-02,2016-04-22,2016-04-11,2.0,12.0,23.0,1.5850515463917525,1.3021481942608235,527
2016-05-05,MBS102,02-3744,3,2016-05-05,2016-05-04,2016-05-02,2016-04-22,1.0,3.0,13.0,1.5850515463917525,1.3021481942608235,1550
2016-05-06,MBS102,01-6871,6,2016-05-06,2016-05-05,2016-05-04,2016-05-02,1.0,2.0,4.0,1.5850515463917525,1.3021481942608235,290
2016-05-12,MBS102,01-4422,6,2016-05-12,2016-05-06,2016-05-05,2016-05-04,6.0,7.0,8.0,1.5850515463917525,1.3021481942608235,188
2016-05-13,MBS102,01-2668,2,2016-05-13,2016-05-12,2016-05-06,2016-05-05,1.0,7.0,8.0,1.5850515463917525,1.3021481942608235,137
2016-05-16,MBS102,01-2015,1,2016-05-16,2016-05-13,2016-05-12,2016-05-06,3.0,4.0,10.0,1.5850515463917525,1.3021481942608235,114
2016-05-17,MBS102,02-0484,2,2016-05-17,2016-05-16,2016-05-13,2016-05-12,1.0,4.0,5.0,1.5850515463917525,1.3021481942608235,494
2016-05-18,MBS102,01-5469,5,2016-05-18,2016-05-17,2016-05-16,2016-05-13,1.0,2.0,5.0,1.5850515463917525,1.3021481942608235,226
2016-05-19,MBS102,02-0010,1,2016-05-19,2016-05-18,2016-05-17,2016-05-16,1.0,2.0,3.0,1.5850515463917525,1.3021481942608235,333
2016-05-20,MBS102,01-2801,1,2016-05-20,2016-05-19,2016-05-18,2016-05-17,1.0,2.0,3.0,1.5850515463917525,1.3021481942608235,142
2016-05-23,MBS102,02-1390,1,2016-05-23,2016-05-20,2016-05-19,2016-05-18,3.0,4.0,5.0,1.5850515463917525,1.3021481942608235,787
2016-05-24,MBS102,01-2275,6,2016-05-24,2016-05-23,2016-05-20,2016-05-19,1.0,4.0,5.0,1.5850515463917525,1.3021481942608235,116
2016-05-25,MBS102,01-1258,6,2016-05-25,2016-05-24,2016-05-23,2016-05-20,1.0,2.0,5.0,1.5850515463917525,1.3021481942608235,102
2016-05-26,MBS102,01-0792,1,2016-05-26,2016-05-25,2016-05-24,2016-05-23,1.0,2.0,3.0,1.5850515463917525,1.3021481942608235,84
2016-05-27,MBS102,01-2275,6,2016-05-27,2016-05-26,2016-05-25,2016-05-24,1.0,2.0,3.0,1.5850515463917525,1.3021481942608235,116
2016-05-31,MBS102,01-1256,1,2016-05-31,2016-05-27,2016-05-26,2016-05-25,4.0,5.0,6.0,1.5850515463917525,1.3021481942608235,100
2016-06-01,MBS102,01-6871,2,2016-06-01,2016-05-31,2016-05-27,2016-05-26,1.0,5.0,6.0,1.5850515463917525,1.3021481942608235,290
2016-06-02,MBS102,02-1021,1,2016-06-02,2016-06-01,2016-05-31,2016-05-27,1.0,2.0,6.0,1.5850515463917525,1.3021481942608235,674
2016-06-03,MBS102,01-2557,8,2016-06-03,2016-06-02,2016-06-01,2016-05-31,1.0,2.0,3.0,1.5850515463917525,1.3021481942608235,128
2016-06-06,MBS102,01-2015,2,2016-06-06,2016-06-03,2016-06-02,2016-06-01,3.0,4.0,5.0,1.5850515463917525,1.3021481942608235,114
2016-06-07,MBS102,01-6871,3,2016-06-07,2016-06-06,2016-06-03,2016-06-02,1.0,4.0,5.0,1.5850515463917525,1.3021481942608235,290
2016-06-08,MBS102,02-4346,1,2016-06-08,2016-06-07,2016-06-06,2016-06-03,1.0,2.0,5.0,1.5850515463917525,1.3021481942608235,1717
2016-06-09,MBS102,01-4869,2,2016-06-09,2016-06-08,2016-06-07,2016-06-06,1.0,2.0,3.0,1.5850515463917525,1.3021481942608235,199
2016-06-10,MBS102,01-4869,2,2016-06-10,2016-06-09,2016-06-08,2016-06-07,1.0,2.0,3.0,1.5850515463917525,1.3021481942608235,199
2016-06-13,MBS102,01-1258,4,2016-06-13,2016-06-10,2016-06-09,2016-06-08,3.0,4.0,5.0,1.5850515463917525,1.3021481942608235,102
2016-06-14,MBS102,01-6561,2,2016-06-14,2016-06-13,2016-06-10,2016-06-09,1.0,4.0,5.0,1.5850515463917525,1.3021481942608235,281
2016-06-15,MBS102,01-4422,4,2016-06-15,2016-06-14,2016-06-13,2016-06-10,1.0,2.0,5.0,1.5850515463917525,1.3021481942608235,188
2016-06-16,MBS102,01-1258,6,2016-06-16,2016-06-15,2016-06-14,2016-06-13,1.0,2.0,3.0,1.5850515463917525,1.3021481942608235,102
2016-06-17,MBS102,01-1258,4,2016-06-17,2016-06-16,2016-06-15,2016-06-14,1.0,2.0,3.0,1.5850515463917525,1.3021481942608235,102
2016-06-20,MBS102,01-2275,6,2016-06-20,2016-06-17,2016-06-16,2016-06-15,3.0,4.0,5.0,1.5850515463917525,1.3021481942608235,116
2016-06-21,MBS102,01-4422,8,2016-06-21,2016-06-20,2016-06-17,2016-06-16,1.0,4.0,5.0,1.5850515463917525,1.3021481942608235,188
2016-06-22,MBS102,01-1258,4,2016-06-22,2016-06-21,2016-06-20,2016-06-17,1.0,2.0,5.0,1.5850515463917525,1.3021481942608235,102
2016-06-23,MBS102,01-6871,4,2016-06-23,2016-06-22,2016-06-21,2016-06-20,1.0,2.0,3.0,1.5850515463917525,1.3021481942608235,290
2016-06-24,MBS102,01-2275,12,2016-06-24,2016-06-23,2016-06-22,2016-06-21,1.0,2.0,3.0,1.5850515463917525,1.3021481942608235,116
2016-06-27,MBS102,01-4869,2,2016-06-27,2016-06-24,2016-06-23,2016-06-22,3.0,4.0,5.0,1.5850515463917525,1.3021481942608235,199
2016-06-28,MBS102,01-2275,12,2016-06-28,2016-06-27,2016-06-24,2016-06-23,1.0,4.0,5.0,1.5850515463917525,1.3021481942608235,116
2016-06-29,MBS102,01-1258,5,2016-06-29,2016-06-28,2016-06-27,2016-06-24,1.0,2.0,5.0,1.5850515463917525,1.3021481942608235,102
2016-06-30,MBS102,01-1258,5,2016-06-30,2016-06-29,2016-06-28,2016-06-27,1.0,2.0,3.0,1.5850515463917525,1.3021481942608235,102
2016-07-01,MBS102,21-8329,1,2016-07-01,2016-06-30,2016-06-29,2016-06-28,1.0,2.0,3.0,1.5850515463917525,1.3021481942608235,4438
2016-07-05,MBS102,01-1258,6,2016-07-05,2016-07-01,2016-06-30,2016-06-29,4.0,5.0,6.0,1.5850515463917525,1.3021481942608235,102
2016-07-06,MBS102,01-1258,8,2016-07-06,2016-07-05,2016-07-01,2016-06-30,1.0,5.0,6.0,1.5850515463917525,1.3021481942608235,102
2016-07-07,MBS102,01-0473,2,2016-07-07,2016-07-06,2016-07-05,2016-07-01,1.0,2.0,6.0,1.5850515463917525,1.3021481942608235,77
2016-07-08,MBS102,01-1258,6,2016-07-08,2016-07-07,2016-07-06,2016-07-05,1.0,2.0,3.0,1.5850515463917525,1.3021481942608235,102
2016-07-11,MBS102,01-0473,3,2016-07-11,2016-07-08,2016-07-07,2016-07-06,3.0,4.0,5.0,1.5850515463917525,1.3021481942608235,77
2016-07-12,MBS102,02-4622,2,2016-07-12,2016-07-11,2016-07-08,2016-07-07,1.0,4.0,5.0,1.5850515463917525,1.3021481942608235,1760
2016-07-13,MBS102,01-2460,3,2016-07-13,2016-07-12,2016-07-11,2016-07-08,1.0,2.0,5.0,1.5850515463917525,1.3021481942608235,122
2016-07-14,MBS102,01-2275,5,2016-07-14,2016-07-13,2016-07-12,2016-07-11,1.0,2.0,3.0,1.5850515463917525,1.3021481942608235,116
2016-07-15,MBS102,01-2460,2,2016-07-15,2016-07-14,2016-07-13,2016-07-12,1.0,2.0,3.0,1.5850515463917525,1.3021481942608235,122
2016-07-18,MBS102,01-1258,4,2016-07-18,2016-07-15,2016-07-14,2016-07-13,3.0,4.0,5.0,1.5850515463917525,1.3021481942608235,102
2016-07-19,MBS102,01-2275,4,2016-07-19,2016-07-18,2016-07-15,2016-07-14,1.0,4.0,5.0,1.5850515463917525,1.3021481942608235,116
2016-07-20,MBS102,01-1258,4,2016-07-20,2016-07-19,2016-07-18,2016-07-15,1.0,2.0,5.0,1.5850515463917525,1.3021481942608235,102
2016-07-21,MBS102,02-1337,1,2016-07-21,2016-07-20,2016-07-19,2016-07-18,1.0,2.0,3.0,1.5850515463917525,1.3021481942608235,770
2016-07-22,MBS102,01-1256,1,2016-07-22,2016-07-21,2016-07-20,2016-07-19,1.0,2.0,3.0,1.5850515463917525,1.3021481942608235,100
2016-07-25,MBS102,01-2275,5,2016-07-25,2016-07-22,2016-07-21,2016-07-20,3.0,4.0,5.0,1.5850515463917525,1.3021481942608235,116
2016-07-26,MBS102,02-0081,1,2016-07-26,2016-07-25,2016-07-22,2016-07-21,1.0,4.0,5.0,1.5850515463917525,1.3021481942608235,349
