InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2016-10-11,MIK126,02-6053,1,2016-10-11,2016-10-06,2016-09-02,2016-08-17,5.0,39.0,55.0,20.59090909090909,20.99582518799095,2190
2016-10-19,MIK126,02-0326,2,2016-10-19,2016-10-11,2016-10-06,2016-09-02,8.0,13.0,47.0,20.59090909090909,20.99582518799095,438
2016-11-03,MIK126,02-4169,2,2016-11-03,2016-10-19,2016-10-11,2016-10-06,15.0,23.0,28.0,20.59090909090909,20.99582518799095,1680
2016-11-10,MIK126,02-1717,1,2016-11-10,2016-11-03,2016-10-19,2016-10-11,7.0,22.0,30.0,20.59090909090909,20.99582518799095,885
2016-11-17,MIK126,02-2096,2,2016-11-17,2016-11-10,2016-11-03,2016-10-19,7.0,14.0,29.0,20.59090909090909,20.99582518799095,1015
2016-12-09,MIK126,02-2957,1,2016-12-09,2016-11-17,2016-11-10,2016-11-03,22.0,29.0,36.0,20.59090909090909,20.99582518799095,1283
2017-02-20,MIK126,02-0567,4,2017-02-20,2016-12-09,2016-11-17,2016-11-10,73.0,95.0,102.0,20.59090909090909,20.99582518799095,533
2017-04-03,MIK126,02-3520,2,2017-04-03,2017-02-20,2016-12-09,2016-11-17,42.0,115.0,137.0,20.59090909090909,20.99582518799095,1470
2017-04-04,MIK126,02-1124,1,2017-04-04,2017-04-03,2017-02-20,2016-12-09,1.0,43.0,116.0,20.59090909090909,20.99582518799095,707
2017-04-27,MIK126,02-2925,1,2017-04-27,2017-04-04,2017-04-03,2017-02-20,23.0,24.0,66.0,20.59090909090909,20.99582518799095,1271
2017-05-09,MIK126,02-2642,1,2017-05-09,2017-04-27,2017-04-04,2017-04-03,12.0,35.0,36.0,20.59090909090909,20.99582518799095,1196
2017-05-12,MIK126,02-2642,1,2017-05-12,2017-05-09,2017-04-27,2017-04-04,3.0,15.0,38.0,20.59090909090909,20.99582518799095,1196
2017-06-22,MIK126,02-7200,1,2017-06-22,2017-05-12,2017-05-09,2017-04-27,41.0,44.0,56.0,20.59090909090909,20.99582518799095,2506
2017-09-06,MIK126,02-7204,1,2017-09-06,2017-06-22,2017-05-12,2017-05-09,76.0,117.0,120.0,20.59090909090909,20.99582518799095,2507
2017-09-11,MIK126,02-0599,2,2017-09-11,2017-09-06,2017-06-22,2017-05-12,5.0,81.0,122.0,20.59090909090909,20.99582518799095,553
2017-09-25,MIK126,02-5380,2,2017-09-25,2017-09-11,2017-09-06,2017-06-22,14.0,19.0,95.0,20.59090909090909,20.99582518799095,2031
2017-10-17,MIK126,02-8708,3,2017-10-17,2017-09-25,2017-09-11,2017-09-06,22.0,36.0,41.0,20.59090909090909,20.99582518799095,2926
2017-10-30,MIK126,02-4688,1,2017-10-30,2017-10-17,2017-09-25,2017-09-11,13.0,35.0,49.0,20.59090909090909,20.99582518799095,1780
2017-10-31,MIK126,02-6304,3,2017-10-31,2017-10-30,2017-10-17,2017-09-25,1.0,14.0,36.0,20.59090909090909,20.99582518799095,2259
2017-11-13,MIK126,02-4574,2,2017-11-13,2017-10-31,2017-10-30,2017-10-17,13.0,14.0,27.0,20.59090909090909,20.99582518799095,1743
