InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-06-12,MIL205,SPC9070,2,2015-06-12,2015-06-09,2015-06-04,2015-06-03,3.0,8.0,9.0,6.195945945945946,3.5869354471219848,6092
2015-06-16,MIL205,02-6277,3,2015-06-16,2015-06-12,2015-06-09,2015-06-04,4.0,7.0,12.0,6.195945945945946,3.5869354471219848,2245
2015-06-26,MIL205,02-1921,2,2015-06-26,2015-06-16,2015-06-12,2015-06-09,10.0,14.0,17.0,6.195945945945946,3.5869354471219848,952
2015-07-09,MIL205,02-2719,1,2015-07-09,2015-06-26,2015-06-16,2015-06-12,13.0,23.0,27.0,6.195945945945946,3.5869354471219848,1216
2015-07-13,MIL205,02-7393,1,2015-07-13,2015-07-09,2015-06-26,2015-06-16,4.0,17.0,27.0,6.195945945945946,3.5869354471219848,2575
2015-07-14,MIL205,02-0255,2,2015-07-14,2015-07-13,2015-07-09,2015-06-26,1.0,5.0,18.0,6.195945945945946,3.5869354471219848,419
2015-07-15,MIL205,02-6727,1,2015-07-15,2015-07-14,2015-07-13,2015-07-09,1.0,2.0,6.0,6.195945945945946,3.5869354471219848,2371
2015-07-22,MIL205,SPC1008,1,2015-07-22,2015-07-15,2015-07-14,2015-07-13,7.0,8.0,9.0,6.195945945945946,3.5869354471219848,4893
2015-08-04,MIL205,02-2392,1,2015-08-04,2015-07-22,2015-07-15,2015-07-14,13.0,20.0,21.0,6.195945945945946,3.5869354471219848,1110
2015-08-06,MIL205,02-1854,1,2015-08-06,2015-08-04,2015-07-22,2015-07-15,2.0,15.0,22.0,6.195945945945946,3.5869354471219848,933
2015-08-12,MIL205,02-1922,1,2015-08-12,2015-08-06,2015-08-04,2015-07-22,6.0,8.0,21.0,6.195945945945946,3.5869354471219848,953
2015-08-19,MIL205,02-2096,1,2015-08-19,2015-08-12,2015-08-06,2015-08-04,7.0,13.0,15.0,6.195945945945946,3.5869354471219848,1015
2015-08-27,MIL205,02-8306,1,2015-08-27,2015-08-19,2015-08-12,2015-08-06,8.0,15.0,21.0,6.195945945945946,3.5869354471219848,2831
2015-09-02,MIL205,02-7984,1,2015-09-02,2015-08-27,2015-08-19,2015-08-12,6.0,14.0,21.0,6.195945945945946,3.5869354471219848,2739
2015-09-11,MIL205,02-6776,1,2015-09-11,2015-09-02,2015-08-27,2015-08-19,9.0,15.0,23.0,6.195945945945946,3.5869354471219848,2378
2015-09-15,MIL205,02-1063,1,2015-09-15,2015-09-11,2015-09-02,2015-08-27,4.0,13.0,19.0,6.195945945945946,3.5869354471219848,686
2015-09-17,MIL205,02-8301,1,2015-09-17,2015-09-15,2015-09-11,2015-09-02,2.0,6.0,15.0,6.195945945945946,3.5869354471219848,2828
2015-09-23,MIL205,02-6459,1,2015-09-23,2015-09-17,2015-09-15,2015-09-11,6.0,8.0,12.0,6.195945945945946,3.5869354471219848,2305
2015-10-01,MIL205,02-1168,1,2015-10-01,2015-09-23,2015-09-17,2015-09-15,8.0,14.0,16.0,6.195945945945946,3.5869354471219848,722
2015-10-13,MIL205,02-8232,1,2015-10-13,2015-10-01,2015-09-23,2015-09-17,12.0,20.0,26.0,6.195945945945946,3.5869354471219848,2802
2015-10-19,MIL205,02-8232,1,2015-10-19,2015-10-13,2015-10-01,2015-09-23,6.0,18.0,26.0,6.195945945945946,3.5869354471219848,2802
2015-10-27,MIL205,02-0516,2,2015-10-27,2015-10-19,2015-10-13,2015-10-01,8.0,14.0,26.0,6.195945945945946,3.5869354471219848,506
2015-11-02,MIL205,02-0604,1,2015-11-02,2015-10-27,2015-10-19,2015-10-13,6.0,14.0,20.0,6.195945945945946,3.5869354471219848,556
2015-11-05,MIL205,02-6459,1,2015-11-05,2015-11-02,2015-10-27,2015-10-19,3.0,9.0,17.0,6.195945945945946,3.5869354471219848,2305
2015-11-17,MIL205,01-4422,5,2015-11-17,2015-11-05,2015-11-02,2015-10-27,12.0,15.0,21.0,6.195945945945946,3.5869354471219848,188
2015-11-19,MIL205,02-0063,1,2015-11-19,2015-11-17,2015-11-05,2015-11-02,2.0,14.0,17.0,6.195945945945946,3.5869354471219848,347
2015-11-23,MIL205,02-2468,1,2015-11-23,2015-11-19,2015-11-17,2015-11-05,4.0,6.0,18.0,6.195945945945946,3.5869354471219848,1145
2015-12-01,MIL205,02-2392,1,2015-12-01,2015-11-23,2015-11-19,2015-11-17,8.0,12.0,14.0,6.195945945945946,3.5869354471219848,1110
2015-12-04,MIL205,01-0473,1,2015-12-04,2015-12-01,2015-11-23,2015-11-19,3.0,11.0,15.0,6.195945945945946,3.5869354471219848,77
2015-12-08,MIL205,02-4819,1,2015-12-08,2015-12-04,2015-12-01,2015-11-23,4.0,7.0,15.0,6.195945945945946,3.5869354471219848,1838
2015-12-14,MIL205,02-0063,2,2015-12-14,2015-12-08,2015-12-04,2015-12-01,6.0,10.0,13.0,6.195945945945946,3.5869354471219848,347
2015-12-22,MIL205,02-2392,1,2015-12-22,2015-12-14,2015-12-08,2015-12-04,8.0,14.0,18.0,6.195945945945946,3.5869354471219848,1110
2015-12-23,MIL205,02-1562,6,2015-12-23,2015-12-22,2015-12-14,2015-12-08,1.0,9.0,15.0,6.195945945945946,3.5869354471219848,855
2016-01-05,MIL205,02-2096,1,2016-01-05,2015-12-23,2015-12-22,2015-12-14,13.0,14.0,22.0,6.195945945945946,3.5869354471219848,1015
2016-01-07,MIL205,02-8306,1,2016-01-07,2016-01-05,2015-12-23,2015-12-22,2.0,15.0,16.0,6.195945945945946,3.5869354471219848,2831
2016-01-12,MIL205,02-5340,1,2016-01-12,2016-01-07,2016-01-05,2015-12-23,5.0,7.0,20.0,6.195945945945946,3.5869354471219848,2022
