InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-10-22,MOO145,06-0082,4,2015-10-22,2015-07-29,2015-06-18,2015-06-12,85.0,126.0,132.0,9.171717171717171,16.246846101496825,3554
2015-10-26,MOO145,02-8702,1,2015-10-26,2015-10-22,2015-07-29,2015-06-18,4.0,89.0,130.0,9.171717171717171,16.246846101496825,2922
2015-11-10,MOO145,02-2660,1,2015-11-10,2015-10-26,2015-10-22,2015-07-29,15.0,19.0,104.0,9.171717171717171,16.246846101496825,1208
2015-12-04,MOO145,02-8702,1,2015-12-04,2015-11-10,2015-10-26,2015-10-22,24.0,39.0,43.0,9.171717171717171,16.246846101496825,2922
2015-12-09,MOO145,02-2660,1,2015-12-09,2015-12-04,2015-11-10,2015-10-26,5.0,29.0,44.0,9.171717171717171,16.246846101496825,1208
2015-12-12,MOO145,10-0231,1,2015-12-12,2015-12-09,2015-12-04,2015-11-10,3.0,8.0,32.0,9.171717171717171,16.246846101496825,4095
2015-12-23,MOO145,02-2935,6,2015-12-23,2015-12-12,2015-12-09,2015-12-04,11.0,14.0,19.0,9.171717171717171,16.246846101496825,1273
2015-12-30,MOO145,02-0702,1,2015-12-30,2015-12-23,2015-12-12,2015-12-09,7.0,18.0,21.0,9.171717171717171,16.246846101496825,604
2016-01-23,MOO145,02-6205,2,2016-01-23,2015-12-30,2015-12-23,2015-12-12,24.0,31.0,42.0,9.171717171717171,16.246846101496825,2228
2016-01-28,MOO145,02-0173,1,2016-01-28,2016-01-23,2015-12-30,2015-12-23,5.0,29.0,36.0,9.171717171717171,16.246846101496825,392
2016-02-01,MOO145,02-2935,2,2016-02-01,2016-01-28,2016-01-23,2015-12-30,4.0,9.0,33.0,9.171717171717171,16.246846101496825,1273
2016-02-02,MOO145,02-4015,2,2016-02-02,2016-02-01,2016-01-28,2016-01-23,1.0,5.0,10.0,9.171717171717171,16.246846101496825,1621
2016-02-03,MOO145,02-1405,1,2016-02-03,2016-02-02,2016-02-01,2016-01-28,1.0,2.0,6.0,9.171717171717171,16.246846101496825,792
2016-02-05,MOO145,02-2935,2,2016-02-05,2016-02-03,2016-02-02,2016-02-01,2.0,3.0,4.0,9.171717171717171,16.246846101496825,1273
