InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-07-27,NET117,02-8505,2,2015-07-27,2015-07-16,2015-06-18,2015-05-20,11.0,39.0,68.0,1.9978678038379531,3.1754257631628904,2860
2015-08-04,NET117,02-1994,2,2015-08-04,2015-07-27,2015-07-16,2015-06-18,8.0,19.0,47.0,1.9978678038379531,3.1754257631628904,977
2015-08-10,NET117,26-3010,150,2015-08-10,2015-08-04,2015-07-27,2015-07-16,6.0,14.0,25.0,1.9978678038379531,3.1754257631628904,4493
2015-08-17,NET117,06-4912,5,2015-08-17,2015-08-10,2015-08-04,2015-07-27,7.0,13.0,21.0,1.9978678038379531,3.1754257631628904,3691
2015-08-24,NET117,02-8154,2,2015-08-24,2015-08-17,2015-08-10,2015-08-04,7.0,14.0,20.0,1.9978678038379531,3.1754257631628904,2778
2015-08-26,NET117,26-3010,200,2015-08-26,2015-08-24,2015-08-17,2015-08-10,2.0,9.0,16.0,1.9978678038379531,3.1754257631628904,4493
2015-09-14,NET117,02-8154,2,2015-09-14,2015-08-26,2015-08-24,2015-08-17,19.0,21.0,28.0,1.9978678038379531,3.1754257631628904,2778
2015-10-09,NET117,02-0685,2,2015-10-09,2015-09-14,2015-08-26,2015-08-24,25.0,44.0,46.0,1.9978678038379531,3.1754257631628904,591
2015-11-04,NET117,26-3010,150,2015-11-04,2015-10-09,2015-09-14,2015-08-26,26.0,51.0,70.0,1.9978678038379531,3.1754257631628904,4493
2015-11-18,NET117,02-6114,1,2015-11-18,2015-11-04,2015-10-09,2015-09-14,14.0,40.0,65.0,1.9978678038379531,3.1754257631628904,2209
2015-11-30,NET117,02-8505,1,2015-11-30,2015-11-18,2015-11-04,2015-10-09,12.0,26.0,52.0,1.9978678038379531,3.1754257631628904,2860
2015-12-30,NET117,02-8154,2,2015-12-30,2015-11-30,2015-11-18,2015-11-04,30.0,42.0,56.0,1.9978678038379531,3.1754257631628904,2778
2016-01-07,NET117,02-8910,2,2016-01-07,2015-12-30,2015-11-30,2015-11-18,8.0,38.0,50.0,1.9978678038379531,3.1754257631628904,2981
2016-01-21,NET117,SPC1359,6,2016-01-21,2016-01-07,2015-12-30,2015-11-30,14.0,22.0,52.0,1.9978678038379531,3.1754257631628904,5233
2016-01-25,NET117,02-7373,1,2016-01-25,2016-01-21,2016-01-07,2015-12-30,4.0,18.0,26.0,1.9978678038379531,3.1754257631628904,2564
2016-01-26,NET117,02-7040,1,2016-01-26,2016-01-25,2016-01-21,2016-01-07,1.0,5.0,19.0,1.9978678038379531,3.1754257631628904,2446
2016-01-27,NET117,02-7665,1,2016-01-27,2016-01-26,2016-01-25,2016-01-21,1.0,2.0,6.0,1.9978678038379531,3.1754257631628904,2641
2016-01-28,NET117,06-0348,1,2016-01-28,2016-01-27,2016-01-26,2016-01-25,1.0,2.0,3.0,1.9978678038379531,3.1754257631628904,3567
2016-02-01,NET117,02-5612,2,2016-02-01,2016-01-28,2016-01-27,2016-01-26,4.0,5.0,6.0,1.9978678038379531,3.1754257631628904,2092
2016-02-02,NET117,02-7831,2,2016-02-02,2016-02-01,2016-01-28,2016-01-27,1.0,5.0,6.0,1.9978678038379531,3.1754257631628904,2707
2016-02-03,NET117,02-5884,3,2016-02-03,2016-02-02,2016-02-01,2016-01-28,1.0,2.0,6.0,1.9978678038379531,3.1754257631628904,2161
2016-02-04,NET117,02-6458,2,2016-02-04,2016-02-03,2016-02-02,2016-02-01,1.0,2.0,3.0,1.9978678038379531,3.1754257631628904,2304
2016-02-05,NET117,SPC1250,1,2016-02-05,2016-02-04,2016-02-03,2016-02-02,1.0,2.0,3.0,1.9978678038379531,3.1754257631628904,5129
2016-02-08,NET117,02-5214,1,2016-02-08,2016-02-05,2016-02-04,2016-02-03,3.0,4.0,5.0,1.9978678038379531,3.1754257631628904,1992
2016-02-09,NET117,02-1021,2,2016-02-09,2016-02-08,2016-02-05,2016-02-04,1.0,4.0,5.0,1.9978678038379531,3.1754257631628904,674
2016-02-10,NET117,02-4509,2,2016-02-10,2016-02-09,2016-02-08,2016-02-05,1.0,2.0,5.0,1.9978678038379531,3.1754257631628904,1732
2016-02-11,NET117,02-6693,3,2016-02-11,2016-02-10,2016-02-09,2016-02-08,1.0,2.0,3.0,1.9978678038379531,3.1754257631628904,2361
2016-02-12,NET117,02-0696,1,2016-02-12,2016-02-11,2016-02-10,2016-02-09,1.0,2.0,3.0,1.9978678038379531,3.1754257631628904,599
2016-02-17,NET117,02-2150,1,2016-02-17,2016-02-12,2016-02-11,2016-02-10,5.0,6.0,7.0,1.9978678038379531,3.1754257631628904,1045
2016-02-18,NET117,02-6105,1,2016-02-18,2016-02-17,2016-02-12,2016-02-11,1.0,6.0,7.0,1.9978678038379531,3.1754257631628904,2206
2016-02-22,NET117,02-5594,1,2016-02-22,2016-02-18,2016-02-17,2016-02-12,4.0,5.0,10.0,1.9978678038379531,3.1754257631628904,2089
2016-02-23,NET117,02-2004,1,2016-02-23,2016-02-22,2016-02-18,2016-02-17,1.0,5.0,6.0,1.9978678038379531,3.1754257631628904,980
2016-02-24,NET117,02-5108,2,2016-02-24,2016-02-23,2016-02-22,2016-02-18,1.0,2.0,6.0,1.9978678038379531,3.1754257631628904,1946
2016-02-25,NET117,02-6518,2,2016-02-25,2016-02-24,2016-02-23,2016-02-22,1.0,2.0,3.0,1.9978678038379531,3.1754257631628904,2317
2016-02-26,NET117,06-0597,1,2016-02-26,2016-02-25,2016-02-24,2016-02-23,1.0,2.0,3.0,1.9978678038379531,3.1754257631628904,3581
2016-02-29,NET117,02-6205,4,2016-02-29,2016-02-26,2016-02-25,2016-02-24,3.0,4.0,5.0,1.9978678038379531,3.1754257631628904,2228
2016-03-01,NET117,02-6693,2,2016-03-01,2016-02-29,2016-02-26,2016-02-25,1.0,4.0,5.0,1.9978678038379531,3.1754257631628904,2361
2016-03-02,NET117,SPC1373,2,2016-03-02,2016-03-01,2016-02-29,2016-02-26,1.0,2.0,5.0,1.9978678038379531,3.1754257631628904,5247
2016-03-03,NET117,SPC1391,2,2016-03-03,2016-03-02,2016-03-01,2016-02-29,1.0,2.0,3.0,1.9978678038379531,3.1754257631628904,5264
2016-03-04,NET117,02-8322,1,2016-03-04,2016-03-03,2016-03-02,2016-03-01,1.0,2.0,3.0,1.9978678038379531,3.1754257631628904,2840
2016-03-07,NET117,02-5594,2,2016-03-07,2016-03-04,2016-03-03,2016-03-02,3.0,4.0,5.0,1.9978678038379531,3.1754257631628904,2089
2016-03-08,NET117,02-7674,1,2016-03-08,2016-03-07,2016-03-04,2016-03-03,1.0,4.0,5.0,1.9978678038379531,3.1754257631628904,2646
2016-03-09,NET117,02-2648,1,2016-03-09,2016-03-08,2016-03-07,2016-03-04,1.0,2.0,5.0,1.9978678038379531,3.1754257631628904,1202
2016-03-10,NET117,02-1793,1,2016-03-10,2016-03-09,2016-03-08,2016-03-07,1.0,2.0,3.0,1.9978678038379531,3.1754257631628904,919
2016-03-11,NET117,02-6078,2,2016-03-11,2016-03-10,2016-03-09,2016-03-08,1.0,2.0,3.0,1.9978678038379531,3.1754257631628904,2200
2016-03-14,NET117,06-0163,1,2016-03-14,2016-03-11,2016-03-10,2016-03-09,3.0,4.0,5.0,1.9978678038379531,3.1754257631628904,3560
2016-03-15,NET117,20-2481,1,2016-03-15,2016-03-14,2016-03-11,2016-03-10,1.0,4.0,5.0,1.9978678038379531,3.1754257631628904,4278
2016-03-16,NET117,26-3010,150,2016-03-16,2016-03-15,2016-03-14,2016-03-11,1.0,2.0,5.0,1.9978678038379531,3.1754257631628904,4493
2016-03-17,NET117,02-2244,1,2016-03-17,2016-03-16,2016-03-15,2016-03-14,1.0,2.0,3.0,1.9978678038379531,3.1754257631628904,1079
2016-03-18,NET117,02-2043,1,2016-03-18,2016-03-17,2016-03-16,2016-03-15,1.0,2.0,3.0,1.9978678038379531,3.1754257631628904,994
2016-03-21,NET117,02-0441,1,2016-03-21,2016-03-18,2016-03-17,2016-03-16,3.0,4.0,5.0,1.9978678038379531,3.1754257631628904,484
2016-03-22,NET117,SPC1242,2,2016-03-22,2016-03-21,2016-03-18,2016-03-17,1.0,4.0,5.0,1.9978678038379531,3.1754257631628904,5121
2016-03-23,NET117,02-6586,3,2016-03-23,2016-03-22,2016-03-21,2016-03-18,1.0,2.0,5.0,1.9978678038379531,3.1754257631628904,2339
2016-03-24,NET117,02-2173,3,2016-03-24,2016-03-23,2016-03-22,2016-03-21,1.0,2.0,3.0,1.9978678038379531,3.1754257631628904,1056
2016-03-25,NET117,02-5612,2,2016-03-25,2016-03-24,2016-03-23,2016-03-22,1.0,2.0,3.0,1.9978678038379531,3.1754257631628904,2092
2016-03-28,NET117,01-3068,2,2016-03-28,2016-03-25,2016-03-24,2016-03-23,3.0,4.0,5.0,1.9978678038379531,3.1754257631628904,154
2016-03-29,NET117,02-7431,1,2016-03-29,2016-03-28,2016-03-25,2016-03-24,1.0,4.0,5.0,1.9978678038379531,3.1754257631628904,2588
2016-03-30,NET117,02-6599,1,2016-03-30,2016-03-29,2016-03-28,2016-03-25,1.0,2.0,5.0,1.9978678038379531,3.1754257631628904,2342
2016-03-31,NET117,02-7384,1,2016-03-31,2016-03-30,2016-03-29,2016-03-28,1.0,2.0,3.0,1.9978678038379531,3.1754257631628904,2568
2016-04-01,NET117,02-6908,1,2016-04-01,2016-03-31,2016-03-30,2016-03-29,1.0,2.0,3.0,1.9978678038379531,3.1754257631628904,2415
2016-04-04,NET117,02-1513,2,2016-04-04,2016-04-01,2016-03-31,2016-03-30,3.0,4.0,5.0,1.9978678038379531,3.1754257631628904,837
2016-04-05,NET117,06-3083,2,2016-04-05,2016-04-04,2016-04-01,2016-03-31,1.0,4.0,5.0,1.9978678038379531,3.1754257631628904,3627
2016-04-06,NET117,02-3513,1,2016-04-06,2016-04-05,2016-04-04,2016-04-01,1.0,2.0,5.0,1.9978678038379531,3.1754257631628904,1467
2016-04-07,NET117,06-1448,1,2016-04-07,2016-04-06,2016-04-05,2016-04-04,1.0,2.0,3.0,1.9978678038379531,3.1754257631628904,3596
2016-04-08,NET117,SPC1478,2,2016-04-08,2016-04-07,2016-04-06,2016-04-05,1.0,2.0,3.0,1.9978678038379531,3.1754257631628904,5348
2016-04-11,NET117,01-4869,1,2016-04-11,2016-04-08,2016-04-07,2016-04-06,3.0,4.0,5.0,1.9978678038379531,3.1754257631628904,199
2016-04-12,NET117,02-1146,1,2016-04-12,2016-04-11,2016-04-08,2016-04-07,1.0,4.0,5.0,1.9978678038379531,3.1754257631628904,719
2016-04-13,NET117,02-7723,2,2016-04-13,2016-04-12,2016-04-11,2016-04-08,1.0,2.0,5.0,1.9978678038379531,3.1754257631628904,2663
