InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-11-25,NEW193,02-2374,4,2015-11-25,2015-11-04,2015-10-20,2015-09-24,21.0,36.0,62.0,21.486486486486488,17.980887417263705,1104
2015-12-14,NEW193,SPC1360,1,2015-12-14,2015-11-25,2015-11-04,2015-10-20,19.0,40.0,55.0,21.486486486486488,17.980887417263705,5234
2016-02-04,NEW193,02-1513,4,2016-02-04,2015-12-14,2015-11-25,2015-11-04,52.0,71.0,92.0,21.486486486486488,17.980887417263705,837
2016-03-02,NEW193,02-5630,1,2016-03-02,2016-02-04,2015-12-14,2015-11-25,27.0,79.0,98.0,21.486486486486488,17.980887417263705,2102
2016-03-15,NEW193,02-4960,6,2016-03-15,2016-03-02,2016-02-04,2015-12-14,13.0,40.0,92.0,21.486486486486488,17.980887417263705,1877
2016-03-16,NEW193,02-4960,6,2016-03-16,2016-03-15,2016-03-02,2016-02-04,1.0,14.0,41.0,21.486486486486488,17.980887417263705,1877
2016-03-18,NEW193,02-7638,1,2016-03-18,2016-03-16,2016-03-15,2016-03-02,2.0,3.0,16.0,21.486486486486488,17.980887417263705,2634
2016-03-30,NEW193,02-2646,4,2016-03-30,2016-03-18,2016-03-16,2016-03-15,12.0,14.0,15.0,21.486486486486488,17.980887417263705,1200
2016-05-25,NEW193,02-1922,12,2016-05-25,2016-03-30,2016-03-18,2016-03-16,56.0,68.0,70.0,21.486486486486488,17.980887417263705,953
2016-06-07,NEW193,10-3292,1,2016-06-07,2016-05-25,2016-03-30,2016-03-18,13.0,69.0,81.0,21.486486486486488,17.980887417263705,4122
2016-06-10,NEW193,06-3087,5,2016-06-10,2016-06-07,2016-05-25,2016-03-30,3.0,16.0,72.0,21.486486486486488,17.980887417263705,3628
2016-06-20,NEW193,02-3107,4,2016-06-20,2016-06-10,2016-06-07,2016-05-25,10.0,13.0,26.0,21.486486486486488,17.980887417263705,1350
2016-06-24,NEW193,02-2646,4,2016-06-24,2016-06-20,2016-06-10,2016-06-07,4.0,14.0,17.0,21.486486486486488,17.980887417263705,1200
2016-07-06,NEW193,02-3612,4,2016-07-06,2016-06-24,2016-06-20,2016-06-10,12.0,16.0,26.0,21.486486486486488,17.980887417263705,1511
2016-07-14,NEW193,06-1467,4,2016-07-14,2016-07-06,2016-06-24,2016-06-20,8.0,20.0,24.0,21.486486486486488,17.980887417263705,3598
2016-07-22,NEW193,02-7373,1,2016-07-22,2016-07-14,2016-07-06,2016-06-24,8.0,16.0,28.0,21.486486486486488,17.980887417263705,2564
2016-08-22,NEW193,02-1416,1,2016-08-22,2016-07-22,2016-07-14,2016-07-06,31.0,39.0,47.0,21.486486486486488,17.980887417263705,800
2016-08-30,NEW193,01-3252,3,2016-08-30,2016-08-22,2016-07-22,2016-07-14,8.0,39.0,47.0,21.486486486486488,17.980887417263705,161
2016-09-01,NEW193,02-2646,6,2016-09-01,2016-08-30,2016-08-22,2016-07-22,2.0,10.0,41.0,21.486486486486488,17.980887417263705,1200
2016-09-12,NEW193,02-2374,3,2016-09-12,2016-09-01,2016-08-30,2016-08-22,11.0,13.0,21.0,21.486486486486488,17.980887417263705,1104
2016-09-27,NEW193,01-4160,2,2016-09-27,2016-09-12,2016-09-01,2016-08-30,15.0,26.0,28.0,21.486486486486488,17.980887417263705,181
2016-10-21,NEW193,02-8991,3,2016-10-21,2016-09-27,2016-09-12,2016-09-01,24.0,39.0,50.0,21.486486486486488,17.980887417263705,3014
2016-11-04,NEW193,02-2646,6,2016-11-04,2016-10-21,2016-09-27,2016-09-12,14.0,38.0,53.0,21.486486486486488,17.980887417263705,1200
2016-12-15,NEW193,02-2646,3,2016-12-15,2016-11-04,2016-10-21,2016-09-27,41.0,55.0,79.0,21.486486486486488,17.980887417263705,1200
2017-01-06,NEW193,02-6110,2,2017-01-06,2016-12-15,2016-11-04,2016-10-21,22.0,63.0,77.0,21.486486486486488,17.980887417263705,2207
2017-02-08,NEW193,02-8991,4,2017-02-08,2017-01-06,2016-12-15,2016-11-04,33.0,55.0,96.0,21.486486486486488,17.980887417263705,3014
2017-03-20,NEW193,02-8991,4,2017-03-20,2017-02-08,2017-01-06,2016-12-15,40.0,73.0,95.0,21.486486486486488,17.980887417263705,3014
2017-03-27,NEW193,SPC1790,20,2017-03-27,2017-03-20,2017-02-08,2017-01-06,7.0,47.0,80.0,21.486486486486488,17.980887417263705,5649
2017-04-05,NEW193,02-8991,3,2017-04-05,2017-03-27,2017-03-20,2017-02-08,9.0,16.0,56.0,21.486486486486488,17.980887417263705,3014
2017-05-18,NEW193,02-1014,2,2017-05-18,2017-04-05,2017-03-27,2017-03-20,43.0,52.0,59.0,21.486486486486488,17.980887417263705,669
2017-06-28,NEW193,02-2237,4,2017-06-28,2017-05-18,2017-04-05,2017-03-27,41.0,84.0,93.0,21.486486486486488,17.980887417263705,1072
2017-07-18,NEW193,01-5518,8,2017-07-18,2017-06-28,2017-05-18,2017-04-05,20.0,61.0,104.0,21.486486486486488,17.980887417263705,228
2017-09-26,NEW193,02-8991,4,2017-09-26,2017-07-18,2017-06-28,2017-05-18,70.0,90.0,131.0,21.486486486486488,17.980887417263705,3014
2017-09-28,NEW193,02-8991,5,2017-09-28,2017-09-26,2017-07-18,2017-06-28,2.0,72.0,92.0,21.486486486486488,17.980887417263705,3014
2017-11-27,NEW193,02-8991,3,2017-11-27,2017-09-28,2017-09-26,2017-07-18,60.0,62.0,132.0,21.486486486486488,17.980887417263705,3014
