InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-06-05,NOR248,02-5447,2,2015-06-05,2015-05-28,2015-05-21,2015-05-06,8.0,15.0,30.0,10.629213483146067,8.681723255929288,2048
2015-06-08,NOR248,02-6923,5,2015-06-08,2015-06-05,2015-05-28,2015-05-21,3.0,11.0,18.0,10.629213483146067,8.681723255929288,2419
2015-06-10,NOR248,02-8565,2,2015-06-10,2015-06-08,2015-06-05,2015-05-28,2.0,5.0,13.0,10.629213483146067,8.681723255929288,2888
2015-06-15,NOR248,02-8565,3,2015-06-15,2015-06-10,2015-06-08,2015-06-05,5.0,7.0,10.0,10.629213483146067,8.681723255929288,2888
2015-07-07,NOR248,02-6923,10,2015-07-07,2015-06-15,2015-06-10,2015-06-08,22.0,27.0,29.0,10.629213483146067,8.681723255929288,2419
2015-07-10,NOR248,02-3054,1,2015-07-10,2015-07-07,2015-06-15,2015-06-10,3.0,25.0,30.0,10.629213483146067,8.681723255929288,1335
2015-07-24,NOR248,02-8572,1,2015-07-24,2015-07-10,2015-07-07,2015-06-15,14.0,17.0,39.0,10.629213483146067,8.681723255929288,2892
2015-08-11,NOR248,SPC1132,3,2015-08-11,2015-07-24,2015-07-10,2015-07-07,18.0,32.0,35.0,10.629213483146067,8.681723255929288,5012
2015-08-17,NOR248,02-5376,2,2015-08-17,2015-08-11,2015-07-24,2015-07-10,6.0,24.0,38.0,10.629213483146067,8.681723255929288,2030
2015-08-21,NOR248,02-1994,1,2015-08-21,2015-08-17,2015-08-11,2015-07-24,4.0,10.0,28.0,10.629213483146067,8.681723255929288,977
2015-09-02,NOR248,02-0253,2,2015-09-02,2015-08-21,2015-08-17,2015-08-11,12.0,16.0,22.0,10.629213483146067,8.681723255929288,418
2015-09-08,NOR248,02-4622,1,2015-09-08,2015-09-02,2015-08-21,2015-08-17,6.0,18.0,22.0,10.629213483146067,8.681723255929288,1760
2015-09-10,NOR248,02-1513,2,2015-09-10,2015-09-08,2015-09-02,2015-08-21,2.0,8.0,20.0,10.629213483146067,8.681723255929288,837
