InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-05-30,PAC111,02-1237,2,2015-05-30,2015-05-28,2015-05-15,2015-05-01,2.0,15.0,29.0,24.77777777777778,15.1847877093418,743
2015-06-18,PAC111,20-8491,3,2015-06-18,2015-05-30,2015-05-28,2015-05-15,19.0,21.0,34.0,24.77777777777778,15.1847877093418,4372
2015-06-22,PAC111,04-5827,3,2015-06-22,2015-06-18,2015-05-30,2015-05-28,4.0,23.0,25.0,24.77777777777778,15.1847877093418,3498
2015-07-16,PAC111,20-8491,6,2015-07-16,2015-06-22,2015-06-18,2015-05-30,24.0,28.0,47.0,24.77777777777778,15.1847877093418,4372
2015-08-06,PAC111,20-8491,4,2015-08-06,2015-07-16,2015-06-22,2015-06-18,21.0,45.0,49.0,24.77777777777778,15.1847877093418,4372
2015-08-27,PAC111,02-6874,1,2015-08-27,2015-08-06,2015-07-16,2015-06-22,21.0,42.0,66.0,24.77777777777778,15.1847877093418,2405
2015-09-03,PAC111,02-3549,2,2015-09-03,2015-08-27,2015-08-06,2015-07-16,7.0,28.0,49.0,24.77777777777778,15.1847877093418,1487
2015-09-24,PAC111,20-8491,4,2015-09-24,2015-09-03,2015-08-27,2015-08-06,21.0,28.0,49.0,24.77777777777778,15.1847877093418,4372
2015-10-15,PAC111,20-8491,4,2015-10-15,2015-09-24,2015-09-03,2015-08-27,21.0,42.0,49.0,24.77777777777778,15.1847877093418,4372
2015-11-13,PAC111,20-8491,5,2015-11-13,2015-10-15,2015-09-24,2015-09-03,29.0,50.0,71.0,24.77777777777778,15.1847877093418,4372
2015-12-10,PAC111,20-8491,5,2015-12-10,2015-11-13,2015-10-15,2015-09-24,27.0,56.0,77.0,24.77777777777778,15.1847877093418,4372
2016-01-04,PAC111,20-8491,3,2016-01-04,2015-12-10,2015-11-13,2015-10-15,25.0,52.0,81.0,24.77777777777778,15.1847877093418,4372
2016-02-19,PAC111,20-8491,6,2016-02-19,2016-01-04,2015-12-10,2015-11-13,46.0,71.0,98.0,24.77777777777778,15.1847877093418,4372
2016-03-24,PAC111,20-8491,6,2016-03-24,2016-02-19,2016-01-04,2015-12-10,34.0,80.0,105.0,24.77777777777778,15.1847877093418,4372
2016-04-07,PAC111,22-9005,5,2016-04-07,2016-03-24,2016-02-19,2016-01-04,14.0,48.0,94.0,24.77777777777778,15.1847877093418,4483
2016-04-28,PAC111,22-6003,5,2016-04-28,2016-04-07,2016-03-24,2016-02-19,21.0,35.0,69.0,24.77777777777778,15.1847877093418,4474
2016-06-28,PAC111,20-8491,4,2016-06-28,2016-04-28,2016-04-07,2016-03-24,61.0,82.0,96.0,24.77777777777778,15.1847877093418,4372
2016-07-28,PAC111,20-8491,4,2016-07-28,2016-06-28,2016-04-28,2016-04-07,30.0,91.0,112.0,24.77777777777778,15.1847877093418,4372
2016-08-18,PAC111,20-8491,6,2016-08-18,2016-07-28,2016-06-28,2016-04-28,21.0,51.0,112.0,24.77777777777778,15.1847877093418,4372
2016-09-20,PAC111,22-6003,5,2016-09-20,2016-08-18,2016-07-28,2016-06-28,33.0,54.0,84.0,24.77777777777778,15.1847877093418,4474
2016-11-03,PAC111,20-8491,8,2016-11-03,2016-09-20,2016-08-18,2016-07-28,44.0,77.0,98.0,24.77777777777778,15.1847877093418,4372
2016-12-15,PAC111,20-8491,2,2016-12-15,2016-11-03,2016-09-20,2016-08-18,42.0,86.0,119.0,24.77777777777778,15.1847877093418,4372
2017-02-03,PAC111,20-8491,5,2017-02-03,2016-12-15,2016-11-03,2016-09-20,50.0,92.0,136.0,24.77777777777778,15.1847877093418,4372
2017-03-13,PAC111,20-8492,2,2017-03-13,2017-02-03,2016-12-15,2016-11-03,38.0,88.0,130.0,24.77777777777778,15.1847877093418,4373
2017-03-29,PAC111,20-8491,6,2017-03-29,2017-03-13,2017-02-03,2016-12-15,16.0,54.0,104.0,24.77777777777778,15.1847877093418,4372
2017-05-18,PAC111,20-8491,6,2017-05-18,2017-03-29,2017-03-13,2017-02-03,50.0,66.0,104.0,24.77777777777778,15.1847877093418,4372
2017-06-13,PAC111,10-4564,6,2017-06-13,2017-05-18,2017-03-29,2017-03-13,26.0,76.0,92.0,24.77777777777778,15.1847877093418,4141
2017-07-22,PAC111,10-4564,12,2017-07-22,2017-06-13,2017-05-18,2017-03-29,39.0,65.0,115.0,24.77777777777778,15.1847877093418,4141
2017-07-24,PAC111,20-8491,2,2017-07-24,2017-07-22,2017-06-13,2017-05-18,2.0,41.0,67.0,24.77777777777778,15.1847877093418,4372
2017-08-09,PAC111,20-8491,5,2017-08-09,2017-07-24,2017-07-22,2017-06-13,16.0,18.0,57.0,24.77777777777778,15.1847877093418,4372
2017-09-20,PAC111,08-6320,5,2017-09-20,2017-08-09,2017-07-24,2017-07-22,42.0,58.0,60.0,24.77777777777778,15.1847877093418,3876
2017-09-22,PAC111,08-6320,5,2017-09-22,2017-09-20,2017-08-09,2017-07-24,2.0,44.0,60.0,24.77777777777778,15.1847877093418,3876
2017-10-03,PAC111,20-8491,6,2017-10-03,2017-09-22,2017-09-20,2017-08-09,11.0,13.0,55.0,24.77777777777778,15.1847877093418,4372
2017-10-09,PAC111,08-6320,5,2017-10-09,2017-10-03,2017-09-22,2017-09-20,6.0,17.0,19.0,24.77777777777778,15.1847877093418,3876
