InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2017-03-21,PLE120,02-3655,2,2017-03-21,2017-02-09,2017-01-27,2016-11-15,40.0,53.0,126.0,11.757575757575758,13.988902528053941,1527
2017-03-28,PLE120,02-2648,2,2017-03-28,2017-03-21,2017-02-09,2017-01-27,7.0,47.0,60.0,11.757575757575758,13.988902528053941,1202
2017-03-31,PLE120,SPC1759,1,2017-03-31,2017-03-28,2017-03-21,2017-02-09,3.0,10.0,50.0,11.757575757575758,13.988902528053941,5621
2017-04-13,PLE120,11-3823,5,2017-04-13,2017-03-31,2017-03-28,2017-03-21,13.0,16.0,23.0,11.757575757575758,13.988902528053941,4184
2017-04-18,PLE120,02-3655,1,2017-04-18,2017-04-13,2017-03-31,2017-03-28,5.0,18.0,21.0,11.757575757575758,13.988902528053941,1527
2017-05-10,PLE120,02-2442,2,2017-05-10,2017-04-18,2017-04-13,2017-03-31,22.0,27.0,40.0,11.757575757575758,13.988902528053941,1130
2017-05-11,PLE120,02-6691,6,2017-05-11,2017-05-10,2017-04-18,2017-04-13,1.0,23.0,28.0,11.757575757575758,13.988902528053941,2360
2017-05-12,PLE120,SPC0231,1,2017-05-12,2017-05-11,2017-05-10,2017-04-18,1.0,2.0,24.0,11.757575757575758,13.988902528053941,4837
2017-05-19,PLE120,02-3487,4,2017-05-19,2017-05-12,2017-05-11,2017-05-10,7.0,8.0,9.0,11.757575757575758,13.988902528053941,1456
2017-06-02,PLE120,SPC1893,1,2017-06-02,2017-05-19,2017-05-12,2017-05-11,14.0,21.0,22.0,11.757575757575758,13.988902528053941,5750
2017-06-14,PLE120,02-0587,1,2017-06-14,2017-06-02,2017-05-19,2017-05-12,12.0,26.0,33.0,11.757575757575758,13.988902528053941,547
2017-06-23,PLE120,SPC1718,2,2017-06-23,2017-06-14,2017-06-02,2017-05-19,9.0,21.0,35.0,11.757575757575758,13.988902528053941,5581
2017-07-25,PLE120,02-8504,1,2017-07-25,2017-06-23,2017-06-14,2017-06-02,32.0,41.0,53.0,11.757575757575758,13.988902528053941,2859
2017-08-04,PLE120,02-2646,1,2017-08-04,2017-07-25,2017-06-23,2017-06-14,10.0,42.0,51.0,11.757575757575758,13.988902528053941,1200
2017-08-22,PLE120,02-3876,1,2017-08-22,2017-08-04,2017-07-25,2017-06-23,18.0,28.0,60.0,11.757575757575758,13.988902528053941,1600
2017-09-05,PLE120,20-1023,3,2017-09-05,2017-08-22,2017-08-04,2017-07-25,14.0,32.0,42.0,11.757575757575758,13.988902528053941,4257
2017-09-14,PLE120,20-1023,3,2017-09-14,2017-09-05,2017-08-22,2017-08-04,9.0,23.0,41.0,11.757575757575758,13.988902528053941,4257
2017-10-02,PLE120,SPC2123,2,2017-10-02,2017-09-14,2017-09-05,2017-08-22,18.0,27.0,41.0,11.757575757575758,13.988902528053941,5964
2017-10-05,PLE120,B1-4414,1,2017-10-05,2017-10-02,2017-09-14,2017-09-05,3.0,21.0,30.0,11.757575757575758,13.988902528053941,4514
2017-10-10,PLE120,02-6541,1,2017-10-10,2017-10-05,2017-10-02,2017-09-14,5.0,8.0,26.0,11.757575757575758,13.988902528053941,2323
2017-10-11,PLE120,02-6460,1,2017-10-11,2017-10-10,2017-10-05,2017-10-02,1.0,6.0,9.0,11.757575757575758,13.988902528053941,2306
2017-10-24,PLE120,20-1023,1,2017-10-24,2017-10-11,2017-10-10,2017-10-05,13.0,14.0,19.0,11.757575757575758,13.988902528053941,4257
2017-10-31,PLE120,B1-4414,3,2017-10-31,2017-10-24,2017-10-11,2017-10-10,7.0,20.0,21.0,11.757575757575758,13.988902528053941,4514
2017-11-07,PLE120,B1-4414,2,2017-11-07,2017-10-31,2017-10-24,2017-10-11,7.0,14.0,27.0,11.757575757575758,13.988902528053941,4514
2017-11-10,PLE120,01-1258,3,2017-11-10,2017-11-07,2017-10-31,2017-10-24,3.0,10.0,17.0,11.757575757575758,13.988902528053941,102
2017-11-17,PLE120,02-3655,1,2017-11-17,2017-11-10,2017-11-07,2017-10-31,7.0,10.0,17.0,11.757575757575758,13.988902528053941,1527
2017-11-22,PLE120,02-7166,2,2017-11-22,2017-11-17,2017-11-10,2017-11-07,5.0,12.0,15.0,11.757575757575758,13.988902528053941,2491
2017-11-27,PLE120,02-3655,1,2017-11-27,2017-11-22,2017-11-17,2017-11-10,5.0,10.0,17.0,11.757575757575758,13.988902528053941,1527
2017-12-04,PLE120,20-1023,3,2017-12-04,2017-11-27,2017-11-22,2017-11-17,7.0,12.0,17.0,11.757575757575758,13.988902528053941,4257
2017-12-05,PLE120,B1-4414,4,2017-12-05,2017-12-04,2017-11-27,2017-11-22,1.0,8.0,13.0,11.757575757575758,13.988902528053941,4514
2017-12-08,PLE120,02-1927,2,2017-12-08,2017-12-05,2017-12-04,2017-11-27,3.0,4.0,11.0,11.757575757575758,13.988902528053941,955
