InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-09-10,PRO106,02-3187,3,2015-09-10,2015-08-10,2015-07-08,2015-06-17,31.0,64.0,85.0,14.238095238095237,8.001439962572636,1374
2015-10-07,PRO106,02-7386,1,2015-10-07,2015-09-10,2015-08-10,2015-07-08,27.0,58.0,91.0,14.238095238095237,8.001439962572636,2570
2015-10-14,PRO106,02-7121,2,2015-10-14,2015-10-07,2015-09-10,2015-08-10,7.0,34.0,65.0,14.238095238095237,8.001439962572636,2476
2015-10-28,PRO106,02-7384,1,2015-10-28,2015-10-14,2015-10-07,2015-09-10,14.0,21.0,48.0,14.238095238095237,8.001439962572636,2568
2015-11-04,PRO106,02-7386,1,2015-11-04,2015-10-28,2015-10-14,2015-10-07,7.0,21.0,28.0,14.238095238095237,8.001439962572636,2570
2015-11-18,PRO106,02-3187,3,2015-11-18,2015-11-04,2015-10-28,2015-10-14,14.0,21.0,35.0,14.238095238095237,8.001439962572636,1374
2015-12-09,PRO106,02-3187,2,2015-12-09,2015-11-18,2015-11-04,2015-10-28,21.0,35.0,42.0,14.238095238095237,8.001439962572636,1374
2015-12-14,PRO106,02-7386,1,2015-12-14,2015-12-09,2015-11-18,2015-11-04,5.0,26.0,40.0,14.238095238095237,8.001439962572636,2570
2015-12-16,PRO106,02-6776,5,2015-12-16,2015-12-14,2015-12-09,2015-11-18,2.0,7.0,28.0,14.238095238095237,8.001439962572636,2378
2015-12-23,PRO106,SPC9238,1,2015-12-23,2015-12-16,2015-12-14,2015-12-09,7.0,9.0,14.0,14.238095238095237,8.001439962572636,6099
2016-01-06,PRO106,02-3187,2,2016-01-06,2015-12-23,2015-12-16,2015-12-14,14.0,21.0,23.0,14.238095238095237,8.001439962572636,1374
2016-01-22,PRO106,02-6776,2,2016-01-22,2016-01-06,2015-12-23,2015-12-16,16.0,30.0,37.0,14.238095238095237,8.001439962572636,2378
2016-02-03,PRO106,02-7121,5,2016-02-03,2016-01-22,2016-01-06,2015-12-23,12.0,28.0,42.0,14.238095238095237,8.001439962572636,2476
2016-02-17,PRO106,02-7384,1,2016-02-17,2016-02-03,2016-01-22,2016-01-06,14.0,26.0,42.0,14.238095238095237,8.001439962572636,2568
2016-03-02,PRO106,02-7121,3,2016-03-02,2016-02-17,2016-02-03,2016-01-22,14.0,28.0,40.0,14.238095238095237,8.001439962572636,2476
2016-03-16,PRO106,02-7386,1,2016-03-16,2016-03-02,2016-02-17,2016-02-03,14.0,28.0,42.0,14.238095238095237,8.001439962572636,2570
