InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-10-07,RAV100,02-2374,12,2015-10-07,2015-09-30,2015-07-07,2015-06-05,7.0,92.0,124.0,5.983050847457627,10.39640227946027,1104
2015-10-22,RAV100,02-6776,2,2015-10-22,2015-10-07,2015-09-30,2015-07-07,15.0,22.0,107.0,5.983050847457627,10.39640227946027,2378
2015-12-29,RAV100,02-5594,6,2015-12-29,2015-10-22,2015-10-07,2015-09-30,68.0,83.0,90.0,5.983050847457627,10.39640227946027,2089
2016-01-27,RAV100,02-7363,5,2016-01-27,2015-12-29,2015-10-22,2015-10-07,29.0,97.0,112.0,5.983050847457627,10.39640227946027,2559
2016-01-28,RAV100,02-5594,12,2016-01-28,2016-01-27,2015-12-29,2015-10-22,1.0,30.0,98.0,5.983050847457627,10.39640227946027,2089
2016-02-02,RAV100,02-5588,2,2016-02-02,2016-01-28,2016-01-27,2015-12-29,5.0,6.0,35.0,5.983050847457627,10.39640227946027,2087
2016-02-12,RAV100,06-6144,2,2016-02-12,2016-02-02,2016-01-28,2016-01-27,10.0,15.0,16.0,5.983050847457627,10.39640227946027,3750
2016-02-19,RAV100,02-2770,1,2016-02-19,2016-02-12,2016-02-02,2016-01-28,7.0,17.0,22.0,5.983050847457627,10.39640227946027,1225
2016-02-23,RAV100,02-0436,8,2016-02-23,2016-02-19,2016-02-12,2016-02-02,4.0,11.0,21.0,5.983050847457627,10.39640227946027,481
2016-02-24,RAV100,02-0993,3,2016-02-24,2016-02-23,2016-02-19,2016-02-12,1.0,5.0,12.0,5.983050847457627,10.39640227946027,658
2016-03-01,RAV100,02-0436,2,2016-03-01,2016-02-24,2016-02-23,2016-02-19,6.0,7.0,11.0,5.983050847457627,10.39640227946027,481
2016-03-02,RAV100,02-6078,3,2016-03-02,2016-03-01,2016-02-24,2016-02-23,1.0,7.0,8.0,5.983050847457627,10.39640227946027,2200
2016-03-09,RAV100,06-0345,6,2016-03-09,2016-03-02,2016-03-01,2016-02-24,7.0,8.0,14.0,5.983050847457627,10.39640227946027,3565
2016-03-11,RAV100,SPC1393,4,2016-03-11,2016-03-09,2016-03-02,2016-03-01,2.0,9.0,10.0,5.983050847457627,10.39640227946027,5266
2016-03-15,RAV100,02-0894,1,2016-03-15,2016-03-11,2016-03-09,2016-03-02,4.0,6.0,13.0,5.983050847457627,10.39640227946027,654
