InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-07-07,ROC111,02-5816,1,2015-07-07,2015-06-11,2015-06-03,2015-05-08,26.0,34.0,60.0,20.377777777777776,17.86729985309487,2146
2015-07-24,ROC111,02-4934,3,2015-07-24,2015-07-07,2015-06-11,2015-06-03,17.0,43.0,51.0,20.377777777777776,17.86729985309487,1866
2015-08-12,ROC111,02-0096,1,2015-08-12,2015-07-24,2015-07-07,2015-06-11,19.0,36.0,62.0,20.377777777777776,17.86729985309487,355
2015-08-20,ROC111,02-6009,2,2015-08-20,2015-08-12,2015-07-24,2015-07-07,8.0,27.0,44.0,20.377777777777776,17.86729985309487,2178
2015-09-17,ROC111,02-1513,1,2015-09-17,2015-08-20,2015-08-12,2015-07-24,28.0,36.0,55.0,20.377777777777776,17.86729985309487,837
2015-09-24,ROC111,02-4004,6,2015-09-24,2015-09-17,2015-08-20,2015-08-12,7.0,35.0,43.0,20.377777777777776,17.86729985309487,1620
2015-10-08,ROC111,02-2369,6,2015-10-08,2015-09-24,2015-09-17,2015-08-20,14.0,21.0,49.0,20.377777777777776,17.86729985309487,1100
2015-10-27,ROC111,02-3263,2,2015-10-27,2015-10-08,2015-09-24,2015-09-17,19.0,33.0,40.0,20.377777777777776,17.86729985309487,1396
2016-02-05,ROC111,03-5936,1,2016-02-05,2015-10-27,2015-10-08,2015-09-24,101.0,120.0,134.0,20.377777777777776,17.86729985309487,3296
2016-02-24,ROC111,02-6054,1,2016-02-24,2016-02-05,2015-10-27,2015-10-08,19.0,120.0,139.0,20.377777777777776,17.86729985309487,2191
2016-02-26,ROC111,02-7625,1,2016-02-26,2016-02-24,2016-02-05,2015-10-27,2.0,21.0,122.0,20.377777777777776,17.86729985309487,2629
2016-03-25,ROC111,02-5173,5,2016-03-25,2016-02-26,2016-02-24,2016-02-05,28.0,30.0,49.0,20.377777777777776,17.86729985309487,1967
2016-04-07,ROC111,02-4622,1,2016-04-07,2016-03-25,2016-02-26,2016-02-24,13.0,41.0,43.0,20.377777777777776,17.86729985309487,1760
2016-04-28,ROC111,02-2369,4,2016-04-28,2016-04-07,2016-03-25,2016-02-26,21.0,34.0,62.0,20.377777777777776,17.86729985309487,1100
2016-05-05,ROC111,SPC0165,3,2016-05-05,2016-04-28,2016-04-07,2016-03-25,7.0,28.0,41.0,20.377777777777776,17.86729985309487,4814
2016-05-12,ROC111,02-2168,1,2016-05-12,2016-05-05,2016-04-28,2016-04-07,7.0,14.0,35.0,20.377777777777776,17.86729985309487,1055
2016-06-16,ROC111,02-2323,1,2016-06-16,2016-05-12,2016-05-05,2016-04-28,35.0,42.0,49.0,20.377777777777776,17.86729985309487,1089
2016-07-22,ROC111,SPC1515,1,2016-07-22,2016-06-16,2016-05-12,2016-05-05,36.0,71.0,78.0,20.377777777777776,17.86729985309487,5385
2016-08-04,ROC111,SPC1641,1,2016-08-04,2016-07-22,2016-06-16,2016-05-12,13.0,49.0,84.0,20.377777777777776,17.86729985309487,5507
2016-08-25,ROC111,02-2374,2,2016-08-25,2016-08-04,2016-07-22,2016-06-16,21.0,34.0,70.0,20.377777777777776,17.86729985309487,1104
2016-09-15,ROC111,02-2374,2,2016-09-15,2016-08-25,2016-08-04,2016-07-22,21.0,42.0,55.0,20.377777777777776,17.86729985309487,1104
2016-10-13,ROC111,02-2323,1,2016-10-13,2016-09-15,2016-08-25,2016-08-04,28.0,49.0,70.0,20.377777777777776,17.86729985309487,1089
