InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2016-02-24,SCR115,02-3572,1,2016-02-24,2016-02-17,2016-02-08,2016-02-02,7.0,16.0,22.0,6.471153846153846,21.202196593826926,1494
2016-03-16,SCR115,02-5494,3,2016-03-16,2016-02-24,2016-02-17,2016-02-08,21.0,28.0,37.0,6.471153846153846,21.202196593826926,2069
2016-03-24,SCR115,02-7746,1,2016-03-24,2016-03-16,2016-02-24,2016-02-17,8.0,29.0,36.0,6.471153846153846,21.202196593826926,2675
2016-03-29,SCR115,09-9847,1,2016-03-29,2016-03-24,2016-03-16,2016-02-24,5.0,13.0,34.0,6.471153846153846,21.202196593826926,4046
2016-04-14,SCR115,02-2943,1,2016-04-14,2016-03-29,2016-03-24,2016-03-16,16.0,21.0,29.0,6.471153846153846,21.202196593826926,1277
2016-04-20,SCR115,02-1927,1,2016-04-20,2016-04-14,2016-03-29,2016-03-24,6.0,22.0,27.0,6.471153846153846,21.202196593826926,955
2016-05-17,SCR115,10-0449,1,2016-05-17,2016-04-20,2016-04-14,2016-03-29,27.0,33.0,49.0,6.471153846153846,21.202196593826926,4097
2016-05-19,SCR115,02-1295,1,2016-05-19,2016-05-17,2016-04-20,2016-04-14,2.0,29.0,35.0,6.471153846153846,21.202196593826926,759
2016-05-24,SCR115,02-5494,2,2016-05-24,2016-05-19,2016-05-17,2016-04-20,5.0,7.0,34.0,6.471153846153846,21.202196593826926,2069
2016-05-26,SCR115,04-1401,1,2016-05-26,2016-05-24,2016-05-19,2016-05-17,2.0,7.0,9.0,6.471153846153846,21.202196593826926,3376
2016-06-09,SCR115,02-3622,1,2016-06-09,2016-05-26,2016-05-24,2016-05-19,14.0,16.0,21.0,6.471153846153846,21.202196593826926,1516
2016-06-20,SCR115,SPC1415,3,2016-06-20,2016-06-09,2016-05-26,2016-05-24,11.0,25.0,27.0,6.471153846153846,21.202196593826926,5287
2016-07-08,SCR115,02-6691,2,2016-07-08,2016-06-20,2016-06-09,2016-05-26,18.0,29.0,43.0,6.471153846153846,21.202196593826926,2360
2016-07-20,SCR115,02-0607,1,2016-07-20,2016-07-08,2016-06-20,2016-06-09,12.0,30.0,41.0,6.471153846153846,21.202196593826926,558
2017-01-20,SCR115,02-6706,2,2017-01-20,2016-07-20,2016-07-08,2016-06-20,184.0,196.0,214.0,6.471153846153846,21.202196593826926,2365
2017-01-23,SCR115,B1-4414,1,2017-01-23,2017-01-20,2016-07-20,2016-07-08,3.0,187.0,199.0,6.471153846153846,21.202196593826926,4514
2017-01-24,SCR115,02-6056,4,2017-01-24,2017-01-23,2017-01-20,2016-07-20,1.0,4.0,188.0,6.471153846153846,21.202196593826926,2193
2017-01-25,SCR115,02-7904,2,2017-01-25,2017-01-24,2017-01-23,2017-01-20,1.0,2.0,5.0,6.471153846153846,21.202196593826926,2717
2017-01-26,SCR115,06-2472,1,2017-01-26,2017-01-25,2017-01-24,2017-01-23,1.0,2.0,3.0,6.471153846153846,21.202196593826926,3613
2017-01-27,SCR115,01-4338,1,2017-01-27,2017-01-26,2017-01-25,2017-01-24,1.0,2.0,3.0,6.471153846153846,21.202196593826926,184
2017-01-30,SCR115,02-7144,1,2017-01-30,2017-01-27,2017-01-26,2017-01-25,3.0,4.0,5.0,6.471153846153846,21.202196593826926,2486
2017-01-31,SCR115,02-0638,6,2017-01-31,2017-01-30,2017-01-27,2017-01-26,1.0,4.0,5.0,6.471153846153846,21.202196593826926,574
2017-02-01,SCR115,08-5197,1,2017-02-01,2017-01-31,2017-01-30,2017-01-27,1.0,2.0,5.0,6.471153846153846,21.202196593826926,3872
2017-02-02,SCR115,02-7366,1,2017-02-02,2017-02-01,2017-01-31,2017-01-30,1.0,2.0,3.0,6.471153846153846,21.202196593826926,2560
2017-02-03,SCR115,02-5187,1,2017-02-03,2017-02-02,2017-02-01,2017-01-31,1.0,2.0,3.0,6.471153846153846,21.202196593826926,1974
2017-02-06,SCR115,02-6040,1,2017-02-06,2017-02-03,2017-02-02,2017-02-01,3.0,4.0,5.0,6.471153846153846,21.202196593826926,2185
2017-02-07,SCR115,09-9571,1,2017-02-07,2017-02-06,2017-02-03,2017-02-02,1.0,4.0,5.0,6.471153846153846,21.202196593826926,3995
2017-02-08,SCR115,02-0581,1,2017-02-08,2017-02-07,2017-02-06,2017-02-03,1.0,2.0,5.0,6.471153846153846,21.202196593826926,542
2017-02-09,SCR115,B2-4071,1,2017-02-09,2017-02-08,2017-02-07,2017-02-06,1.0,2.0,3.0,6.471153846153846,21.202196593826926,4551
2017-02-10,SCR115,02-6055,2,2017-02-10,2017-02-09,2017-02-08,2017-02-07,1.0,2.0,3.0,6.471153846153846,21.202196593826926,2192
2017-02-13,SCR115,B2-3253,1,2017-02-13,2017-02-10,2017-02-09,2017-02-08,3.0,4.0,5.0,6.471153846153846,21.202196593826926,4538
2017-02-14,SCR115,SPC1774,3,2017-02-14,2017-02-13,2017-02-10,2017-02-09,1.0,4.0,5.0,6.471153846153846,21.202196593826926,5635
2017-02-15,SCR115,02-2278,1,2017-02-15,2017-02-14,2017-02-13,2017-02-10,1.0,2.0,5.0,6.471153846153846,21.202196593826926,1080
2017-02-16,SCR115,10-0033,2,2017-02-16,2017-02-15,2017-02-14,2017-02-13,1.0,2.0,3.0,6.471153846153846,21.202196593826926,4092
2017-02-17,SCR115,01-5127,1,2017-02-17,2017-02-16,2017-02-15,2017-02-14,1.0,2.0,3.0,6.471153846153846,21.202196593826926,209
2017-02-20,SCR115,B1-4414,2,2017-02-20,2017-02-17,2017-02-16,2017-02-15,3.0,4.0,5.0,6.471153846153846,21.202196593826926,4514
2017-02-22,SCR115,02-7187,2,2017-02-22,2017-02-20,2017-02-17,2017-02-16,2.0,5.0,6.0,6.471153846153846,21.202196593826926,2499
2017-02-27,SCR115,06-1027,2,2017-02-27,2017-02-22,2017-02-20,2017-02-17,5.0,7.0,10.0,6.471153846153846,21.202196593826926,3585
2017-03-01,SCR115,02-5247,2,2017-03-01,2017-02-27,2017-02-22,2017-02-20,2.0,7.0,9.0,6.471153846153846,21.202196593826926,2001
2017-03-03,SCR115,02-8634,1,2017-03-03,2017-03-01,2017-02-27,2017-02-22,2.0,4.0,9.0,6.471153846153846,21.202196593826926,2905
2017-03-07,SCR115,B1-5589,1,2017-03-07,2017-03-03,2017-03-01,2017-02-27,4.0,6.0,8.0,6.471153846153846,21.202196593826926,4515
2017-03-09,SCR115,02-8979,1,2017-03-09,2017-03-07,2017-03-03,2017-03-01,2.0,6.0,8.0,6.471153846153846,21.202196593826926,3009
2017-03-13,SCR115,02-6250,1,2017-03-13,2017-03-09,2017-03-07,2017-03-03,4.0,6.0,10.0,6.471153846153846,21.202196593826926,2239
2017-03-14,SCR115,02-5633,1,2017-03-14,2017-03-13,2017-03-09,2017-03-07,1.0,5.0,7.0,6.471153846153846,21.202196593826926,2105
2017-03-15,SCR115,02-7086,1,2017-03-15,2017-03-14,2017-03-13,2017-03-09,1.0,2.0,6.0,6.471153846153846,21.202196593826926,2463
2017-03-16,SCR115,02-1513,1,2017-03-16,2017-03-15,2017-03-14,2017-03-13,1.0,2.0,3.0,6.471153846153846,21.202196593826926,837
