InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-09-18,SHA184,02-8991,4,2015-09-18,2015-06-19,2015-06-08,2015-05-04,91.0,102.0,137.0,8.585585585585585,10.87989678131893,3014
2015-10-06,SHA184,02-1168,4,2015-10-06,2015-09-18,2015-06-19,2015-06-08,18.0,109.0,120.0,8.585585585585585,10.87989678131893,722
2015-10-29,SHA184,02-1168,1,2015-10-29,2015-10-06,2015-09-18,2015-06-19,23.0,41.0,132.0,8.585585585585585,10.87989678131893,722
2015-11-13,SHA184,02-7777,2,2015-11-13,2015-10-29,2015-10-06,2015-09-18,15.0,38.0,56.0,8.585585585585585,10.87989678131893,2686
2015-11-23,SHA184,02-1168,1,2015-11-23,2015-11-13,2015-10-29,2015-10-06,10.0,25.0,48.0,8.585585585585585,10.87989678131893,722
2015-12-03,SHA184,02-5593,6,2015-12-03,2015-11-23,2015-11-13,2015-10-29,10.0,20.0,35.0,8.585585585585585,10.87989678131893,2088
2015-12-14,SHA184,02-8991,12,2015-12-14,2015-12-03,2015-11-23,2015-11-13,11.0,21.0,31.0,8.585585585585585,10.87989678131893,3014
2016-01-07,SHA184,02-5593,8,2016-01-07,2015-12-14,2015-12-03,2015-11-23,24.0,35.0,45.0,8.585585585585585,10.87989678131893,2088
2016-01-12,SHA184,02-8991,6,2016-01-12,2016-01-07,2015-12-14,2015-12-03,5.0,29.0,40.0,8.585585585585585,10.87989678131893,3014
2016-02-03,SHA184,02-2974,1,2016-02-03,2016-01-12,2016-01-07,2015-12-14,22.0,27.0,51.0,8.585585585585585,10.87989678131893,1286
2016-02-22,SHA184,02-8991,8,2016-02-22,2016-02-03,2016-01-12,2016-01-07,19.0,41.0,46.0,8.585585585585585,10.87989678131893,3014
2016-03-09,SHA184,02-3612,2,2016-03-09,2016-02-22,2016-02-03,2016-01-12,16.0,35.0,57.0,8.585585585585585,10.87989678131893,1511
2016-03-22,SHA184,02-6202,3,2016-03-22,2016-03-09,2016-02-22,2016-02-03,13.0,29.0,48.0,8.585585585585585,10.87989678131893,2226
2016-04-07,SHA184,02-1867,1,2016-04-07,2016-03-22,2016-03-09,2016-02-22,16.0,29.0,45.0,8.585585585585585,10.87989678131893,937
2016-04-28,SHA184,02-2974,2,2016-04-28,2016-04-07,2016-03-22,2016-03-09,21.0,37.0,50.0,8.585585585585585,10.87989678131893,1286
2016-05-11,SHA184,06-3130,3,2016-05-11,2016-04-28,2016-04-07,2016-03-22,13.0,34.0,50.0,8.585585585585585,10.87989678131893,3631
2016-06-08,SHA184,02-4133,3,2016-06-08,2016-05-11,2016-04-28,2016-04-07,28.0,41.0,62.0,8.585585585585585,10.87989678131893,1657
2016-06-21,SHA184,02-2374,2,2016-06-21,2016-06-08,2016-05-11,2016-04-28,13.0,41.0,54.0,8.585585585585585,10.87989678131893,1104
2016-07-18,SHA184,02-3612,1,2016-07-18,2016-06-21,2016-06-08,2016-05-11,27.0,40.0,68.0,8.585585585585585,10.87989678131893,1511
2016-07-26,SHA184,01-3086,4,2016-07-26,2016-07-18,2016-06-21,2016-06-08,8.0,35.0,48.0,8.585585585585585,10.87989678131893,156
2016-08-18,SHA184,02-7373,1,2016-08-18,2016-07-26,2016-07-18,2016-06-21,23.0,31.0,58.0,8.585585585585585,10.87989678131893,2564
2016-09-08,SHA184,02-4133,3,2016-09-08,2016-08-18,2016-07-26,2016-07-18,21.0,44.0,52.0,8.585585585585585,10.87989678131893,1657
2016-09-30,SHA184,01-3086,6,2016-09-30,2016-09-08,2016-08-18,2016-07-26,22.0,43.0,66.0,8.585585585585585,10.87989678131893,156
2016-10-10,SHA184,02-3135,1,2016-10-10,2016-09-30,2016-09-08,2016-08-18,10.0,32.0,53.0,8.585585585585585,10.87989678131893,1359
2016-10-21,SHA184,02-2974,1,2016-10-21,2016-10-10,2016-09-30,2016-09-08,11.0,21.0,43.0,8.585585585585585,10.87989678131893,1286
2016-11-02,SHA184,02-7371,1,2016-11-02,2016-10-21,2016-10-10,2016-09-30,12.0,23.0,33.0,8.585585585585585,10.87989678131893,2562
2016-11-07,SHA184,02-7411,2,2016-11-07,2016-11-02,2016-10-21,2016-10-10,5.0,17.0,28.0,8.585585585585585,10.87989678131893,2580
2016-11-10,SHA184,02-7373,1,2016-11-10,2016-11-07,2016-11-02,2016-10-21,3.0,8.0,20.0,8.585585585585585,10.87989678131893,2564
2016-11-17,SHA184,02-5624,1,2016-11-17,2016-11-10,2016-11-07,2016-11-02,7.0,10.0,15.0,8.585585585585585,10.87989678131893,2101
2016-11-22,SHA184,02-6202,2,2016-11-22,2016-11-17,2016-11-10,2016-11-07,5.0,12.0,15.0,8.585585585585585,10.87989678131893,2226
2016-11-29,SHA184,02-7121,4,2016-11-29,2016-11-22,2016-11-17,2016-11-10,7.0,12.0,19.0,8.585585585585585,10.87989678131893,2476
2016-12-02,SHA184,02-0112,2,2016-12-02,2016-11-29,2016-11-22,2016-11-17,3.0,10.0,15.0,8.585585585585585,10.87989678131893,361
2016-12-08,SHA184,02-3671,1,2016-12-08,2016-12-02,2016-11-29,2016-11-22,6.0,9.0,16.0,8.585585585585585,10.87989678131893,1533
2016-12-21,SHA184,02-5624,1,2016-12-21,2016-12-08,2016-12-02,2016-11-29,13.0,19.0,22.0,8.585585585585585,10.87989678131893,2101
2016-12-29,SHA184,02-5492,3,2016-12-29,2016-12-21,2016-12-08,2016-12-02,8.0,21.0,27.0,8.585585585585585,10.87989678131893,2068
2017-01-04,SHA184,02-4133,2,2017-01-04,2016-12-29,2016-12-21,2016-12-08,6.0,14.0,27.0,8.585585585585585,10.87989678131893,1657
2017-01-11,SHA184,02-5492,2,2017-01-11,2017-01-04,2016-12-29,2016-12-21,7.0,13.0,21.0,8.585585585585585,10.87989678131893,2068
2017-01-16,SHA184,06-6972,4,2017-01-16,2017-01-11,2017-01-04,2016-12-29,5.0,12.0,18.0,8.585585585585585,10.87989678131893,3776
2017-01-18,SHA184,02-2974,1,2017-01-18,2017-01-16,2017-01-11,2017-01-04,2.0,7.0,14.0,8.585585585585585,10.87989678131893,1286
2017-01-30,SHA184,02-7777,1,2017-01-30,2017-01-18,2017-01-16,2017-01-11,12.0,14.0,19.0,8.585585585585585,10.87989678131893,2686
