InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-09-11,SOU267,02-2156,1,2015-09-11,2015-09-10,2015-07-27,2015-06-01,1.0,46.0,102.0,6.7593984962406015,20.149498217656216,1050
2015-09-14,SOU267,02-2374,2,2015-09-14,2015-09-11,2015-09-10,2015-07-27,3.0,4.0,49.0,6.7593984962406015,20.149498217656216,1104
2015-09-15,SOU267,02-0702,1,2015-09-15,2015-09-14,2015-09-11,2015-09-10,1.0,4.0,5.0,6.7593984962406015,20.149498217656216,604
2015-09-16,SOU267,02-8224,1,2015-09-16,2015-09-15,2015-09-14,2015-09-11,1.0,2.0,5.0,6.7593984962406015,20.149498217656216,2799
2015-09-17,SOU267,SPC1088,1,2015-09-17,2015-09-16,2015-09-15,2015-09-14,1.0,2.0,3.0,6.7593984962406015,20.149498217656216,4969
2015-09-21,SOU267,01-6873,6,2015-09-21,2015-09-17,2015-09-16,2015-09-15,4.0,5.0,6.0,6.7593984962406015,20.149498217656216,291
2015-09-22,SOU267,01-6873,7,2015-09-22,2015-09-21,2015-09-17,2015-09-16,1.0,5.0,6.0,6.7593984962406015,20.149498217656216,291
2015-09-23,SOU267,10-0442,1,2015-09-23,2015-09-22,2015-09-21,2015-09-17,1.0,2.0,6.0,6.7593984962406015,20.149498217656216,4096
2015-09-24,SOU267,SPC1246,1,2015-09-24,2015-09-23,2015-09-22,2015-09-21,1.0,2.0,3.0,6.7593984962406015,20.149498217656216,5125
2015-09-25,SOU267,02-0081,1,2015-09-25,2015-09-24,2015-09-23,2015-09-22,1.0,2.0,3.0,6.7593984962406015,20.149498217656216,349
2015-09-28,SOU267,02-1404,1,2015-09-28,2015-09-25,2015-09-24,2015-09-23,3.0,4.0,5.0,6.7593984962406015,20.149498217656216,791
2015-09-29,SOU267,02-1792,1,2015-09-29,2015-09-28,2015-09-25,2015-09-24,1.0,4.0,5.0,6.7593984962406015,20.149498217656216,918
2015-10-01,SOU267,02-8224,1,2015-10-01,2015-09-29,2015-09-28,2015-09-25,2.0,3.0,6.0,6.7593984962406015,20.149498217656216,2799
2015-10-06,SOU267,01-6561,1,2015-10-06,2015-10-01,2015-09-29,2015-09-28,5.0,7.0,8.0,6.7593984962406015,20.149498217656216,281
2015-10-08,SOU267,02-0551,1,2015-10-08,2015-10-06,2015-10-01,2015-09-29,2.0,7.0,9.0,6.7593984962406015,20.149498217656216,526
2015-10-12,SOU267,02-5344,1,2015-10-12,2015-10-08,2015-10-06,2015-10-01,4.0,6.0,11.0,6.7593984962406015,20.149498217656216,2024
2015-10-13,SOU267,SPC1158,1,2015-10-13,2015-10-12,2015-10-08,2015-10-06,1.0,5.0,7.0,6.7593984962406015,20.149498217656216,5037
2015-10-14,SOU267,SPC1158,1,2015-10-14,2015-10-13,2015-10-12,2015-10-08,1.0,2.0,6.0,6.7593984962406015,20.149498217656216,5037
2015-10-19,SOU267,02-8224,1,2015-10-19,2015-10-14,2015-10-13,2015-10-12,5.0,6.0,7.0,6.7593984962406015,20.149498217656216,2799
2015-10-20,SOU267,02-0575,1,2015-10-20,2015-10-19,2015-10-14,2015-10-13,1.0,6.0,7.0,6.7593984962406015,20.149498217656216,537
2015-10-22,SOU267,02-6693,1,2015-10-22,2015-10-20,2015-10-19,2015-10-14,2.0,3.0,8.0,6.7593984962406015,20.149498217656216,2361
2015-10-23,SOU267,02-0702,1,2015-10-23,2015-10-22,2015-10-20,2015-10-19,1.0,3.0,4.0,6.7593984962406015,20.149498217656216,604
2015-10-27,SOU267,02-6693,1,2015-10-27,2015-10-23,2015-10-22,2015-10-20,4.0,5.0,7.0,6.7593984962406015,20.149498217656216,2361
