InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-07-15,SRP100,02-5630,1,2015-07-15,2015-06-19,2015-05-19,2015-05-06,26.0,57.0,70.0,22.75,15.569888521483659,2102
2015-07-30,SRP100,02-1513,5,2015-07-30,2015-07-15,2015-06-19,2015-05-19,15.0,41.0,72.0,22.75,15.569888521483659,837
2015-08-13,SRP100,02-0448,1,2015-08-13,2015-07-30,2015-07-15,2015-06-19,14.0,29.0,55.0,22.75,15.569888521483659,485
2015-09-02,SRP100,02-7682,2,2015-09-02,2015-08-13,2015-07-30,2015-07-15,20.0,34.0,49.0,22.75,15.569888521483659,2648
2015-09-04,SRP100,02-7682,4,2015-09-04,2015-09-02,2015-08-13,2015-07-30,2.0,22.0,36.0,22.75,15.569888521483659,2648
2015-09-11,SRP100,02-1513,2,2015-09-11,2015-09-04,2015-09-02,2015-08-13,7.0,9.0,29.0,22.75,15.569888521483659,837
2015-10-02,SRP100,02-4255,1,2015-10-02,2015-09-11,2015-09-04,2015-09-02,21.0,28.0,30.0,22.75,15.569888521483659,1701
2015-10-14,SRP100,02-2965,4,2015-10-14,2015-10-02,2015-09-11,2015-09-04,12.0,33.0,40.0,22.75,15.569888521483659,1285
2015-11-06,SRP100,02-3177,2,2015-11-06,2015-10-14,2015-10-02,2015-09-11,23.0,35.0,56.0,22.75,15.569888521483659,1368
2015-12-08,SRP100,02-4167,1,2015-12-08,2015-11-06,2015-10-14,2015-10-02,32.0,55.0,67.0,22.75,15.569888521483659,1678
2015-12-18,SRP100,02-6575,1,2015-12-18,2015-12-08,2015-11-06,2015-10-14,10.0,42.0,65.0,22.75,15.569888521483659,2334
2015-12-23,SRP100,02-3237,6,2015-12-23,2015-12-18,2015-12-08,2015-11-06,5.0,15.0,47.0,22.75,15.569888521483659,1387
2016-01-08,SRP100,02-1237,2,2016-01-08,2015-12-23,2015-12-18,2015-12-08,16.0,21.0,31.0,22.75,15.569888521483659,743
2016-02-02,SRP100,02-1237,2,2016-02-02,2016-01-08,2015-12-23,2015-12-18,25.0,41.0,46.0,22.75,15.569888521483659,743
2016-02-04,SRP100,02-5247,4,2016-02-04,2016-02-02,2016-01-08,2015-12-23,2.0,27.0,43.0,22.75,15.569888521483659,2001
2016-02-24,SRP100,02-5594,5,2016-02-24,2016-02-04,2016-02-02,2016-01-08,20.0,22.0,47.0,22.75,15.569888521483659,2089
2016-03-14,SRP100,02-6205,2,2016-03-14,2016-02-24,2016-02-04,2016-02-02,19.0,39.0,41.0,22.75,15.569888521483659,2228
2016-04-12,SRP100,02-0599,4,2016-04-12,2016-03-14,2016-02-24,2016-02-04,29.0,48.0,68.0,22.75,15.569888521483659,553
2016-04-21,SRP100,02-2935,6,2016-04-21,2016-04-12,2016-03-14,2016-02-24,9.0,38.0,57.0,22.75,15.569888521483659,1273
2016-04-22,SRP100,02-2935,6,2016-04-22,2016-04-21,2016-04-12,2016-03-14,1.0,10.0,39.0,22.75,15.569888521483659,1273
2016-05-03,SRP100,02-2935,12,2016-05-03,2016-04-22,2016-04-21,2016-04-12,11.0,12.0,21.0,22.75,15.569888521483659,1273
2016-05-10,SRP100,02-5594,3,2016-05-10,2016-05-03,2016-04-22,2016-04-21,7.0,18.0,19.0,22.75,15.569888521483659,2089
2016-06-21,SRP100,01-2558,2,2016-06-21,2016-05-10,2016-05-03,2016-04-22,42.0,49.0,60.0,22.75,15.569888521483659,129
2016-08-11,SRP100,02-8764,6,2016-08-11,2016-06-21,2016-05-10,2016-05-03,51.0,93.0,100.0,22.75,15.569888521483659,2945
2016-10-13,SRP100,02-0567,3,2016-10-13,2016-08-11,2016-06-21,2016-05-10,63.0,114.0,156.0,22.75,15.569888521483659,533
2016-10-14,SRP100,02-5004,5,2016-10-14,2016-10-13,2016-08-11,2016-06-21,1.0,64.0,115.0,22.75,15.569888521483659,1894
2016-11-16,SRP100,02-6034,1,2016-11-16,2016-10-14,2016-10-13,2016-08-11,33.0,34.0,97.0,22.75,15.569888521483659,2184
2016-12-21,SRP100,02-5250,2,2016-12-21,2016-11-16,2016-10-14,2016-10-13,35.0,68.0,69.0,22.75,15.569888521483659,2002
2017-01-19,SRP100,SPC1040,5,2017-01-19,2016-12-21,2016-11-16,2016-10-14,29.0,64.0,97.0,22.75,15.569888521483659,4921
2017-02-22,SRP100,02-2901,3,2017-02-22,2017-01-19,2016-12-21,2016-11-16,34.0,63.0,98.0,22.75,15.569888521483659,1262
2017-03-30,SRP100,02-0842,1,2017-03-30,2017-02-22,2017-01-19,2016-12-21,36.0,70.0,99.0,22.75,15.569888521483659,639
2017-04-27,SRP100,01-6235,4,2017-04-27,2017-03-30,2017-02-22,2017-01-19,28.0,64.0,98.0,22.75,15.569888521483659,263
2017-06-13,SRP100,02-2935,24,2017-06-13,2017-04-27,2017-03-30,2017-02-22,47.0,75.0,111.0,22.75,15.569888521483659,1273
2017-08-02,SRP100,02-9595,2,2017-08-02,2017-06-13,2017-04-27,2017-03-30,50.0,97.0,125.0,22.75,15.569888521483659,3043
