InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-05-12,STO144,01-4821,2,2015-05-12,2015-05-11,2015-05-07,2015-05-05,1.0,5.0,7.0,3.3286713286713288,3.278374059507588,198
2015-05-14,STO144,02-5772,1,2015-05-14,2015-05-12,2015-05-11,2015-05-07,2.0,3.0,7.0,3.3286713286713288,3.278374059507588,2138
2015-05-16,STO144,02-7298,1,2015-05-16,2015-05-14,2015-05-12,2015-05-11,2.0,4.0,5.0,3.3286713286713288,3.278374059507588,2533
2015-05-18,STO144,02-1520,1,2015-05-18,2015-05-16,2015-05-14,2015-05-12,2.0,4.0,6.0,3.3286713286713288,3.278374059507588,842
2015-05-19,STO144,SPC1001,2,2015-05-19,2015-05-18,2015-05-16,2015-05-14,1.0,3.0,5.0,3.3286713286713288,3.278374059507588,4888
2015-05-26,STO144,04-8160,1,2015-05-26,2015-05-19,2015-05-18,2015-05-16,7.0,8.0,10.0,3.3286713286713288,3.278374059507588,3531
2015-06-02,STO144,02-4940,2,2015-06-02,2015-05-26,2015-05-19,2015-05-18,7.0,14.0,15.0,3.3286713286713288,3.278374059507588,1869
2015-06-11,STO144,02-1560,2,2015-06-11,2015-06-02,2015-05-26,2015-05-19,9.0,16.0,23.0,3.3286713286713288,3.278374059507588,853
2015-06-15,STO144,04-8160,1,2015-06-15,2015-06-11,2015-06-02,2015-05-26,4.0,13.0,20.0,3.3286713286713288,3.278374059507588,3531
2015-06-16,STO144,04-1699,1,2015-06-16,2015-06-15,2015-06-11,2015-06-02,1.0,5.0,14.0,3.3286713286713288,3.278374059507588,3388
2015-06-18,STO144,06-5432,1,2015-06-18,2015-06-16,2015-06-15,2015-06-11,2.0,3.0,7.0,3.3286713286713288,3.278374059507588,3707
2015-06-24,STO144,02-4608,4,2015-06-24,2015-06-18,2015-06-16,2015-06-15,6.0,8.0,9.0,3.3286713286713288,3.278374059507588,1757
2015-07-01,STO144,01-0264,1,2015-07-01,2015-06-24,2015-06-18,2015-06-16,7.0,13.0,15.0,3.3286713286713288,3.278374059507588,61
2015-07-06,STO144,02-5728,1,2015-07-06,2015-07-01,2015-06-24,2015-06-18,5.0,12.0,18.0,3.3286713286713288,3.278374059507588,2129
2015-07-07,STO144,04-1881,1,2015-07-07,2015-07-06,2015-07-01,2015-06-24,1.0,6.0,13.0,3.3286713286713288,3.278374059507588,3389
2015-07-08,STO144,02-6448,1,2015-07-08,2015-07-07,2015-07-06,2015-07-01,1.0,2.0,7.0,3.3286713286713288,3.278374059507588,2301
2015-07-09,STO144,02-8991,1,2015-07-09,2015-07-08,2015-07-07,2015-07-06,1.0,2.0,3.0,3.3286713286713288,3.278374059507588,3014
2015-07-11,STO144,B5-2085,1,2015-07-11,2015-07-09,2015-07-08,2015-07-07,2.0,3.0,4.0,3.3286713286713288,3.278374059507588,4577
2015-07-13,STO144,02-4829,1,2015-07-13,2015-07-11,2015-07-09,2015-07-08,2.0,4.0,5.0,3.3286713286713288,3.278374059507588,1843
2015-07-15,STO144,20-4219,3,2015-07-15,2015-07-13,2015-07-11,2015-07-09,2.0,4.0,6.0,3.3286713286713288,3.278374059507588,4298
2015-07-20,STO144,02-7119,1,2015-07-20,2015-07-15,2015-07-13,2015-07-11,5.0,7.0,9.0,3.3286713286713288,3.278374059507588,2475
2015-07-28,STO144,01-2598,1,2015-07-28,2015-07-20,2015-07-15,2015-07-13,8.0,13.0,15.0,3.3286713286713288,3.278374059507588,133
2015-08-03,STO144,01-6259,1,2015-08-03,2015-07-28,2015-07-20,2015-07-15,6.0,14.0,19.0,3.3286713286713288,3.278374059507588,265
2015-08-05,STO144,02-6202,1,2015-08-05,2015-08-03,2015-07-28,2015-07-20,2.0,8.0,16.0,3.3286713286713288,3.278374059507588,2226
2015-08-06,STO144,06-3653,1,2015-08-06,2015-08-05,2015-08-03,2015-07-28,1.0,3.0,9.0,3.3286713286713288,3.278374059507588,3656
2015-08-08,STO144,01-6259,1,2015-08-08,2015-08-06,2015-08-05,2015-08-03,2.0,3.0,5.0,3.3286713286713288,3.278374059507588,265
2015-08-10,STO144,04-3956,1,2015-08-10,2015-08-08,2015-08-06,2015-08-05,2.0,4.0,5.0,3.3286713286713288,3.278374059507588,3442
2015-08-11,STO144,SPC1046,1,2015-08-11,2015-08-10,2015-08-08,2015-08-06,1.0,3.0,5.0,3.3286713286713288,3.278374059507588,4927
2015-08-12,STO144,06-3653,1,2015-08-12,2015-08-11,2015-08-10,2015-08-08,1.0,2.0,4.0,3.3286713286713288,3.278374059507588,3656
2015-08-17,STO144,09-9744,3,2015-08-17,2015-08-12,2015-08-11,2015-08-10,5.0,6.0,7.0,3.3286713286713288,3.278374059507588,4016
2015-08-19,STO144,SPC1189,1,2015-08-19,2015-08-17,2015-08-12,2015-08-11,2.0,7.0,8.0,3.3286713286713288,3.278374059507588,5068
2015-08-22,STO144,02-6202,1,2015-08-22,2015-08-19,2015-08-17,2015-08-12,3.0,5.0,10.0,3.3286713286713288,3.278374059507588,2226
2015-08-27,STO144,20-4220,3,2015-08-27,2015-08-22,2015-08-19,2015-08-17,5.0,8.0,10.0,3.3286713286713288,3.278374059507588,4299
2015-09-01,STO144,09-9757,1,2015-09-01,2015-08-27,2015-08-22,2015-08-19,5.0,10.0,13.0,3.3286713286713288,3.278374059507588,4021
2015-09-03,STO144,01-6259,1,2015-09-03,2015-09-01,2015-08-27,2015-08-22,2.0,7.0,12.0,3.3286713286713288,3.278374059507588,265
2015-09-14,STO144,02-2374,2,2015-09-14,2015-09-03,2015-09-01,2015-08-27,11.0,13.0,18.0,3.3286713286713288,3.278374059507588,1104
2015-09-17,STO144,20-4220,3,2015-09-17,2015-09-14,2015-09-03,2015-09-01,3.0,14.0,16.0,3.3286713286713288,3.278374059507588,4299
2015-09-24,STO144,09-9829,3,2015-09-24,2015-09-17,2015-09-14,2015-09-03,7.0,10.0,21.0,3.3286713286713288,3.278374059507588,4035
2015-09-28,STO144,02-5270,1,2015-09-28,2015-09-24,2015-09-17,2015-09-14,4.0,11.0,14.0,3.3286713286713288,3.278374059507588,2007
2015-10-01,STO144,04-1567,1,2015-10-01,2015-09-28,2015-09-24,2015-09-17,3.0,7.0,14.0,3.3286713286713288,3.278374059507588,3382
2015-10-03,STO144,02-6202,1,2015-10-03,2015-10-01,2015-09-28,2015-09-24,2.0,5.0,9.0,3.3286713286713288,3.278374059507588,2226
2015-10-05,STO144,20-4220,3,2015-10-05,2015-10-03,2015-10-01,2015-09-28,2.0,4.0,7.0,3.3286713286713288,3.278374059507588,4299
2015-10-06,STO144,06-8989,1,2015-10-06,2015-10-05,2015-10-03,2015-10-01,1.0,3.0,5.0,3.3286713286713288,3.278374059507588,3789
2015-10-07,STO144,01-3931,1,2015-10-07,2015-10-06,2015-10-05,2015-10-03,1.0,2.0,4.0,3.3286713286713288,3.278374059507588,178
2015-10-08,STO144,02-0604,1,2015-10-08,2015-10-07,2015-10-06,2015-10-05,1.0,2.0,3.0,3.3286713286713288,3.278374059507588,556
2015-10-14,STO144,01-8814,1,2015-10-14,2015-10-08,2015-10-07,2015-10-06,6.0,7.0,8.0,3.3286713286713288,3.278374059507588,305
2015-10-21,STO144,06-8928,2,2015-10-21,2015-10-14,2015-10-08,2015-10-07,7.0,13.0,14.0,3.3286713286713288,3.278374059507588,3786
2015-10-22,STO144,01-3934,2,2015-10-22,2015-10-21,2015-10-14,2015-10-08,1.0,8.0,14.0,3.3286713286713288,3.278374059507588,179
2015-10-23,STO144,01-3934,10,2015-10-23,2015-10-22,2015-10-21,2015-10-14,1.0,2.0,9.0,3.3286713286713288,3.278374059507588,179
2015-10-28,STO144,01-8237,2,2015-10-28,2015-10-23,2015-10-22,2015-10-21,5.0,6.0,7.0,3.3286713286713288,3.278374059507588,300
2015-11-03,STO144,02-7682,1,2015-11-03,2015-10-28,2015-10-23,2015-10-22,6.0,11.0,12.0,3.3286713286713288,3.278374059507588,2648
2015-11-04,STO144,SPC1303,2,2015-11-04,2015-11-03,2015-10-28,2015-10-23,1.0,7.0,12.0,3.3286713286713288,3.278374059507588,5178
2015-11-09,STO144,02-6776,3,2015-11-09,2015-11-04,2015-11-03,2015-10-28,5.0,6.0,12.0,3.3286713286713288,3.278374059507588,2378
2015-11-10,STO144,01-6487,2,2015-11-10,2015-11-09,2015-11-04,2015-11-03,1.0,6.0,7.0,3.3286713286713288,3.278374059507588,279
2015-11-11,STO144,01-3931,8,2015-11-11,2015-11-10,2015-11-09,2015-11-04,1.0,2.0,7.0,3.3286713286713288,3.278374059507588,178
2015-11-12,STO144,01-2673,2,2015-11-12,2015-11-11,2015-11-10,2015-11-09,1.0,2.0,3.0,3.3286713286713288,3.278374059507588,138
2015-11-18,STO144,01-2460,1,2015-11-18,2015-11-12,2015-11-11,2015-11-10,6.0,7.0,8.0,3.3286713286713288,3.278374059507588,122
2015-11-21,STO144,06-3602,1,2015-11-21,2015-11-18,2015-11-12,2015-11-11,3.0,9.0,10.0,3.3286713286713288,3.278374059507588,3651
2015-11-25,STO144,02-7121,3,2015-11-25,2015-11-21,2015-11-18,2015-11-12,4.0,7.0,13.0,3.3286713286713288,3.278374059507588,2476
2015-11-30,STO144,SPC1348,6,2015-11-30,2015-11-25,2015-11-21,2015-11-18,5.0,9.0,12.0,3.3286713286713288,3.278374059507588,5222
2015-12-07,STO144,02-1513,5,2015-12-07,2015-11-30,2015-11-25,2015-11-21,7.0,12.0,16.0,3.3286713286713288,3.278374059507588,837
