InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2016-07-15,SUN211,01-1258,4,2016-07-15,2016-06-20,2016-05-07,2016-04-18,25.0,69.0,88.0,8.91044776119403,8.36611372665835,102
2016-08-03,SUN211,02-1435,4,2016-08-03,2016-07-15,2016-06-20,2016-05-07,19.0,44.0,88.0,8.91044776119403,8.36611372665835,812
2016-08-22,SUN211,02-7195,1,2016-08-22,2016-08-03,2016-07-15,2016-06-20,19.0,38.0,63.0,8.91044776119403,8.36611372665835,2503
2016-08-30,SUN211,06-3509,4,2016-08-30,2016-08-22,2016-08-03,2016-07-15,8.0,27.0,46.0,8.91044776119403,8.36611372665835,3642
2016-09-14,SUN211,06-3509,2,2016-09-14,2016-08-30,2016-08-22,2016-08-03,15.0,23.0,42.0,8.91044776119403,8.36611372665835,3642
2016-09-22,SUN211,SPC1599,10,2016-09-22,2016-09-14,2016-08-30,2016-08-22,8.0,23.0,31.0,8.91044776119403,8.36611372665835,5466
2016-09-29,SUN211,06-3130,10,2016-09-29,2016-09-22,2016-09-14,2016-08-30,7.0,15.0,30.0,8.91044776119403,8.36611372665835,3631
2016-10-05,SUN211,06-3509,16,2016-10-05,2016-09-29,2016-09-22,2016-09-14,6.0,13.0,21.0,8.91044776119403,8.36611372665835,3642
2016-10-12,SUN211,02-1291,2,2016-10-12,2016-10-05,2016-09-29,2016-09-22,7.0,13.0,20.0,8.91044776119403,8.36611372665835,757
2016-10-14,SUN211,20-2481,4,2016-10-14,2016-10-12,2016-10-05,2016-09-29,2.0,9.0,15.0,8.91044776119403,8.36611372665835,4278
2016-10-19,SUN211,06-0348,8,2016-10-19,2016-10-14,2016-10-12,2016-10-05,5.0,7.0,14.0,8.91044776119403,8.36611372665835,3567
2016-10-25,SUN211,06-3130,24,2016-10-25,2016-10-19,2016-10-14,2016-10-12,6.0,11.0,13.0,8.91044776119403,8.36611372665835,3631
2016-11-09,SUN211,06-3509,1,2016-11-09,2016-10-25,2016-10-19,2016-10-14,15.0,21.0,26.0,8.91044776119403,8.36611372665835,3642
2016-11-10,SUN211,01-1258,10,2016-11-10,2016-11-09,2016-10-25,2016-10-19,1.0,16.0,22.0,8.91044776119403,8.36611372665835,102
2016-11-14,SUN211,01-1258,10,2016-11-14,2016-11-10,2016-11-09,2016-10-25,4.0,5.0,20.0,8.91044776119403,8.36611372665835,102
2016-11-21,SUN211,01-1258,8,2016-11-21,2016-11-14,2016-11-10,2016-11-09,7.0,11.0,12.0,8.91044776119403,8.36611372665835,102
2016-11-22,SUN211,06-3130,24,2016-11-22,2016-11-21,2016-11-14,2016-11-10,1.0,8.0,12.0,8.91044776119403,8.36611372665835,3631
2016-11-29,SUN211,01-1257,3,2016-11-29,2016-11-22,2016-11-21,2016-11-14,7.0,8.0,15.0,8.91044776119403,8.36611372665835,101
2016-12-15,SUN211,02-1435,10,2016-12-15,2016-11-29,2016-11-22,2016-11-21,16.0,23.0,24.0,8.91044776119403,8.36611372665835,812
2016-12-16,SUN211,06-3130,48,2016-12-16,2016-12-15,2016-11-29,2016-11-22,1.0,17.0,24.0,8.91044776119403,8.36611372665835,3631
2017-01-03,SUN211,01-1258,20,2017-01-03,2016-12-16,2016-12-15,2016-11-29,18.0,19.0,35.0,8.91044776119403,8.36611372665835,102
2017-01-10,SUN211,01-1258,6,2017-01-10,2017-01-03,2016-12-16,2016-12-15,7.0,25.0,26.0,8.91044776119403,8.36611372665835,102
2017-01-25,SUN211,06-3130,72,2017-01-25,2017-01-10,2017-01-03,2016-12-16,15.0,22.0,40.0,8.91044776119403,8.36611372665835,3631
2017-02-08,SUN211,SPC1273,24,2017-02-08,2017-01-25,2017-01-10,2017-01-03,14.0,29.0,36.0,8.91044776119403,8.36611372665835,5148
2017-02-17,SUN211,01-1258,10,2017-02-17,2017-02-08,2017-01-25,2017-01-10,9.0,23.0,38.0,8.91044776119403,8.36611372665835,102
2017-02-23,SUN211,01-1258,12,2017-02-23,2017-02-17,2017-02-08,2017-01-25,6.0,15.0,29.0,8.91044776119403,8.36611372665835,102
2017-03-01,SUN211,01-1258,12,2017-03-01,2017-02-23,2017-02-17,2017-02-08,6.0,12.0,21.0,8.91044776119403,8.36611372665835,102
2017-03-08,SUN211,01-1258,10,2017-03-08,2017-03-01,2017-02-23,2017-02-17,7.0,13.0,19.0,8.91044776119403,8.36611372665835,102
2017-03-14,SUN211,01-1258,8,2017-03-14,2017-03-08,2017-03-01,2017-02-23,6.0,13.0,19.0,8.91044776119403,8.36611372665835,102
2017-03-15,SUN211,06-3130,48,2017-03-15,2017-03-14,2017-03-08,2017-03-01,1.0,7.0,14.0,8.91044776119403,8.36611372665835,3631
2017-03-20,SUN211,06-4761,12,2017-03-20,2017-03-15,2017-03-14,2017-03-08,5.0,6.0,12.0,8.91044776119403,8.36611372665835,3685
2017-03-23,SUN211,06-3130,48,2017-03-23,2017-03-20,2017-03-15,2017-03-14,3.0,8.0,9.0,8.91044776119403,8.36611372665835,3631
2017-04-03,SUN211,06-3130,48,2017-04-03,2017-03-23,2017-03-20,2017-03-15,11.0,14.0,19.0,8.91044776119403,8.36611372665835,3631
2017-04-06,SUN211,06-4761,10,2017-04-06,2017-04-03,2017-03-23,2017-03-20,3.0,14.0,17.0,8.91044776119403,8.36611372665835,3685
2017-04-11,SUN211,01-1258,10,2017-04-11,2017-04-06,2017-04-03,2017-03-23,5.0,8.0,19.0,8.91044776119403,8.36611372665835,102
2017-05-24,SUN211,06-2444,120,2017-05-24,2017-04-11,2017-04-06,2017-04-03,43.0,48.0,51.0,8.91044776119403,8.36611372665835,3610
2017-05-31,SUN211,01-1258,12,2017-05-31,2017-05-24,2017-04-11,2017-04-06,7.0,50.0,55.0,8.91044776119403,8.36611372665835,102
2017-06-07,SUN211,01-1258,12,2017-06-07,2017-05-31,2017-05-24,2017-04-11,7.0,14.0,57.0,8.91044776119403,8.36611372665835,102
2017-06-14,SUN211,02-1691,40,2017-06-14,2017-06-07,2017-05-31,2017-05-24,7.0,14.0,21.0,8.91044776119403,8.36611372665835,877
2017-06-29,SUN211,02-2367,2,2017-06-29,2017-06-14,2017-06-07,2017-05-31,15.0,22.0,29.0,8.91044776119403,8.36611372665835,1098
2017-07-17,SUN211,01-1258,12,2017-07-17,2017-06-29,2017-06-14,2017-06-07,18.0,33.0,40.0,8.91044776119403,8.36611372665835,102
2017-07-20,SUN211,02-2323,1,2017-07-20,2017-07-17,2017-06-29,2017-06-14,3.0,21.0,36.0,8.91044776119403,8.36611372665835,1089
2017-07-28,SUN211,06-4761,8,2017-07-28,2017-07-20,2017-07-17,2017-06-29,8.0,11.0,29.0,8.91044776119403,8.36611372665835,3685
2017-08-01,SUN211,06-2444,120,2017-08-01,2017-07-28,2017-07-20,2017-07-17,4.0,12.0,15.0,8.91044776119403,8.36611372665835,3610
2017-08-03,SUN211,02-1691,60,2017-08-03,2017-08-01,2017-07-28,2017-07-20,2.0,6.0,14.0,8.91044776119403,8.36611372665835,877
2017-08-07,SUN211,02-0228,1,2017-08-07,2017-08-03,2017-08-01,2017-07-28,4.0,6.0,10.0,8.91044776119403,8.36611372665835,406
2017-08-08,SUN211,06-4991,10,2017-08-08,2017-08-07,2017-08-03,2017-08-01,1.0,5.0,7.0,8.91044776119403,8.36611372665835,3692
2017-08-16,SUN211,02-3918,1,2017-08-16,2017-08-08,2017-08-07,2017-08-03,8.0,9.0,13.0,8.91044776119403,8.36611372665835,1606
2017-08-17,SUN211,01-1257,2,2017-08-17,2017-08-16,2017-08-08,2017-08-07,1.0,9.0,10.0,8.91044776119403,8.36611372665835,101
2017-08-23,SUN211,B2-0440,1,2017-08-23,2017-08-17,2017-08-16,2017-08-08,6.0,7.0,15.0,8.91044776119403,8.36611372665835,4522
2017-08-31,SUN211,02-1691,36,2017-08-31,2017-08-23,2017-08-17,2017-08-16,8.0,14.0,15.0,8.91044776119403,8.36611372665835,877
2017-09-07,SUN211,02-5013,1,2017-09-07,2017-08-31,2017-08-23,2017-08-17,7.0,15.0,21.0,8.91044776119403,8.36611372665835,1901
2017-09-15,SUN211,01-1258,12,2017-09-15,2017-09-07,2017-08-31,2017-08-23,8.0,15.0,23.0,8.91044776119403,8.36611372665835,102
2017-09-20,SUN211,02-2901,1,2017-09-20,2017-09-15,2017-09-07,2017-08-31,5.0,13.0,20.0,8.91044776119403,8.36611372665835,1262
2017-09-21,SUN211,06-2444,72,2017-09-21,2017-09-20,2017-09-15,2017-09-07,1.0,6.0,14.0,8.91044776119403,8.36611372665835,3610
2017-09-27,SUN211,02-8634,1,2017-09-27,2017-09-21,2017-09-20,2017-09-15,6.0,7.0,12.0,8.91044776119403,8.36611372665835,2905
2017-10-05,SUN211,02-1172,1,2017-10-05,2017-09-27,2017-09-21,2017-09-20,8.0,14.0,15.0,8.91044776119403,8.36611372665835,725
2017-10-19,SUN211,02-1691,54,2017-10-19,2017-10-05,2017-09-27,2017-09-21,14.0,22.0,28.0,8.91044776119403,8.36611372665835,877
2017-10-25,SUN211,SPC1924,14,2017-10-25,2017-10-19,2017-10-05,2017-09-27,6.0,20.0,28.0,8.91044776119403,8.36611372665835,5781
2017-10-26,SUN211,01-2328,4,2017-10-26,2017-10-25,2017-10-19,2017-10-05,1.0,7.0,21.0,8.91044776119403,8.36611372665835,119
2017-10-27,SUN211,06-4991,48,2017-10-27,2017-10-26,2017-10-25,2017-10-19,1.0,2.0,8.0,8.91044776119403,8.36611372665835,3692
2017-11-03,SUN211,06-4991,96,2017-11-03,2017-10-27,2017-10-26,2017-10-25,7.0,8.0,9.0,8.91044776119403,8.36611372665835,3692
2017-11-07,SUN211,01-1257,2,2017-11-07,2017-11-03,2017-10-27,2017-10-26,4.0,11.0,12.0,8.91044776119403,8.36611372665835,101
2017-11-30,SUN211,02-1691,54,2017-11-30,2017-11-07,2017-11-03,2017-10-27,23.0,27.0,34.0,8.91044776119403,8.36611372665835,877
2017-12-06,SUN211,06-6159,6,2017-12-06,2017-11-30,2017-11-07,2017-11-03,6.0,29.0,33.0,8.91044776119403,8.36611372665835,3751
