InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-06-11,TAM105,02-0399,2,2015-06-11,2015-06-09,2015-05-19,2015-05-15,2.0,23.0,27.0,7.3858267716535435,6.380833458142237,461
2015-06-17,TAM105,02-6384,6,2015-06-17,2015-06-11,2015-06-09,2015-05-19,6.0,8.0,29.0,7.3858267716535435,6.380833458142237,2285
2015-07-22,TAM105,02-6384,3,2015-07-22,2015-06-17,2015-06-11,2015-06-09,35.0,41.0,43.0,7.3858267716535435,6.380833458142237,2285
2015-07-31,TAM105,02-6384,12,2015-07-31,2015-07-22,2015-06-17,2015-06-11,9.0,44.0,50.0,7.3858267716535435,6.380833458142237,2285
2015-08-03,TAM105,02-6483,50,2015-08-03,2015-07-31,2015-07-22,2015-06-17,3.0,12.0,47.0,7.3858267716535435,6.380833458142237,2311
2015-08-04,TAM105,02-6483,10,2015-08-04,2015-08-03,2015-07-31,2015-07-22,1.0,4.0,13.0,7.3858267716535435,6.380833458142237,2311
2015-08-06,TAM105,06-4912,144,2015-08-06,2015-08-04,2015-08-03,2015-07-31,2.0,3.0,6.0,7.3858267716535435,6.380833458142237,3691
2015-08-13,TAM105,06-0348,10,2015-08-13,2015-08-06,2015-08-04,2015-08-03,7.0,9.0,10.0,7.3858267716535435,6.380833458142237,3567
2015-08-14,TAM105,10-5673,6,2015-08-14,2015-08-13,2015-08-06,2015-08-04,1.0,8.0,10.0,7.3858267716535435,6.380833458142237,4157
2015-08-18,TAM105,02-0361,3,2015-08-18,2015-08-14,2015-08-13,2015-08-06,4.0,5.0,12.0,7.3858267716535435,6.380833458142237,446
2015-08-24,TAM105,06-2663,12,2015-08-24,2015-08-18,2015-08-14,2015-08-13,6.0,10.0,11.0,7.3858267716535435,6.380833458142237,3620
2015-08-26,TAM105,06-0344,12,2015-08-26,2015-08-24,2015-08-18,2015-08-14,2.0,8.0,12.0,7.3858267716535435,6.380833458142237,3564
2015-08-27,TAM105,02-4062,3,2015-08-27,2015-08-26,2015-08-24,2015-08-18,1.0,3.0,9.0,7.3858267716535435,6.380833458142237,1641
2015-09-01,TAM105,02-4062,2,2015-09-01,2015-08-27,2015-08-26,2015-08-24,5.0,6.0,8.0,7.3858267716535435,6.380833458142237,1641
2015-09-04,TAM105,06-4912,144,2015-09-04,2015-09-01,2015-08-27,2015-08-26,3.0,8.0,9.0,7.3858267716535435,6.380833458142237,3691
2015-09-14,TAM105,02-0361,3,2015-09-14,2015-09-04,2015-09-01,2015-08-27,10.0,13.0,18.0,7.3858267716535435,6.380833458142237,446
2015-09-16,TAM105,06-6872,36,2015-09-16,2015-09-14,2015-09-04,2015-09-01,2.0,12.0,15.0,7.3858267716535435,6.380833458142237,3775
2015-09-17,TAM105,02-6384,12,2015-09-17,2015-09-16,2015-09-14,2015-09-04,1.0,3.0,13.0,7.3858267716535435,6.380833458142237,2285
2015-09-23,TAM105,SPC1201,12,2015-09-23,2015-09-17,2015-09-16,2015-09-14,6.0,7.0,9.0,7.3858267716535435,6.380833458142237,5080
2015-09-25,TAM105,02-5630,1,2015-09-25,2015-09-23,2015-09-17,2015-09-16,2.0,8.0,9.0,7.3858267716535435,6.380833458142237,2102
2015-09-29,TAM105,06-0348,24,2015-09-29,2015-09-25,2015-09-23,2015-09-17,4.0,6.0,12.0,7.3858267716535435,6.380833458142237,3567
2015-09-30,TAM105,02-6384,6,2015-09-30,2015-09-29,2015-09-25,2015-09-23,1.0,5.0,7.0,7.3858267716535435,6.380833458142237,2285
2015-10-10,TAM105,02-1416,300,2015-10-10,2015-09-30,2015-09-29,2015-09-25,10.0,11.0,15.0,7.3858267716535435,6.380833458142237,800
