InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-12-29,TPP108,02-5816,2,2015-12-29,2015-09-11,2015-08-31,2015-07-22,109.0,120.0,160.0,43.05,51.7020563573534,2146
2016-06-16,TPP108,02-7078,2,2016-06-16,2015-12-29,2015-09-11,2015-08-31,170.0,279.0,290.0,43.05,51.7020563573534,2459
2016-07-28,TPP108,02-6114,1,2016-07-28,2016-06-16,2015-12-29,2015-09-11,42.0,212.0,321.0,43.05,51.7020563573534,2209
2016-09-06,TPP108,02-7078,1,2016-09-06,2016-07-28,2016-06-16,2015-12-29,40.0,82.0,252.0,43.05,51.7020563573534,2459
2017-03-09,TPP108,02-1888,2,2017-03-09,2016-09-06,2016-07-28,2016-06-16,184.0,224.0,266.0,43.05,51.7020563573534,943
2017-03-21,TPP108,02-0725,2,2017-03-21,2017-03-09,2016-09-06,2016-07-28,12.0,196.0,236.0,43.05,51.7020563573534,610
2017-03-22,TPP108,10-3953,1,2017-03-22,2017-03-21,2017-03-09,2016-09-06,1.0,13.0,197.0,43.05,51.7020563573534,4134
2017-05-15,TPP108,20-3439,3,2017-05-15,2017-03-22,2017-03-21,2017-03-09,54.0,55.0,67.0,43.05,51.7020563573534,4290
2017-05-31,TPP108,06-8835,2,2017-05-31,2017-05-15,2017-03-22,2017-03-21,16.0,70.0,71.0,43.05,51.7020563573534,3783
2017-06-28,TPP108,06-0163,1,2017-06-28,2017-05-31,2017-05-15,2017-03-22,28.0,44.0,98.0,43.05,51.7020563573534,3560
2017-07-06,TPP108,02-2713,6,2017-07-06,2017-06-28,2017-05-31,2017-05-15,8.0,36.0,52.0,43.05,51.7020563573534,1214
2017-07-10,TPP108,07-4655,2,2017-07-10,2017-07-06,2017-06-28,2017-05-31,4.0,12.0,40.0,43.05,51.7020563573534,3812
2017-07-31,TPP108,02-9700,1,2017-07-31,2017-07-10,2017-07-06,2017-06-28,21.0,25.0,33.0,43.05,51.7020563573534,3119
2017-08-30,TPP108,02-4332,1,2017-08-30,2017-07-31,2017-07-10,2017-07-06,30.0,51.0,55.0,43.05,51.7020563573534,1715
2017-09-26,TPP108,02-2713,6,2017-09-26,2017-08-30,2017-07-31,2017-07-10,27.0,57.0,78.0,43.05,51.7020563573534,1214
2017-10-24,TPP108,02-9694,3,2017-10-24,2017-09-26,2017-08-30,2017-07-31,28.0,55.0,85.0,43.05,51.7020563573534,3113
2017-10-27,TPP108,02-4151,1,2017-10-27,2017-10-24,2017-09-26,2017-08-30,3.0,31.0,58.0,43.05,51.7020563573534,1667
2017-11-29,TPP108,02-4976,20,2017-11-29,2017-10-27,2017-10-24,2017-09-26,33.0,36.0,64.0,43.05,51.7020563573534,1885
