InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2016-06-27,UNI233,02-7373,2,2016-06-27,2016-06-21,2016-06-06,2016-05-27,6.0,21.0,31.0,3.785234899328859,3.4259813318728662,2564
2016-07-01,UNI233,02-7373,2,2016-07-01,2016-06-27,2016-06-21,2016-06-06,4.0,10.0,25.0,3.785234899328859,3.4259813318728662,2564
2016-07-08,UNI233,02-7373,2,2016-07-08,2016-07-01,2016-06-27,2016-06-21,7.0,11.0,17.0,3.785234899328859,3.4259813318728662,2564
2016-07-11,UNI233,02-6565,2,2016-07-11,2016-07-08,2016-07-01,2016-06-27,3.0,10.0,14.0,3.785234899328859,3.4259813318728662,2329
2016-07-26,UNI233,02-1288,1,2016-07-26,2016-07-11,2016-07-08,2016-07-01,15.0,18.0,25.0,3.785234899328859,3.4259813318728662,755
2016-08-01,UNI233,02-1288,2,2016-08-01,2016-07-26,2016-07-11,2016-07-08,6.0,21.0,24.0,3.785234899328859,3.4259813318728662,755
2016-08-04,UNI233,02-6565,2,2016-08-04,2016-08-01,2016-07-26,2016-07-11,3.0,9.0,24.0,3.785234899328859,3.4259813318728662,2329
2016-08-09,UNI233,02-1288,1,2016-08-09,2016-08-04,2016-08-01,2016-07-26,5.0,8.0,14.0,3.785234899328859,3.4259813318728662,755
2016-08-15,UNI233,02-1288,1,2016-08-15,2016-08-09,2016-08-04,2016-08-01,6.0,11.0,14.0,3.785234899328859,3.4259813318728662,755
2016-08-22,UNI233,02-7373,2,2016-08-22,2016-08-15,2016-08-09,2016-08-04,7.0,13.0,18.0,3.785234899328859,3.4259813318728662,2564
2016-08-25,UNI233,02-1288,1,2016-08-25,2016-08-22,2016-08-15,2016-08-09,3.0,10.0,16.0,3.785234899328859,3.4259813318728662,755
2016-09-01,UNI233,02-6565,1,2016-09-01,2016-08-25,2016-08-22,2016-08-15,7.0,10.0,17.0,3.785234899328859,3.4259813318728662,2329
2016-09-02,UNI233,02-6565,1,2016-09-02,2016-09-01,2016-08-25,2016-08-22,1.0,8.0,11.0,3.785234899328859,3.4259813318728662,2329
2016-09-08,UNI233,02-1288,1,2016-09-08,2016-09-02,2016-09-01,2016-08-25,6.0,7.0,14.0,3.785234899328859,3.4259813318728662,755
2016-09-15,UNI233,02-1288,1,2016-09-15,2016-09-08,2016-09-02,2016-09-01,7.0,13.0,14.0,3.785234899328859,3.4259813318728662,755
2016-09-20,UNI233,02-6565,2,2016-09-20,2016-09-15,2016-09-08,2016-09-02,5.0,12.0,18.0,3.785234899328859,3.4259813318728662,2329
2016-09-21,UNI233,02-1288,1,2016-09-21,2016-09-20,2016-09-15,2016-09-08,1.0,6.0,13.0,3.785234899328859,3.4259813318728662,755
2016-09-22,UNI233,02-7363,5,2016-09-22,2016-09-21,2016-09-20,2016-09-15,1.0,2.0,7.0,3.785234899328859,3.4259813318728662,2559
2016-09-28,UNI233,02-1288,1,2016-09-28,2016-09-22,2016-09-21,2016-09-20,6.0,7.0,8.0,3.785234899328859,3.4259813318728662,755
2016-10-07,UNI233,02-1288,1,2016-10-07,2016-09-28,2016-09-22,2016-09-21,9.0,15.0,16.0,3.785234899328859,3.4259813318728662,755
2016-10-12,UNI233,01-1323,3,2016-10-12,2016-10-07,2016-09-28,2016-09-22,5.0,14.0,20.0,3.785234899328859,3.4259813318728662,106
2016-10-13,UNI233,02-6565,2,2016-10-13,2016-10-12,2016-10-07,2016-09-28,1.0,6.0,15.0,3.785234899328859,3.4259813318728662,2329
2016-10-18,UNI233,02-7373,1,2016-10-18,2016-10-13,2016-10-12,2016-10-07,5.0,6.0,11.0,3.785234899328859,3.4259813318728662,2564
2016-10-24,UNI233,02-7363,6,2016-10-24,2016-10-18,2016-10-13,2016-10-12,6.0,11.0,12.0,3.785234899328859,3.4259813318728662,2559
2016-10-28,UNI233,02-1288,1,2016-10-28,2016-10-24,2016-10-18,2016-10-13,4.0,10.0,15.0,3.785234899328859,3.4259813318728662,755
2016-10-31,UNI233,02-1288,2,2016-10-31,2016-10-28,2016-10-24,2016-10-18,3.0,7.0,13.0,3.785234899328859,3.4259813318728662,755
2016-11-14,UNI233,02-1288,2,2016-11-14,2016-10-31,2016-10-28,2016-10-24,14.0,17.0,21.0,3.785234899328859,3.4259813318728662,755
2016-11-15,UNI233,02-7373,2,2016-11-15,2016-11-14,2016-10-31,2016-10-28,1.0,15.0,18.0,3.785234899328859,3.4259813318728662,2564
2016-11-16,UNI233,02-6565,2,2016-11-16,2016-11-15,2016-11-14,2016-10-31,1.0,2.0,16.0,3.785234899328859,3.4259813318728662,2329
2016-11-18,UNI233,01-1323,3,2016-11-18,2016-11-16,2016-11-15,2016-11-14,2.0,3.0,4.0,3.785234899328859,3.4259813318728662,106
2016-11-29,UNI233,02-6565,2,2016-11-29,2016-11-18,2016-11-16,2016-11-15,11.0,13.0,14.0,3.785234899328859,3.4259813318728662,2329
2016-12-05,UNI233,02-1288,1,2016-12-05,2016-11-29,2016-11-18,2016-11-16,6.0,17.0,19.0,3.785234899328859,3.4259813318728662,755
2016-12-07,UNI233,02-6565,4,2016-12-07,2016-12-05,2016-11-29,2016-11-18,2.0,8.0,19.0,3.785234899328859,3.4259813318728662,2329
2016-12-12,UNI233,02-6565,4,2016-12-12,2016-12-07,2016-12-05,2016-11-29,5.0,7.0,13.0,3.785234899328859,3.4259813318728662,2329
2016-12-16,UNI233,02-1288,1,2016-12-16,2016-12-12,2016-12-07,2016-12-05,4.0,9.0,11.0,3.785234899328859,3.4259813318728662,755
2016-12-27,UNI233,02-7373,2,2016-12-27,2016-12-16,2016-12-12,2016-12-07,11.0,15.0,20.0,3.785234899328859,3.4259813318728662,2564
2017-01-03,UNI233,02-7363,5,2017-01-03,2016-12-27,2016-12-16,2016-12-12,7.0,18.0,22.0,3.785234899328859,3.4259813318728662,2559
2017-01-06,UNI233,02-6565,1,2017-01-06,2017-01-03,2016-12-27,2016-12-16,3.0,10.0,21.0,3.785234899328859,3.4259813318728662,2329
2017-01-09,UNI233,02-7363,3,2017-01-09,2017-01-06,2017-01-03,2016-12-27,3.0,6.0,13.0,3.785234899328859,3.4259813318728662,2559
2017-01-17,UNI233,02-6310,10,2017-01-17,2017-01-09,2017-01-06,2017-01-03,8.0,11.0,14.0,3.785234899328859,3.4259813318728662,2261
2017-01-23,UNI233,02-7373,4,2017-01-23,2017-01-17,2017-01-09,2017-01-06,6.0,14.0,17.0,3.785234899328859,3.4259813318728662,2564
2017-01-26,UNI233,02-6310,10,2017-01-26,2017-01-23,2017-01-17,2017-01-09,3.0,9.0,17.0,3.785234899328859,3.4259813318728662,2261
2017-02-01,UNI233,02-6310,1,2017-02-01,2017-01-26,2017-01-23,2017-01-17,6.0,9.0,15.0,3.785234899328859,3.4259813318728662,2261
2017-02-03,UNI233,02-6310,10,2017-02-03,2017-02-01,2017-01-26,2017-01-23,2.0,8.0,11.0,3.785234899328859,3.4259813318728662,2261
2017-02-10,UNI233,02-6565,3,2017-02-10,2017-02-03,2017-02-01,2017-01-26,7.0,9.0,15.0,3.785234899328859,3.4259813318728662,2329
2017-02-14,UNI233,02-7373,2,2017-02-14,2017-02-10,2017-02-03,2017-02-01,4.0,11.0,13.0,3.785234899328859,3.4259813318728662,2564
2017-02-20,UNI233,02-6565,2,2017-02-20,2017-02-14,2017-02-10,2017-02-03,6.0,10.0,17.0,3.785234899328859,3.4259813318728662,2329
2017-02-23,UNI233,02-7373,2,2017-02-23,2017-02-20,2017-02-14,2017-02-10,3.0,9.0,13.0,3.785234899328859,3.4259813318728662,2564
2017-02-27,UNI233,02-1288,2,2017-02-27,2017-02-23,2017-02-20,2017-02-14,4.0,7.0,13.0,3.785234899328859,3.4259813318728662,755
2017-03-02,UNI233,02-7363,5,2017-03-02,2017-02-27,2017-02-23,2017-02-20,3.0,7.0,10.0,3.785234899328859,3.4259813318728662,2559
2017-03-10,UNI233,02-1288,1,2017-03-10,2017-03-02,2017-02-27,2017-02-23,8.0,11.0,15.0,3.785234899328859,3.4259813318728662,755
2017-03-14,UNI233,02-1288,2,2017-03-14,2017-03-10,2017-03-02,2017-02-27,4.0,12.0,15.0,3.785234899328859,3.4259813318728662,755
2017-03-15,UNI233,02-7373,2,2017-03-15,2017-03-14,2017-03-10,2017-03-02,1.0,5.0,13.0,3.785234899328859,3.4259813318728662,2564
2017-03-21,UNI233,02-7363,5,2017-03-21,2017-03-15,2017-03-14,2017-03-10,6.0,7.0,11.0,3.785234899328859,3.4259813318728662,2559
2017-03-28,UNI233,02-1288,1,2017-03-28,2017-03-21,2017-03-15,2017-03-14,7.0,13.0,14.0,3.785234899328859,3.4259813318728662,755
2017-03-30,UNI233,02-7363,2,2017-03-30,2017-03-28,2017-03-21,2017-03-15,2.0,9.0,15.0,3.785234899328859,3.4259813318728662,2559
2017-04-03,UNI233,02-6565,2,2017-04-03,2017-03-30,2017-03-28,2017-03-21,4.0,6.0,13.0,3.785234899328859,3.4259813318728662,2329
