InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2017-03-17,VAC104,02-3474,144,2017-03-17,2017-03-13,2017-03-06,2017-03-02,4.0,11.0,15.0,5.163636363636364,6.106352600983838,1447
2017-03-24,VAC104,02-6053,720,2017-03-24,2017-03-17,2017-03-13,2017-03-06,7.0,11.0,18.0,5.163636363636364,6.106352600983838,2190
2017-04-10,VAC104,02-1902,180,2017-04-10,2017-03-24,2017-03-17,2017-03-13,17.0,24.0,28.0,5.163636363636364,6.106352600983838,948
2017-04-20,VAC104,02-4976,1056,2017-04-20,2017-04-10,2017-03-24,2017-03-17,10.0,27.0,34.0,5.163636363636364,6.106352600983838,1885
2017-05-18,VAC104,02-5560,480,2017-05-18,2017-04-20,2017-04-10,2017-03-24,28.0,38.0,55.0,5.163636363636364,6.106352600983838,2083
2017-05-23,VAC104,02-8945,2400,2017-05-23,2017-05-18,2017-04-20,2017-04-10,5.0,33.0,43.0,5.163636363636364,6.106352600983838,2998
2017-05-24,VAC104,02-9763,144,2017-05-24,2017-05-23,2017-05-18,2017-04-20,1.0,6.0,34.0,5.163636363636364,6.106352600983838,3163
2017-05-25,VAC104,02-4959,12,2017-05-25,2017-05-24,2017-05-23,2017-05-18,1.0,2.0,7.0,5.163636363636364,6.106352600983838,1876
2017-05-26,VAC104,02-0667,144,2017-05-26,2017-05-25,2017-05-24,2017-05-23,1.0,2.0,3.0,5.163636363636364,6.106352600983838,585
2017-05-31,VAC104,02-6561,82,2017-05-31,2017-05-26,2017-05-25,2017-05-24,5.0,6.0,7.0,5.163636363636364,6.106352600983838,2328
2017-06-01,VAC104,02-2836,288,2017-06-01,2017-05-31,2017-05-26,2017-05-25,1.0,6.0,7.0,5.163636363636364,6.106352600983838,1242
2017-06-14,VAC104,02-6561,2,2017-06-14,2017-06-01,2017-05-31,2017-05-26,13.0,14.0,19.0,5.163636363636364,6.106352600983838,2328
2017-06-16,VAC104,02-8577,576,2017-06-16,2017-06-14,2017-06-01,2017-05-31,2.0,15.0,16.0,5.163636363636364,6.106352600983838,2896
2017-06-19,VAC104,02-9688,96,2017-06-19,2017-06-16,2017-06-14,2017-06-01,3.0,5.0,18.0,5.163636363636364,6.106352600983838,3109
2017-07-10,VAC104,02-6682,36,2017-07-10,2017-06-19,2017-06-16,2017-06-14,21.0,24.0,26.0,5.163636363636364,6.106352600983838,2358
2017-07-11,VAC104,02-9652,288,2017-07-11,2017-07-10,2017-06-19,2017-06-16,1.0,22.0,25.0,5.163636363636364,6.106352600983838,3080
2017-07-12,VAC104,02-5265,41,2017-07-12,2017-07-11,2017-07-10,2017-06-19,1.0,2.0,23.0,5.163636363636364,6.106352600983838,2004
2017-07-14,VAC104,02-5265,463,2017-07-14,2017-07-12,2017-07-11,2017-07-10,2.0,3.0,4.0,5.163636363636364,6.106352600983838,2004
2017-07-17,VAC104,02-3436,14,2017-07-17,2017-07-14,2017-07-12,2017-07-11,3.0,5.0,6.0,5.163636363636364,6.106352600983838,1433
