InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-06-16,WAA100,02-8572,2,2015-06-16,2015-05-30,2015-05-16,2015-05-15,17.0,31.0,32.0,25.75,19.450792614526875,2892
2015-07-01,WAA100,02-0297,1,2015-07-01,2015-06-16,2015-05-30,2015-05-16,15.0,32.0,46.0,25.75,19.450792614526875,432
2015-08-01,WAA100,02-0297,1,2015-08-01,2015-07-01,2015-06-16,2015-05-30,31.0,46.0,63.0,25.75,19.450792614526875,432
2015-08-10,WAA100,02-7204,1,2015-08-10,2015-08-01,2015-07-01,2015-06-16,9.0,40.0,55.0,25.75,19.450792614526875,2507
2015-08-11,WAA100,02-7178,1,2015-08-11,2015-08-10,2015-08-01,2015-07-01,1.0,10.0,41.0,25.75,19.450792614526875,2494
2015-08-17,WAA100,02-0297,1,2015-08-17,2015-08-11,2015-08-10,2015-08-01,6.0,7.0,16.0,25.75,19.450792614526875,432
2015-09-30,WAA100,02-7178,1,2015-09-30,2015-08-17,2015-08-11,2015-08-10,44.0,50.0,51.0,25.75,19.450792614526875,2494
2015-11-30,WAA100,02-7178,1,2015-11-30,2015-09-30,2015-08-17,2015-08-11,61.0,105.0,111.0,25.75,19.450792614526875,2494
2016-01-15,WAA100,02-7204,1,2016-01-15,2015-11-30,2015-09-30,2015-08-17,46.0,107.0,151.0,25.75,19.450792614526875,2507
2016-03-15,WAA100,02-7178,1,2016-03-15,2016-01-15,2015-11-30,2015-09-30,60.0,106.0,167.0,25.75,19.450792614526875,2494
2016-04-18,WAA100,02-7178,1,2016-04-18,2016-03-15,2016-01-15,2015-11-30,34.0,94.0,140.0,25.75,19.450792614526875,2494
2016-05-04,WAA100,02-7200,1,2016-05-04,2016-04-18,2016-03-15,2016-01-15,16.0,50.0,110.0,25.75,19.450792614526875,2506
2016-06-08,WAA100,02-7178,1,2016-06-08,2016-05-04,2016-04-18,2016-03-15,35.0,51.0,85.0,25.75,19.450792614526875,2494
2016-06-30,WAA100,02-7204,1,2016-06-30,2016-06-08,2016-05-04,2016-04-18,22.0,57.0,73.0,25.75,19.450792614526875,2507
