InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-12-16,WEL167,C2-5806,2,2015-12-16,2015-12-14,2015-12-09,2015-12-08,2.0,7.0,8.0,2.3633440514469455,1.8315709123736392,4699
2015-12-17,WEL167,02-8966,1,2015-12-17,2015-12-16,2015-12-14,2015-12-09,1.0,3.0,8.0,2.3633440514469455,1.8315709123736392,3004
2015-12-21,WEL167,SPC9859,3,2015-12-21,2015-12-17,2015-12-16,2015-12-14,4.0,5.0,7.0,2.3633440514469455,1.8315709123736392,6166
2015-12-22,WEL167,C2-5806,3,2015-12-22,2015-12-21,2015-12-17,2015-12-16,1.0,5.0,6.0,2.3633440514469455,1.8315709123736392,4699
2015-12-30,WEL167,06-0791,1,2015-12-30,2015-12-22,2015-12-21,2015-12-17,8.0,9.0,13.0,2.3633440514469455,1.8315709123736392,3582
2015-12-31,WEL167,C2-5881,2,2015-12-31,2015-12-30,2015-12-22,2015-12-21,1.0,9.0,10.0,2.3633440514469455,1.8315709123736392,4704
2016-01-04,WEL167,02-0567,1,2016-01-04,2015-12-31,2015-12-30,2015-12-22,4.0,5.0,13.0,2.3633440514469455,1.8315709123736392,533
2016-01-05,WEL167,C2-0175,4,2016-01-05,2016-01-04,2015-12-31,2015-12-30,1.0,5.0,6.0,2.3633440514469455,1.8315709123736392,4583
2016-01-07,WEL167,02-7411,1,2016-01-07,2016-01-05,2016-01-04,2015-12-31,2.0,3.0,7.0,2.3633440514469455,1.8315709123736392,2580
2016-01-08,WEL167,02-5250,4,2016-01-08,2016-01-07,2016-01-05,2016-01-04,1.0,3.0,4.0,2.3633440514469455,1.8315709123736392,2002
2016-01-11,WEL167,C2-5902,2,2016-01-11,2016-01-08,2016-01-07,2016-01-05,3.0,4.0,6.0,2.3633440514469455,1.8315709123736392,4710
2016-01-19,WEL167,C2-4487,2,2016-01-19,2016-01-11,2016-01-08,2016-01-07,8.0,11.0,12.0,2.3633440514469455,1.8315709123736392,4664
2016-01-20,WEL167,02-0685,1,2016-01-20,2016-01-19,2016-01-11,2016-01-08,1.0,9.0,12.0,2.3633440514469455,1.8315709123736392,591
2016-01-29,WEL167,SPC1119,1,2016-01-29,2016-01-20,2016-01-19,2016-01-11,9.0,10.0,18.0,2.3633440514469455,1.8315709123736392,5000
2016-02-02,WEL167,02-2733,1,2016-02-02,2016-01-29,2016-01-20,2016-01-19,4.0,13.0,14.0,2.3633440514469455,1.8315709123736392,1217
2016-02-08,WEL167,02-7411,1,2016-02-08,2016-02-02,2016-01-29,2016-01-20,6.0,10.0,19.0,2.3633440514469455,1.8315709123736392,2580
2016-02-09,WEL167,02-7371,1,2016-02-09,2016-02-08,2016-02-02,2016-01-29,1.0,7.0,11.0,2.3633440514469455,1.8315709123736392,2562
2016-02-10,WEL167,C2-5629,3,2016-02-10,2016-02-09,2016-02-08,2016-02-02,1.0,2.0,8.0,2.3633440514469455,1.8315709123736392,4693
2016-02-15,WEL167,C2-0175,4,2016-02-15,2016-02-10,2016-02-09,2016-02-08,5.0,6.0,7.0,2.3633440514469455,1.8315709123736392,4583
2016-02-17,WEL167,C2-1830,1,2016-02-17,2016-02-15,2016-02-10,2016-02-09,2.0,7.0,8.0,2.3633440514469455,1.8315709123736392,4622
2016-02-25,WEL167,06-6144,1,2016-02-25,2016-02-17,2016-02-15,2016-02-10,8.0,10.0,15.0,2.3633440514469455,1.8315709123736392,3750
2016-02-26,WEL167,02-8837,4,2016-02-26,2016-02-25,2016-02-17,2016-02-15,1.0,9.0,11.0,2.3633440514469455,1.8315709123736392,2969
2016-03-03,WEL167,C2-1830,7,2016-03-03,2016-02-26,2016-02-25,2016-02-17,6.0,7.0,15.0,2.3633440514469455,1.8315709123736392,4622
2016-03-09,WEL167,C2-5881,2,2016-03-09,2016-03-03,2016-02-26,2016-02-25,6.0,12.0,13.0,2.3633440514469455,1.8315709123736392,4704
2016-03-14,WEL167,06-0595,1,2016-03-14,2016-03-09,2016-03-03,2016-02-26,5.0,11.0,17.0,2.3633440514469455,1.8315709123736392,3580
2016-03-23,WEL167,02-3836,2,2016-03-23,2016-03-14,2016-03-09,2016-03-03,9.0,14.0,20.0,2.3633440514469455,1.8315709123736392,1586
2016-03-24,WEL167,C2-0549,1,2016-03-24,2016-03-23,2016-03-14,2016-03-09,1.0,10.0,15.0,2.3633440514469455,1.8315709123736392,4591
2016-03-29,WEL167,02-6114,1,2016-03-29,2016-03-24,2016-03-23,2016-03-14,5.0,6.0,15.0,2.3633440514469455,1.8315709123736392,2209
2016-04-02,WEL167,C2-1830,7,2016-04-02,2016-03-29,2016-03-24,2016-03-23,4.0,9.0,10.0,2.3633440514469455,1.8315709123736392,4622
2016-04-04,WEL167,06-0595,2,2016-04-04,2016-04-02,2016-03-29,2016-03-24,2.0,6.0,11.0,2.3633440514469455,1.8315709123736392,3580
2016-04-05,WEL167,C2-0175,1,2016-04-05,2016-04-04,2016-04-02,2016-03-29,1.0,3.0,7.0,2.3633440514469455,1.8315709123736392,4583
2016-04-13,WEL167,SPC0288,1,2016-04-13,2016-04-05,2016-04-04,2016-04-02,8.0,9.0,11.0,2.3633440514469455,1.8315709123736392,4861
2016-04-19,WEL167,02-4959,3,2016-04-19,2016-04-13,2016-04-05,2016-04-04,6.0,14.0,15.0,2.3633440514469455,1.8315709123736392,1876
2016-04-27,WEL167,06-2019,1,2016-04-27,2016-04-19,2016-04-13,2016-04-05,8.0,14.0,22.0,2.3633440514469455,1.8315709123736392,3602
2016-05-03,WEL167,C2-0175,4,2016-05-03,2016-04-27,2016-04-19,2016-04-13,6.0,14.0,20.0,2.3633440514469455,1.8315709123736392,4583
2016-05-04,WEL167,02-5964,1,2016-05-04,2016-05-03,2016-04-27,2016-04-19,1.0,7.0,15.0,2.3633440514469455,1.8315709123736392,2175
2016-05-16,WEL167,06-3130,2,2016-05-16,2016-05-04,2016-05-03,2016-04-27,12.0,13.0,19.0,2.3633440514469455,1.8315709123736392,3631
2016-05-17,WEL167,02-3452,1,2016-05-17,2016-05-16,2016-05-04,2016-05-03,1.0,13.0,14.0,2.3633440514469455,1.8315709123736392,1441
2016-05-18,WEL167,06-3200,1,2016-05-18,2016-05-17,2016-05-16,2016-05-04,1.0,2.0,14.0,2.3633440514469455,1.8315709123736392,3632
2016-05-23,WEL167,02-3452,1,2016-05-23,2016-05-18,2016-05-17,2016-05-16,5.0,6.0,7.0,2.3633440514469455,1.8315709123736392,1441
2016-06-02,WEL167,C2-5452,3,2016-06-02,2016-05-23,2016-05-18,2016-05-17,10.0,15.0,16.0,2.3633440514469455,1.8315709123736392,4679
2016-06-10,WEL167,06-3083,1,2016-06-10,2016-06-02,2016-05-23,2016-05-18,8.0,18.0,23.0,2.3633440514469455,1.8315709123736392,3627
2016-06-13,WEL167,04-4578,1,2016-06-13,2016-06-10,2016-06-02,2016-05-23,3.0,11.0,21.0,2.3633440514469455,1.8315709123736392,3458
2016-06-14,WEL167,02-0685,1,2016-06-14,2016-06-13,2016-06-10,2016-06-02,1.0,4.0,12.0,2.3633440514469455,1.8315709123736392,591
2016-06-17,WEL167,04-4578,1,2016-06-17,2016-06-14,2016-06-13,2016-06-10,3.0,4.0,7.0,2.3633440514469455,1.8315709123736392,3458
2016-06-20,WEL167,02-8499,1,2016-06-20,2016-06-17,2016-06-14,2016-06-13,3.0,6.0,7.0,2.3633440514469455,1.8315709123736392,2858
2016-06-21,WEL167,08-0053,3,2016-06-21,2016-06-20,2016-06-17,2016-06-14,1.0,4.0,7.0,2.3633440514469455,1.8315709123736392,3841
2016-06-24,WEL167,02-6114,1,2016-06-24,2016-06-21,2016-06-20,2016-06-17,3.0,4.0,7.0,2.3633440514469455,1.8315709123736392,2209
