InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-06-09,YAC100,SPC0109,1,2015-06-09,2015-06-04,2015-05-15,2015-05-04,5.0,25.0,36.0,8.014084507042254,10.454654408097694,4793
2015-06-12,YAC100,02-7384,2,2015-06-12,2015-06-09,2015-06-04,2015-05-15,3.0,8.0,28.0,8.014084507042254,10.454654408097694,2568
2015-06-16,YAC100,08-0070,2,2015-06-16,2015-06-12,2015-06-09,2015-06-04,4.0,7.0,12.0,8.014084507042254,10.454654408097694,3843
2015-06-25,YAC100,02-4608,1,2015-06-25,2015-06-16,2015-06-12,2015-06-09,9.0,13.0,16.0,8.014084507042254,10.454654408097694,1757
2015-07-06,YAC100,02-2637,2,2015-07-06,2015-06-25,2015-06-16,2015-06-12,11.0,20.0,24.0,8.014084507042254,10.454654408097694,1193
2015-07-08,YAC100,SPC1060,1,2015-07-08,2015-07-06,2015-06-25,2015-06-16,2.0,13.0,22.0,8.014084507042254,10.454654408097694,4941
2015-07-09,YAC100,02-7371,1,2015-07-09,2015-07-08,2015-07-06,2015-06-25,1.0,3.0,14.0,8.014084507042254,10.454654408097694,2562
2015-07-14,YAC100,08-0070,3,2015-07-14,2015-07-09,2015-07-08,2015-07-06,5.0,6.0,8.0,8.014084507042254,10.454654408097694,3843
2015-07-15,YAC100,02-6702,1,2015-07-15,2015-07-14,2015-07-09,2015-07-08,1.0,6.0,7.0,8.014084507042254,10.454654408097694,2364
2015-07-21,YAC100,SPC1129,5,2015-07-21,2015-07-15,2015-07-14,2015-07-09,6.0,7.0,12.0,8.014084507042254,10.454654408097694,5009
2015-07-25,YAC100,06-3631,6,2015-07-25,2015-07-21,2015-07-15,2015-07-14,4.0,10.0,11.0,8.014084507042254,10.454654408097694,3654
2015-07-28,YAC100,02-7831,2,2015-07-28,2015-07-25,2015-07-21,2015-07-15,3.0,7.0,13.0,8.014084507042254,10.454654408097694,2707
2015-08-04,YAC100,02-7831,3,2015-08-04,2015-07-28,2015-07-25,2015-07-21,7.0,10.0,14.0,8.014084507042254,10.454654408097694,2707
2015-08-07,YAC100,02-6889,1,2015-08-07,2015-08-04,2015-07-28,2015-07-25,3.0,10.0,13.0,8.014084507042254,10.454654408097694,2414
2015-08-19,YAC100,02-2096,1,2015-08-19,2015-08-07,2015-08-04,2015-07-28,12.0,15.0,22.0,8.014084507042254,10.454654408097694,1015
2015-08-25,YAC100,02-7831,5,2015-08-25,2015-08-19,2015-08-07,2015-08-04,6.0,18.0,21.0,8.014084507042254,10.454654408097694,2707
2015-08-31,YAC100,02-6105,1,2015-08-31,2015-08-25,2015-08-19,2015-08-07,6.0,12.0,24.0,8.014084507042254,10.454654408097694,2206
2015-09-01,YAC100,02-6889,1,2015-09-01,2015-08-31,2015-08-25,2015-08-19,1.0,7.0,13.0,8.014084507042254,10.454654408097694,2414
2015-09-02,YAC100,02-4609,1,2015-09-02,2015-09-01,2015-08-31,2015-08-25,1.0,2.0,8.0,8.014084507042254,10.454654408097694,1758
2015-09-03,YAC100,02-4701,1,2015-09-03,2015-09-02,2015-09-01,2015-08-31,1.0,2.0,3.0,8.014084507042254,10.454654408097694,1785
2015-09-14,YAC100,02-8796,3,2015-09-14,2015-09-03,2015-09-02,2015-09-01,11.0,12.0,13.0,8.014084507042254,10.454654408097694,2956
2015-09-29,YAC100,02-7384,3,2015-09-29,2015-09-14,2015-09-03,2015-09-02,15.0,26.0,27.0,8.014084507042254,10.454654408097694,2568
2015-10-09,YAC100,02-7391,2,2015-10-09,2015-09-29,2015-09-14,2015-09-03,10.0,25.0,36.0,8.014084507042254,10.454654408097694,2574
2015-10-12,YAC100,02-8785,7,2015-10-12,2015-10-09,2015-09-29,2015-09-14,3.0,13.0,28.0,8.014084507042254,10.454654408097694,2952
2015-10-19,YAC100,SPC1245,2,2015-10-19,2015-10-12,2015-10-09,2015-09-29,7.0,10.0,20.0,8.014084507042254,10.454654408097694,5124
2015-10-24,YAC100,02-7386,3,2015-10-24,2015-10-19,2015-10-12,2015-10-09,5.0,12.0,15.0,8.014084507042254,10.454654408097694,2570
2015-10-30,YAC100,02-3520,2,2015-10-30,2015-10-24,2015-10-19,2015-10-12,6.0,11.0,18.0,8.014084507042254,10.454654408097694,1470
2015-11-04,YAC100,02-6483,6,2015-11-04,2015-10-30,2015-10-24,2015-10-19,5.0,11.0,16.0,8.014084507042254,10.454654408097694,2311
2015-11-06,YAC100,02-0552,6,2015-11-06,2015-11-04,2015-10-30,2015-10-24,2.0,7.0,13.0,8.014084507042254,10.454654408097694,527
2015-11-10,YAC100,02-0567,4,2015-11-10,2015-11-06,2015-11-04,2015-10-30,4.0,6.0,11.0,8.014084507042254,10.454654408097694,533
2015-11-17,YAC100,02-4608,1,2015-11-17,2015-11-10,2015-11-06,2015-11-04,7.0,11.0,13.0,8.014084507042254,10.454654408097694,1757
2015-11-23,YAC100,02-4442,1,2015-11-23,2015-11-17,2015-11-10,2015-11-06,6.0,13.0,17.0,8.014084507042254,10.454654408097694,1727
2015-11-25,YAC100,02-8499,2,2015-11-25,2015-11-23,2015-11-17,2015-11-10,2.0,8.0,15.0,8.014084507042254,10.454654408097694,2858
2015-11-27,YAC100,01-2557,1,2015-11-27,2015-11-25,2015-11-23,2015-11-17,2.0,4.0,10.0,8.014084507042254,10.454654408097694,128
2015-11-30,YAC100,02-2374,2,2015-11-30,2015-11-27,2015-11-25,2015-11-23,3.0,5.0,7.0,8.014084507042254,10.454654408097694,1104
