InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2016-03-24,YAN108,SPC1416,4,2016-03-24,2016-03-02,2016-02-29,2016-02-26,22.0,24.0,27.0,19.27777777777778,15.475998705987035,5288
2016-03-30,YAN108,02-8991,13,2016-03-30,2016-03-24,2016-03-02,2016-02-29,6.0,28.0,30.0,19.27777777777778,15.475998705987035,3014
2016-05-09,YAN108,SPC1416,6,2016-05-09,2016-03-30,2016-03-24,2016-03-02,40.0,46.0,68.0,19.27777777777778,15.475998705987035,5288
2016-05-17,YAN108,02-8678,1,2016-05-17,2016-05-09,2016-03-30,2016-03-24,8.0,48.0,54.0,19.27777777777778,15.475998705987035,2912
2016-05-18,YAN108,SPC1416,3,2016-05-18,2016-05-17,2016-05-09,2016-03-30,1.0,9.0,49.0,19.27777777777778,15.475998705987035,5288
2016-06-20,YAN108,SPC9065,1,2016-06-20,2016-05-18,2016-05-17,2016-05-09,33.0,34.0,42.0,19.27777777777778,15.475998705987035,6091
2016-07-15,YAN108,06-1467,6,2016-07-15,2016-06-20,2016-05-18,2016-05-17,25.0,58.0,59.0,19.27777777777778,15.475998705987035,3598
2016-08-10,YAN108,06-2347,6,2016-08-10,2016-07-15,2016-06-20,2016-05-18,26.0,51.0,84.0,19.27777777777778,15.475998705987035,3609
2016-08-17,YAN108,06-1467,24,2016-08-17,2016-08-10,2016-07-15,2016-06-20,7.0,33.0,58.0,19.27777777777778,15.475998705987035,3598
2016-08-31,YAN108,02-5344,3,2016-08-31,2016-08-17,2016-08-10,2016-07-15,14.0,21.0,47.0,19.27777777777778,15.475998705987035,2024
2016-10-14,YAN108,02-6406,36,2016-10-14,2016-08-31,2016-08-17,2016-08-10,44.0,58.0,65.0,19.27777777777778,15.475998705987035,2292
2016-10-17,YAN108,20-8935,1,2016-10-17,2016-10-14,2016-08-31,2016-08-17,3.0,47.0,61.0,19.27777777777778,15.475998705987035,4406
2016-12-05,YAN108,02-4429,8,2016-12-05,2016-10-17,2016-10-14,2016-08-31,49.0,52.0,96.0,19.27777777777778,15.475998705987035,1725
2016-12-23,YAN108,02-6406,15,2016-12-23,2016-12-05,2016-10-17,2016-10-14,18.0,67.0,70.0,19.27777777777778,15.475998705987035,2292
2017-01-05,YAN108,02-4347,8,2017-01-05,2016-12-23,2016-12-05,2016-10-17,13.0,31.0,80.0,19.27777777777778,15.475998705987035,1718
2017-02-07,YAN108,02-8929,6,2017-02-07,2017-01-05,2016-12-23,2016-12-05,33.0,46.0,64.0,19.27777777777778,15.475998705987035,2989
